state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2014,total,10586429,0.12,48253688507,0.12,3313357,0.16,3783121737,0.19,216854042,0.18,11856859,0.12,13899786,0.1,52036810244,0.11
US,2014,financial administration,213678,0.23,1004990567,0.21,41465,0.68,43168625,0.32,2483112,0.25,227090,0.23,255143,0.22,1048159192,0.21
US,2014,other government administration,185493,0.22,863507899,0.21,168847,0.17,92046744,0.21,4782405,0.24,211386,0.21,354340,0.14,955554643,0.19
US,2014,judicial and legal,224580,0.22,1115270253,0.19,32506,0.3,48576482,0.3,2262913,0.31,237161,0.23,257086,0.19,1163846735,0.18
US,2014,police protection total,771227,0.17,4420323545,0.18,92112,0.26,96047752,0.25,6255325,0.25,807083,0.17,863339,0.16,4516371297,0.18
US,2014,police protection - officers,614722,0.21,3738014133,0.21,35103,0.35,39220296,0.2,2468127,0.21,628968,0.21,649825,0.2,3777234429,0.21
US,2014,police protection - other,156505,0.26,682309412,0.25,57009,0.37,56827456,0.4,3787198,0.39,178115,0.27,213514,0.22,739136868,0.23
US,2014,fire protection total,324524,0.21,2044229536,0.24,107268,0.42,54789086,0.6,3721107,0.72,345669,0.24,431792,0.19,2099018622,0.23
US,2014,fire protection - firefighters,297280,0.23,1892956415,0.26,94973,0.48,44738802,0.73,3175426,0.84,315457,0.26,392253,0.21,1937695217,0.25
US,2014,fire protection - other,27244,0.25,151273121,0.26,12295,0.41,10050284,0.37,545681,0.36,30212,0.29,39539,0.21,161323405,0.24
US,2014,corrections,252441,0.29,1138725369,0.22,14705,0.52,20663268,0.45,1275039,0.53,259822,0.29,267146,0.27,1159388637,0.22
US,2014,highways,263827,0.25,1131622319,0.23,25585,0.16,29474861,0.17,1991331,0.17,275041,0.25,289412,0.23,1161097180,0.23
US,2014,air transportation,42259,0.18,228257012,0.16,4162,0.66,5326817,0.5,359129,0.56,44312,0.2,46421,0.17,233583829,0.16
US,2014,water transport and terminals,7865,0.28,49677069,0.27,1192,0.41,1691700,0.28,102415,0.22,8449,0.28,9057,0.25,51368769,0.27
US,2014,public welfare,248303,0.34,1036031093,0.29,36940,0.63,52292914,0.52,3279336,0.62,267389,0.35,285243,0.3,1088324007,0.27
US,2014,health,218588,0.3,977400966,0.25,54467,0.38,87425260,0.24,4321035,0.31,243367,0.3,273055,0.25,1064826226,0.23
US,2014,hospitals,503774,0.15,2602242202,0.12,132005,0.18,353631670,0.14,13144429,0.16,579629,0.15,635779,0.12,2955873872,0.11
US,2014,social insurance administration,445,0,2579302,0,0,0,0,0,0,0,445,0,445,0,2579302,0
US,2014,solid waste management,96202,0.26,402263439,0.23,14950,0.52,15043912,0.44,1253134,0.54,103266,0.29,111152,0.24,417307351,0.23
US,2014,sewerage,119310,0.24,570716847,0.26,10579,0.27,9411340,0.23,559313,0.19,122330,0.24,129889,0.22,580128187,0.26
US,2014,parks and recreation,150902,0.26,615342488,0.26,218678,0.42,165448725,0.39,13377287,0.4,227252,0.31,369580,0.27,780791213,0.22
