state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11205524,0.27,35126123762,0.27,9991573,0.27,3296123,0.76,32549690043,0.26,2576433719,0.79,209193683,0.9,2001
US,financial administration,212958,0.74,665705527,0.66,198098,0.71,57045,3.67,627560274,0.65,38145253,3.81,2769260,4.37,2001
US,other government administration,214841,1.08,705137594,0.89,188659,1.1,241648,2.45,623698825,0.9,81438769,3.05,5007362,3.17,2001
US,judicial and legal,243548,0.89,841377248,0.67,230229,0.91,37017,3.11,803364961,0.68,38012287,2.42,2403937,2.54,2001
US,police protection - officers,598652,0.45,2497103205,0.4,584019,0.45,39261,4.49,2462950744,0.41,34152461,3.45,2468242,4.84,2001
US,police protection - other,182878,1.04,519471765,0.74,158196,1.06,67792,2.31,472467697,0.75,47004068,2.12,4306291,2.5,2001
US,fire protection - firefighters,276250,0.73,1155553469,0.49,261815,0.59,116453,7.2,1131608106,0.46,23945363,6.23,2682454,7.24,2001
US,fire protection - other,23436,2.58,79948641,1.3,21273,1.65,11823,11.32,75775324,1.31,4173317,7.78,570292,13.8,2001
US,corrections,232329,0.86,744137080,0.55,224536,0.8,16184,3.84,726830018,0.53,17307062,2.79,1360865,4.04,2001
US,streets and highways,301810,0.83,887058178,0.75,290333,0.82,30946,5.17,864066194,0.76,22991984,5.65,2110576,5.74,2001
US,air transportation,39329,0.63,144011996,0.37,37972,0.61,3182,6.57,141142535,0.34,2869461,5.67,252373,5.68,2001
US,water transport and terminals,7893,4.02,31980195,3.11,7375,3.35,1311,20.25,30825921,2.64,1154274,33.14,93725,29.07,2001
US,public welfare,280188,0.99,791225112,0.78,256170,0.98,47499,3.7,741341023,0.75,49884089,2.67,4175426,2.96,2001
US,health,251399,2.9,739260644,1.41,218652,1.46,72739,9.19,666419863,1,72840781,5.86,5692294,13.34,2001
US,hospitals,511851,1.06,1567777449,0.83,442427,1.05,122692,1.55,1376551173,0.83,191226276,1.34,12153697,1.66,2001
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
US,solid waste management,111331,0.81,328879750,0.78,103964,0.74,16955,5.5,317080690,0.72,11799060,6.61,1269112,5.52,2001
US,sewerage,124264,0.96,420726859,0.77,120783,0.95,12208,7.3,412249521,0.76,8477338,6.65,682595,6.66,2001
US,parks and recreation,217562,0.57,546573051,0.49,156192,0.55,172463,1.43,442354079,0.48,104218972,1.26,10882266,1.23,2001
US,housing and community development,116596,1.47,376121569,1.17,110057,1.44,13563,6.13,363691588,1.17,12429981,4.59,1043969,5.28,2001
US,natural resources,37857,2.88,109749763,2.21,33056,2.73,13006,9.53,101211756,2.12,8538007,11.4,827646,13.54,2001
US,water transport and terminals,158676,0.96,517480137,0.79,152952,0.95,22166,6.01,505687917,0.8,11792220,5.31,1058592,5.91,2001
US,electric power,73776,0.81,320792228,0.57,72221,0.78,3189,10.69,316794377,0.55,3997851,6.24,278961,7.89,2001
US,gas supply,11847,5.93,34884805,4.06,11700,6,690,23.96,34417008,4.11,467797,16.44,34574,15.17,2001
US,transit,188695,0.33,704279146,0.37,178421,0.32,14850,1.26,681636011,0.35,22643135,1.42,1795938,1.35,2001
US,education - elementary and secondary instructional,4270760,0.47,14364239879,0.5,3950047,0.48,836971,1.58,13616436664,0.48,747803215,1.69,54297620,1.71,2001
US,education - elementary and secondary total,1826212,0.67,3908992272,0.66,1455441,0.8,815211,1.38,3263313727,0.74,645678545,1.61,62567168,1.66,2001
US,education - higher education instructional,128115,0.41,552658943,0.36,83511,0.46,164239,0.63,388325227,0.36,164333716,0.38,7724132,0.27,2001
US,education - higher education other,176916,0.1,478123964,0.12,127816,0.11,147377,0.08,394622087,0.12,83501877,0.08,8510065,0.06,2001
US,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
US,libraries,124353,1.72,302565988,1.51,84731,1.92,95252,1.66,234405276,1.63,68160712,1.77,6818555,2.03,2001
US,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
US,other and unallocable,261202,1.68,790307305,1.29,230927,1.7,102391,5.89,732861457,1.28,57445848,3.89,5355696,4.31,2001
AL,total,184132,1.11,459315368,1.44,172846,1.15,29308,6.57,439307658,1.51,20007710,5.62,1929347,6.69,2001
AL,financial administration,4057,10.6,9631339,5.92,3442,4.7,1312,70.39,8839299,3.04,792040,70.2,103435,74.74,2001
AL,other government administration,2679,10.22,6936419,5.95,2245,10.28,3573,20.08,5778202,6.33,1158217,20.94,78260,20.97,2001
AL,judicial and legal,1917,4.83,4936324,4.46,1779,4.78,824,36.09,4471535,4.56,464789,21.46,35145,24.45,2001
AL,police protection - officers,9099,3.44,27269803,2.27,8918,3.31,271,112.29,27145003,2.37,124800,221.51,14191,164.72,2001
AL,police protection - other,2429,5.69,5120312,4.14,2199,6.01,594,9.39,4798259,4.32,322053,9.92,40010,12.07,2001
AL,fire protection - firefighters,4846,1.49,14969989,0.9,4708,1.31,668,55.68,14778403,0.87,191586,28.89,24544,30.16,2001
AL,fire protection - other,185,15.52,498571,8.23,182,15.77,9,60.81,494853,8.29,3718,23.41,614,27.63,2001
AL,corrections,2776,2.46,6445100,2.27,2565,2.14,251,19.2,6228528,2.17,216572,20.67,37020,20.19,2001
AL,streets and highways,7114,2.54,15504553,1.92,6940,2.59,315,34.9,15296816,1.93,207737,36.82,25322,38.43,2001
AL,air transportation,392,0.35,965500,0.25,376,0.37,27,0,946598,0.26,18902,0,2720,0,2001
AL,water transport and terminals,174,0,278822,0,174,0,0,0,278822,0,0,0,0,0,2001
AL,public welfare,1914,29.1,3250790,27.3,1702,32.78,805,33.5,2877949,30.77,372841,23.02,50056,25.94,2001
AL,health,4286,0.21,9764782,0.2,4004,0.23,711,0.95,9299663,0.21,465119,0.1,49990,0.15,2001
AL,hospitals,23846,0,61222319,0,19897,0,6235,0,52276836,0,8945483,0,697960,0,2001
AL,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AL,solid waste management,3865,6.11,8101244,4.23,3761,6.34,212,49.15,7955377,4.31,145867,17.72,21130,19.48,2001
AL,sewerage,1471,4.07,3816535,2.96,1437,4.29,106,50.17,3764977,3,51558,23.24,5510,33.55,2001
AL,parks and recreation,3769,3.81,6977315,2.53,2971,2.29,1998,20.72,6043748,1.69,933567,13.33,134739,14.86,2001
AL,housing and community development,2363,6.13,6200672,5.46,2264,5.97,200,45.81,5969760,6.53,230912,73.08,15383,68.58,2001
AL,natural resources,354,15.29,797531,7.23,331,15.12,51,113.54,762697,8.33,34834,115.06,3669,131.55,2001
AL,water transport and terminals,3214,10.77,8475776,7.35,3003,10.73,432,56.95,8284528,7.73,191248,64.95,19531,82.92,2001
AL,electric power,1189,0.99,3897830,0.03,1162,1.02,54,4.44,3844861,0.04,52969,1.54,4878,2.26,2001
AL,gas supply,760,15.03,2210176,12.86,741,15.23,22,8.27,2194783,12.89,15393,12.32,2396,11.89,2001
AL,transit,221,14.1,436306,5.01,161,0.98,126,22.73,296977,0.02,139329,15.67,10402,45.87,2001
AL,education - elementary and secondary instructional,66488,2.09,193952151,2.97,65146,2.2,5003,12.37,191696821,3.03,2255330,16.8,220479,12.13,2001
AL,education - elementary and secondary total,29839,3.81,45744649,3.05,28546,4.04,3983,13.65,44029907,3.33,1714742,14.8,212721,14.65,2001
AL,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AL,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AL,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AL,libraries,1063,6.71,2263151,2.87,728,4.21,731,15.25,1790818,2.67,472333,13.59,52038,14.73,2001
AL,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AL,other and unallocable,3822,3.35,9647409,2.16,3464,2.91,795,40.26,9161638,1.99,485771,18.14,67204,22.63,2001
AK,total,25616,2.33,96672245,1.46,22296,1.85,12316,15.07,87816332,1.24,8855913,10.73,596928,9.28,2001
AK,financial administration,722,18.13,2639460,9.48,617,18.74,252,49.97,2269899,9.87,369561,45.3,17211,54.75,2001
AK,other government administration,991,9.91,4344854,8.24,932,9.22,1301,39.48,3860597,8.95,484257,25.49,24999,24.42,2001
AK,judicial and legal,152,32.89,537256,4.94,101,0,52,96.15,507226,0,30030,88.41,4610,96.53,2001
AK,police protection - officers,767,13.29,4203715,7.8,765,15.37,120,62.07,4096929,7.73,106786,60.35,10575,58.14,2001
AK,police protection - other,422,17.51,1415453,15.62,331,19.01,439,69.82,1263801,17.13,151652,56.01,14916,56.63,2001
AK,fire protection - firefighters,586,1.73,3203723,1,546,1.2,308,11.49,3122224,1.1,81499,21.33,8528,21.33,2001
AK,fire protection - other,33,5.08,106067,3.28,28,5.99,10,0,95984,3.63,10083,0,773,0,2001
AK,corrections,109,55.51,346856,52.02,105,57.99,42,86.06,309964,50.36,36892,70.97,1398,59.89,2001
AK,streets and highways,710,16.9,2945182,8.24,668,7.58,248,109.2,2760511,7.3,184671,41.66,4265,349.89,2001
AK,air transportation,56,0,262295,17.21,55,0,37,90.09,213425,0,48870,92.35,3138,92.42,2001
AK,water transport and terminals,256,45.1,1118657,53.86,248,46.23,13,69.22,1095590,55.04,23067,90.69,1416,89.16,2001
AK,public welfare,143,6.65,414487,5.32,120,5.96,48,10.84,371743,5.21,42744,6.25,3929,12.45,2001
AK,health,423,9.7,1506673,5.01,352,0.62,281,26.82,1354514,0.82,152159,49.11,14451,45.03,2001
AK,hospitals,221,16.08,924168,6.26,150,23.69,114,0,689049,8.39,235119,0,12575,0,2001
AK,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AK,solid waste management,260,8.11,956517,4.49,192,24.76,156,39.19,814334,4.38,142183,44.34,11702,50.37,2001
AK,sewerage,443,10.18,1643600,4.29,344,5.92,298,45.15,1458800,4.5,184800,38.46,18698,40.1,2001
AK,parks and recreation,553,20.29,1551371,14.06,341,29.3,570,23.23,1072632,24.78,478739,25.13,44904,20.09,2001
AK,housing and community development,576,15.41,2465411,25.5,464,20.39,134,13.64,2140129,32.75,325282,23.57,18744,8.68,2001
AK,natural resources,12,0,50875,0,12,0,0,0,50875,0,0,0,0,0,2001
AK,water transport and terminals,358,19.04,998488,6.91,245,14.1,176,57.38,876798,4.05,121690,49,10743,51.12,2001
AK,electric power,484,14.34,2393419,7.53,384,0.6,361,58.13,2072509,0.06,320910,56.23,25788,52.96,2001
AK,gas supply,0,0,122600,58.81,0,0,200,58.63,0,0,122600,58.81,8200,56.75,2001
AK,transit,215,89.79,793786,0,201,96.05,20,0,750148,0,43638,0,2420,0,2001
AK,education - elementary and secondary instructional,10065,4.67,39385713,2.07,9299,3.24,2619,23.15,37041268,2.18,2344445,17.36,132043,23.83,2001
AK,education - elementary and secondary total,5579,4.4,16472257,3.18,4585,4.55,3280,13.18,14599049,3.05,1873208,11.62,164296,13.2,2001
AK,education - higher education instructional,19,0,120251,0,19,0,0,0,120251,0,0,0,0,0,2001
AK,education - higher education other,92,0,394373,0,81,0,73,0,358424,0,35949,0,1753,0,2001
AK,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AK,libraries,315,9.06,932404,0.92,165,58.05,292,40.2,642100,31.47,290304,68.1,24258,52.62,2001
AK,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AK,other and unallocable,1054,17.19,4422334,7.05,946,10.54,872,38.73,3807559,5.18,614775,39.72,10595,261.01,2001
AZ,total,186560,1.08,543208494,0.87,165947,1.26,47657,3.16,502988327,0.95,40220167,4.02,3595008,4.85,2001
AZ,financial administration,3901,3.9,12141279,2.79,3767,3.36,197,26,11873951,2.58,267328,23.95,21874,32.74,2001
AZ,other government administration,5246,4.71,19239934,5.13,4991,4.95,1013,34.58,18614378,5.29,625556,9.36,45774,12.12,2001
AZ,judicial and legal,8456,1.93,27051805,1.32,8152,1.27,726,21.85,26026638,0.98,1025167,13.77,51654,24.13,2001
AZ,police protection - officers,11468,2.65,44377686,1.44,11456,2.65,78,24.84,44297517,1.44,80169,12.95,5416,45.54,2001
AZ,police protection - other,3264,3.63,10736252,1.19,3138,2.39,171,52.7,10480684,0.67,255568,32.2,21855,42.2,2001
AZ,fire protection - firefighters,4638,3.47,18258911,2.52,4432,4.02,915,25.16,17817851,2.99,441060,74.92,34488,76.21,2001
AZ,fire protection - other,841,4.18,3119162,2.34,763,4.61,156,13.71,2941422,2.37,177740,14.04,14095,7.59,2001
AZ,corrections,4072,6.09,10821456,5,3984,6.32,204,5.67,10605690,5.07,215766,1.35,15175,3.6,2001
AZ,streets and highways,4403,5.82,13432670,6.25,4337,5.9,209,36.05,13196581,6.3,236089,33.02,12297,9.95,2001
AZ,air transportation,1017,0,3320800,0,988,0,52,0,3214988,0,105812,0,4796,0,2001
AZ,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AZ,public welfare,2036,5.9,5205601,2.47,1485,3.37,878,18.33,4206330,1.09,999271,11.42,94497,15.95,2001
AZ,health,2890,1.21,7288123,0.59,2660,1.57,422,3.78,6763305,0.57,524818,1.81,40559,3.33,2001
AZ,hospitals,3996,0,10353186,0,3771,0,320,0,9669045,0,684141,0,39850,0,2001
AZ,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
AZ,solid waste management,2191,4.77,6523009,2.61,2144,4.9,65,21.97,6438451,2.65,84558,9.28,8396,14.44,2001
AZ,sewerage,1292,4.01,3923093,3.67,1278,4.06,32,10.37,3898982,3.69,24111,4.71,1911,1.33,2001
AZ,parks and recreation,4402,2.87,11114211,1.87,3272,2.28,3423,3.42,9137662,1.93,1976549,3.16,205695,5.18,2001
AZ,housing and community development,713,48.29,2057588,52.65,605,56.89,180,24.37,1861085,58.24,196503,20.42,19288,29.71,2001
AZ,natural resources,1076,5.8,3794807,9.85,1049,5.95,83,30.35,3719225,10.03,75582,19.63,6466,24.48,2001
AZ,water transport and terminals,3019,4.99,10672006,2.86,3002,4.75,42,70.35,10645854,2.5,26152,234,2177,183.06,2001
AZ,electric power,4477,1.12,24370426,0.4,4305,1.16,191,0,23724953,0.41,645473,0,30458,0,2001
AZ,gas supply,21,0,49806,0,21,0,0,0,49806,0,0,0,0,0,2001
AZ,transit,169,0,600862,0,147,0,40,0,542699,0,58163,0,3755,0,2001
AZ,education - elementary and secondary instructional,63622,2.91,182907592,2.21,59072,3.09,8918,14.66,173604569,2.38,9303023,10.99,778862,13.34,2001
AZ,education - elementary and secondary total,33080,3.26,66950878,3.26,25859,3.5,15994,4.84,55103586,3.65,11847292,7.12,1261536,9.59,2001
AZ,education - higher education instructional,4035,0,13305288,0,2212,0,6025,0,7600147,0,5705141,0,318737,0,2001
