state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,year
US,total,11063492,0.09,46835327471,0.08,3279811,0.09,3556074367,0.1,212511685,0.11,12306992,0.08,14343303,0.07,50391401838,0.08,2009
US,financial administration,218375,0.18,941588239,0.15,37410,0.29,35146876,0.36,2112345,0.26,229997,0.18,255785,0.16,976735115,0.14,2009
US,other government administration,200505,0.16,872599261,0.15,147691,0.21,80857074,0.25,4330976,0.25,224496,0.16,348196,0.13,953456335,0.14,2009
US,judicial and legal,236284,0.15,1087211218,0.11,33094,0.32,45454457,0.22,2200218,0.27,249469,0.17,269378,0.14,1132665675,0.11,2009
US,police protection total,812819,0.14,4167078628,0.13,96436,0.24,89675150,0.23,6117920,0.27,848085,0.14,909255,0.13,4256753778,0.13,2009
US,police protection - officers,633154,0.14,3472436208,0.13,32043,0.25,31371487,0.24,1973986,0.3,644498,0.14,665197,0.13,3503807695,0.13,2009
US,police protection - other,179665,0.16,694642420,0.15,64393,0.24,58303663,0.23,4143934,0.25,203587,0.16,244058,0.13,752946083,0.14,2009
US,fire protection total,329182,0.23,1879412697,0.24,83714,0.45,37222046,0.81,2719045,0.83,344722,0.26,412896,0.21,1916634743,0.24,2009
US,fire protection - firefighters,303489,0.22,1759366596,0.24,77693,0.42,31733411,0.77,2409499,0.81,317242,0.24,381182,0.2,1791100007,0.23,2009
US,fire protection - other,25693,0.35,120046101,0.36,6021,0.77,5488635,1.02,309546,0.99,27480,0.46,31714,0.32,125534736,0.34,2009
US,corrections,260253,0.24,1068188145,0.17,14367,0.42,19099214,0.37,1262768,0.44,267535,0.25,274620,0.23,1087287359,0.17,2009
US,highways,293030,0.22,1137112368,0.19,19771,0.19,22853254,0.22,1533046,0.28,301767,0.21,312801,0.2,1159965622,0.19,2009
US,air transportation,43128,0.32,206365755,0.23,3040,0.46,4166958,0.44,273875,0.46,44691,0.32,46168,0.3,210532713,0.23,2009
US,water transport and terminals,7802,0.38,43741691,0.37,988,0.25,1100040,0.28,66043,0.36,8186,0.38,8790,0.34,44841731,0.36,2009
US,public welfare,258337,0.29,989728068,0.22,39829,0.53,53219213,0.54,3543023,0.61,278851,0.32,298166,0.26,1042947281,0.21,2009
US,health,228869,0.3,941824926,0.24,54007,0.47,84413399,0.34,4314062,0.5,254005,0.32,282876,0.26,1026238325,0.22,2009
US,hospitals,505073,0.22,2338468299,0.19,140882,0.42,319081265,0.4,13351215,0.48,582417,0.23,645955,0.19,2657549564,0.17,2009
US,social insurance administration,477,0.01,2493834,0.01,0,0.01,0,0.01,0,0.01,477,0.01,477,0,2493834,0,2009
US,solid waste management,102156,0.25,394731626,0.2,14375,0.48,14489068,0.41,1191307,0.53,108946,0.27,116531,0.23,409220694,0.19,2009
US,sewerage,124176,0.22,547664006,0.22,6814,0.31,6644563,0.24,383804,0.23,126300,0.22,130990,0.21,554308569,0.21,2009
US,parks and recreation,162136,0.2,607579591,0.22,204298,0.37,152050028,0.36,12406244,0.37,233021,0.26,366434,0.22,759629619,0.19,2009
US,housing and community development,105284,0.37,444890894,0.35,11303,0.57,13168908,0.83,855578,0.62,110274,0.38,116587,0.34,458059802,0.34,2009
US,natural resources,36471,0.33,149100458,0.35,6745,0.32,5417241,0.3,381050,0.34,38589,0.32,43216,0.28,154517699,0.34,2009
US,water transport and terminals,167883,0.23,746151236,0.24,12021,0.24,11312713,0.26,730589,0.28,171842,0.23,179904,0.22,757463949,0.24,2009
US,electric power,73816,0.37,454061190,0.37,2389,0.49,4756905,0.48,224314,0.4,75098,0.37,76205,0.36,458818095,0.37,2009
US,gas supply,11642,0.38,47397697,0.35,313,0.21,346864,0.28,28279,0.25,11802,0.38,11955,0.37,47744561,0.35,2009
US,transit,197704,0.21,995458011,0.15,17156,0.78,29095892,0.61,1821993,0.81,208143,0.22,214860,0.2,1024553903,0.15,2009
US,education total,6356438,0.2,25410114672,0.19,2167242,0.23,2373522443,0.25,141449732,0.26,7190949,0.2,8523680,0.16,27783637115,0.18,2009
US,education - elementary and secondary total,6112932,0.2,24218467872,0.19,1802151,0.21,1983230848,0.22,123723916,0.23,6844236,0.19,7915083,0.16,26201698720,0.17,2009
US,education - elementary and secondary instructional,4366600,0.19,19490966002,0.18,995187,0.2,1164444253,0.21,65939683,0.22,4755648,0.19,5361787,0.16,20655410255,0.17,2009
US,education - elementary and secondary other,1746332,0.2,4727501870,0.19,806964,0.22,818786595,0.24,57784233,0.24,2088588,0.19,2553296,0.15,5546288465,0.16,2009
US,education - higher education total,243506,0.33,1191646800,0.32,365091,0.37,390291595,0.41,17725816,0.46,346713,0.32,608597,0.26,1581938395,0.26,2009
US,education - higher education instructional,89378,0.3,564405576,0.32,200170,0.39,269473482,0.41,8216177,0.51,136549,0.33,289548,0.29,833879058,0.26,2009
US,education - higher education other,154128,0.35,627241224,0.32,164921,0.34,120818113,0.42,9509639,0.42,210164,0.31,319049,0.24,748059337,0.28,2009
US,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
US,libraries,93927,0.3,340043139,0.31,100185,0.38,91372738,0.42,7091090,0.43,135903,0.33,194112,0.24,431415877,0.26,2009
US,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
US,other and unallocable,237725,0.22,1022321822,0.17,65741,0.29,61608058,0.25,4123169,0.32,261427,0.23,303466,0.18,1083929880,0.16,2009
AL,total,188258,0.63,602378827,0.66,27510,0.83,27869123,0.47,1929419,0.7,199514,0.61,215768,0.56,630247950,0.63,2009
AL,financial administration,3914,2.97,13127281,2.29,129,0.7,162186,0.64,11230,0.8,3978,2.97,4043,2.88,13289467,2.26,2009
AL,other government administration,2412,2.1,8090840,1.74,1453,2.71,1443629,2.89,50064,2.28,2699,2.23,3865,1.66,9534469,1.54,2009
AL,judicial and legal,1415,0.81,4561401,0.79,413,1.69,436124,1.9,23368,2.11,1548,0.93,1828,0.73,4997525,0.74,2009
AL,police protection total,11775,1.78,41559322,1.51,1271,1.45,1051844,1.3,88323,1.33,12309,1.73,13046,1.62,42611166,1.47,2009
AL,police protection - officers,9599,1.72,35722189,1.47,560,1.98,422203,1.59,30063,1.8,9801,1.68,10159,1.63,36144392,1.46,2009
AL,police protection - other,2176,2.05,5837133,1.75,711,1.03,629641,1.11,58260,1.08,2508,1.94,2887,1.57,6466774,1.58,2009
AL,fire protection total,5614,1.9,22147796,1.59,655,5.71,344043,2.84,30972,1.71,5794,1.83,6269,1.8,22491839,1.56,2009
AL,fire protection - firefighters,5381,1.82,21348156,1.55,644,5.8,331016,2.94,29966,1.73,5555,1.75,6025,1.74,21679172,1.52,2009
AL,fire protection - other,233,3.72,799640,2.6,11,0.85,13027,0.4,1006,0.99,239,3.62,244,3.56,812667,2.56,2009
AL,corrections,3407,2.58,10074358,1.99,224,3.2,243589,2.83,21731,2.7,3539,2.6,3631,2.43,10317947,1.94,2009
AL,highways,6509,2.06,18846608,1.92,156,2.16,189175,2.24,17355,2.44,6608,2.09,6665,2.02,19035783,1.9,2009
AL,air transportation,505,12.87,1283637,12.36,39,1.67,38024,1.94,3708,0.89,527,12.32,544,11.95,1321661,12,2009
