state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,10995009,0.02,33402291564,0.03,9746094,0.03,3352878,0.06,30889687984,0.03,2512603580,0.06,216582122,0.06,2000
US,financial administration,208672,0.07,622179978,0.06,194734,0.07,57634,0.31,588353892,0.06,33826086,0.36,2700576,0.41,2000
US,other government administration,210038,0.11,663603666,0.09,185430,0.11,231788,0.21,588344743,0.1,75258923,0.28,4793876,0.29,2000
US,judicial and legal ,236119,0.05,779137698,0.04,222156,0.05,37596,0.28,742215334,0.04,36922364,0.23,2414841,0.24,2000
US,police protection - officers,590198,0.05,2359508472,0.04,573955,0.05,40706,0.46,2325379707,0.04,34128765,0.43,2683456,0.55,2000
US,police - other ,175762,0.08,485491592,0.06,151896,0.08,65805,0.2,442096404,0.06,43395188,0.18,4172839,0.18,2000
US,firefighters ,271785,0.07,1101738188,0.06,257766,0.06,121254,0.61,1079035277,0.05,22702911,0.68,2583778,0.7,2000
US,fire - other ,22675,0.17,74657738,0.11,20746,0.15,10091,0.89,70772050,0.11,3885688,0.68,366180,0.99,2000
US,correction ,224754,0.06,694550702,0.04,217279,0.06,15911,0.27,679083292,0.04,15467410,0.19,1294891,0.29,2000
US,streets and highways ,299227,0.09,840129083,0.07,286804,0.09,30427,0.45,818173288,0.08,21955795,0.47,2227621,0.55,2000
US,air transportation ,37483,0.06,130442782,0.03,36144,0.07,3059,0.55,127707279,0.03,2735503,0.53,258466,0.46,2000
US,water transport and terminals,7648,0.64,28506728,0.29,7209,0.62,1198,2.55,27738174,0.3,768554,1.95,72709,1.92,2000
US,public welfare ,272780,0.07,741811964,0.05,248323,0.07,47734,0.27,694247077,0.05,47564887,0.21,4235967,0.23,2000
US,health ,236496,0.06,680680146,0.05,206920,0.06,64748,0.29,612927527,0.05,67752619,0.17,5140320,0.26,2000
US,hospitals,518995,0.12,1523716386,0.1,450346,0.13,122908,0.14,1341095264,0.1,182621122,0.12,12040151,0.13,2000
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
US,solid waste management ,108239,0.09,306624203,0.08,101540,0.08,15946,0.57,295307554,0.07,11316649,0.78,1180963,0.63,2000
US,sewerage ,124445,0.09,402190825,0.08,121157,0.09,12088,0.61,394522245,0.08,7668580,0.54,644949,0.59,2000
US,parks and recreation ,214747,0.06,517289626,0.05,153429,0.06,171641,0.14,416477347,0.05,100812279,0.11,10793828,0.13,2000
