state,government_function,full_time_equivalent_employees,total_march_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
US,total,10227429,27998605994,9155605,2844746,26087584797,1911021197,184610515,1997
US,financial administration,193799,503890918,183592,37870,482091382,21799536,1929456,1997
US,other government administration,195945,537065493,177285,146204,489095879,47969614,3520075,1997
US,judicial and legal,208363,603617850,197583,29970,577621147,25996703,1932358,1997
US,police protection - officers,546501,1957404578,537076,29522,1941022888,16381690,1675628,1997
US,police protection - other,159677,380666257,138623,56970,348077253,32589004,3699551,1997
US,fire protection - firefighters,256374,929435722,244920,84426,912095870,17339852,2062205,1997
US,fire protection - other,20778,60323381,18965,7627,57163053,3160328,331437,1997
US,corrections,212885,592369224,205494,14851,578679040,13690184,1278296,1997
US,streets and highways,282860,718905485,273495,23320,703250989,15654496,1710055,1997
US,air transportation,34069,102534723,32658,2713,100246971,2287752,248363,1997
US,water transport and terminals,7949,25806609,7481,946,24970307,836302,82160,1997
US,public welfare,254125,611639928,234549,38817,578109193,33530735,3373721,1997
US,health,214824,554246182,189701,52831,501721042,52525140,4358205,1997
US,hospitals,515721,1363654533,446036,119100,1197506439,166148094,12173134,1997
US,solid waste management,106463,266043247,100956,12183,257508367,8534880,995518,1997
US,sewerage,121726,348728609,118970,8815,343163450,5565159,516947,1997
US,parks and recreation,195457,419677396,142374,148342,343644116,76033280,9302794,1997
US,housing and community development,115062,291681806,108720,13854,279681765,12000041,1092883,1997
US,natural resources,34216,86289131,31438,8921,81668306,4620825,496091,1997
US,water transport and terminals,152619,433082380,148383,15059,424900579,8181801,800823,1997
US,electric power,72873,274444257,71607,2289,271601527,2842730,223787,1997
US,gas supply,9764,26491708,9642,208,26288596,203112,21526,1997
US,transit,171918,596866921,163284,14403,578553757,18313164,1503718,1997
US,education - elementary and secondary instructional,3836878,11572990847,3555178,730864,11033955158,539035689,47876106,1997
US,education - elementary and secondary other,1643328,3021318417,1310646,761230,2525422444,495895973,56201755,1997
US,education - higher education instructional,129713,448861688,79357,156172,320831878,128029810,8705849,1997
US,education - higher education other,156467,357605363,111990,138860,293230354,64375009,7714082,1997
US,libraries,109243,232301583,77212,77817,184058608,48242975,5554745,1997
US,other and unallocable,267832,680661758,238390,110562,631424439,49237319,5229247,1997
AL,total,175369,365407830,165077,26161,348809288,16598542,1791619,1997
AL,financial administration,3358,7223234,3282,218,7102087,121147,14596,1997
AL,other government administration,2352,5248924,2169,1624,4609775,639149,34613,1997
AL,judicial and legal,1500,3397968,1377,493,3088745,309223,23721,1997
AL,police protection - officers,8492,21290528,8392,259,21135551,154977,18677,1997
AL,police protection - other,2113,3724739,1886,677,3413797,310942,41611,1997
AL,fire protection - firefighters,4648,11911455,4485,683,11703695,207760,29253,1997
AL,fire protection - other,190,416860,184,32,407889,8971,1148,1997
AL,corrections,2564,5355122,2469,147,5243181,111941,17062,1997
AL,streets and highways,6980,12541869,6815,305,12307571,234298,29812,1997
AL,air transportation,445,960871,406,65,900263,60608,6820,1997
AL,water transport and terminals,174,278822,174,0,278822,0,0,1997
AL,public welfare,1204,1724259,1044,289,1527737,196522,28387,1997
AL,health,4381,8945219,4032,818,8370888,574331,62001,1997
AL,hospitals,22859,50305934,19072,5936,42756010,7549924,662371,1997
AL,solid waste management,3562,6028743,3478,161,5911939,116804,15114,1997
AL,sewerage,1210,2716734,1200,30,2703451,13283,2183,1997
AL,parks and recreation,3309,5722837,2645,1535,4968184,754653,118166,1997
AL,housing and community development,2460,5382907,2355,220,5226841,156066,17653,1997
AL,natural resources,264,444656,233,48,414101,30555,4528,1997
AL,water transport and terminals,3351,7494509,3261,272,7361303,133206,17385,1997
AL,electric power,1130,3197134,1105,33,3163302,33832,4300,1997
AL,gas supply,843,2178803,818,40,2149714,29089,4465,1997
AL,transit,134,225454,105,46,191161,34293,5344,1997
AL,education - elementary and secondary instructional,65776,154728843,64528,5536,152959587,1769256,206970,1997
AL,education - elementary and secondary other,26253,33333549,24353,5364,31111216,2222333,319353,1997
AL,libraries,950,1712635,752,457,1442185,270450,34851,1997
AL,other and unallocable,4867,8915222,4457,873,8360293,554929,71235,1997
AK,total,23132,83188328,20734,7347,78173856,5014472,409168,1997
AK,financial administration,798,2902745,773,66,2835462,67283,4836,1997
AK,other government administration,775,2711470,695,443,2513076,198394,14338,1997
AK,judicial and legal,97,411005,97,1,409899,1106,36,1997
AK,police protection - officers,731,3637121,708,56,3594211,42910,3563,1997
AK,police protection - other,446,1740060,431,46,1709408,30652,2982,1997
AK,fire protection - firefighters,545,2627429,512,171,2566626,60803,5831,1997
AK,fire protection - other,22,66214,18,11,57668,8546,806,1997
AK,corrections,37,132891,36,3,127938,4953,310,1997
AK,streets and highways,666,2562277,641,86,2507771,54506,4395,1997
AK,air transportation,77,277091,75,6,270389,6702,489,1997
AK,water transport and terminals,114,417985,103,22,387105,30880,1847,1997
