state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,10786166,0.09,46989101504,0.08,3201897,0.1,3522535869,0.1,202589221,0.11,11973790,0.08,13988063,0.07,50511637373,0.08,0,0,2011
US,financial administration,212327,0.19,941669132,0.16,34996,0.41,35723976,0.4,1965953,0.34,223137,0.19,247323,0.17,977393108,0.15,0,0,2011
US,other government administration,187874,0.2,842599906,0.19,131544,0.23,81649158,0.28,4165478,0.27,211516,0.2,319418,0.15,924249064,0.17,0,0,2011
US,judicial and legal,229639,0.17,1083182118,0.12,32634,0.27,45501881,0.27,2086577,0.27,241467,0.19,262273,0.15,1128683999,0.12,0,0,2011
US,police protection total,810190,0.15,4417410663,0.13,94841,0.32,90877062,0.24,5891154,0.26,843573,0.15,905031,0.14,4508287725,0.13,0,0,2011
US,police protection - officers,636088,0.15,3709013376,0.13,32176,0.26,33006394,0.26,1965954,0.3,646934,0.14,668264,0.14,3742019770,0.13,0,0,2011
US,police protection - other,174102,0.17,708397287,0.15,62665,0.35,57870668,0.22,3925200,0.24,196639,0.16,236767,0.16,766267955,0.14,0,0,2011
US,fire protection total,323459,0.25,1941256992,0.25,86480,0.49,40538477,0.85,2730746,0.91,339216,0.27,409939,0.22,1981795469,0.25,0,0,2011
US,fire protection - firefighters,297094,0.25,1803932623,0.25,80213,0.47,34777571,0.81,2427790,0.88,311141,0.26,377307,0.22,1838710194,0.25,0,0,2011
US,fire protection - other,26365,0.29,137324369,0.3,6267,0.81,5760906,1.08,302956,1.11,28075,0.36,32632,0.28,143085275,0.29,0,0,2011
US,corrections,253646,0.29,1079487721,0.19,13713,0.45,19142967,0.42,1173751,0.5,260495,0.3,267359,0.28,1098630688,0.19,0,0,2011
US,highways,271586,0.23,1084917392,0.2,20266,0.18,20940342,0.18,1448112,0.19,279779,0.23,291852,0.22,1105857734,0.2,0,0,2011
US,air transportation,41359,0.34,205405297,0.27,3275,0.92,4591335,0.78,302682,0.89,42985,0.38,44634,0.33,209996632,0.26,0,0,2011
