state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,10505295,0.18,29608295941,0.16,9364925,0.2,2965842,0.84,27514312065,0.16,2093983876,0.74,197420356,0.74,1998
US,financial administration,198954,0.36,541541786,0.33,188744,0.34,38813,2.34,518803675,0.33,22738111,2.11,1961440,2.17,1998
US,other government administration,201061,0.61,577345476,0.48,180471,0.57,155526,1.98,522632034,0.47,54713442,2.34,3868861,2.47,1998
US,judicial and legal ,216993,0.28,652594601,0.2,205992,0.29,29396,1.69,625923125,0.2,26671476,1.67,1981217,1.57,1998
US,police protection - officers,561139,0.2,2068530432,0.19,551046,0.2,30996,2.28,2049626674,0.19,18903758,2.34,1814812,3.07,1998
US,police - other ,163646,0.38,399978445,0.31,141177,0.37,58282,1.19,364309873,0.3,35668572,1.55,3932430,1.56,1998
US,firefighters ,261228,0.31,991370992,0.37,249182,0.23,87501,4.35,972392869,0.37,18978123,4.84,2200867,4.18,1998
US,fire - other ,20694,0.78,63639395,0.71,19204,0.78,6738,7.22,60718216,0.72,2921179,4.02,298828,4.27,1998
US,correction ,217943,0.24,625514117,0.15,210191,0.23,15468,1.22,611174790,0.15,14339327,0.91,1348956,1.19,1998
US,streets and highways ,288201,0.45,757998717,0.4,278783,0.45,24772,12.07,741812053,0.4,16186664,3.44,1694070,3.45,1998
US,air transportation ,35002,0.18,109953026,0.1,33620,0.14,2808,1.61,107604203,0.09,2348823,2.21,244233,2.34,1998
US,water transport and terminals,7920,1.27,27149203,1.04,7459,0.88,975,8.81,26197393,0.94,951810,14.6,81802,7.71,1998
US,public welfare ,253118,0.46,623384766,0.35,232517,0.47,39893,1.97,587028743,0.36,36356023,1.58,3555572,2.03,1998
US,health ,219655,0.53,588402821,0.38,195426,0.54,54954,2.06,533597409,0.4,54805412,0.85,4354249,1.24,1998
US,hospitals ,510517,0.69,1388114739,0.52,440113,0.68,119814,0.81,1213691619,0.58,174423120,0.81,12297918,1.19,1998
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
US,solid waste management ,107434,0.5,276182325,0.36,101855,0.52,12214,2.07,267772211,0.37,8410114,1.68,998602,1.86,1998
US,sewerage ,122904,0.39,365002253,0.62,120168,0.38,9505,4.35,359507774,0.62,5494479,2.86,524787,3.81,1998
US,parks and recreation ,203469,0.44,447965394,0.44,147251,0.62,159336,1.1,363646848,0.44,84318546,1.41,9896478,1.2,1998
US,housing and comm dev ,113253,0.58,308909759,0.59,106990,0.54,12585,2.45,297616987,0.6,11292772,2.39,1069938,2.46,1998
US,natural resources,35622,3.83,92773884,2.65,32830,3.85,9082,3.72,87975405,2.79,4798479,3.43,514784,3.53,1998
US,water supply ,155430,0.46,456118132,0.59,151083,0.44,15224,2.88,447442392,0.6,8675740,2.89,809855,3.46,1998
US,electric power ,71798,0.43,275945702,0.27,70302,0.4,2726,5.4,272387483,0.27,3558219,2.72,265460,4.5,1998
US,gas supply ,10020,0.97,27777585,0.86,9889,0.97,351,28.65,27494890,0.86,282695,8.47,26904,15.56,1998
US,transit,173367,0.08,598391907,0.05,164597,0.06,15134,0.92,580403826,0.04,17988081,1.33,1531237,1.01,1998
US,education - elementary and secondary instructional,3978405,0.15,12255592722,0.13,3666464,0.16,783573,0.75,11647717031,0.13,607875691,0.74,53515012,0.78,1998
US,elemandsec other - tot ,1705862,0.24,3253722438,0.29,1347872,0.28,799446,0.66,2705361951,0.32,548360487,0.68,60744988,0.62,1998
US,higher ed instruct ,128726,0.12,487848913,0.04,81499,0.01,158926,0.18,351294943,0.01,136553970,0.12,8163752,0.32,1998
US,education - higher education other,169518,0.01,401110859,0.01,119443,0.01,145544,0.03,326915355,0.01,74195504,0.04,8691123,0.03,1998
US,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
US,libraries,111328,0.38,241561025,0.28,77696,0.36,81320,0.59,189294597,0.26,52266428,0.89,5856036,0.83,1998
US,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
US,other and unallocable,262088,0.92,703874527,0.73,233061,0.92,94940,3.53,653967696,0.78,49906831,1.83,5176145,2.21,1998
AL,total,174803,0.82,378177049,0.71,164602,0.82,27628,4.49,360963222,0.73,17213827,3.03,1778684,3.77,1998
AL,financial administration,3457,1.71,7710930,1.36,3383,1.52,217,26.78,7564944,1.35,145986,17.32,14040,13.48,1998
AL,other government administration,2286,4.08,5428863,2.48,2048,3.87,2217,14.46,4725225,2.61,703638,7.65,38683,6.71,1998
AL,judicial and legal ,1608,1.96,3683773,2.09,1472,1.9,478,26.18,3369567,2.01,314206,11.79,24935,12.83,1998
AL,police protection - officers,8691,0.88,22506374,0.7,8570,0.98,445,17.54,22268991,0.69,237383,13.11,26038,18.29,1998
AL,police - other ,2322,1.87,4328663,1.78,2041,1.96,749,7.2,3951746,1.88,376917,5.31,50803,5.39,1998
AL,firefighters ,4869,0.75,12655531,0.48,4599,0.26,417,15.5,12293044,0.41,362487,9.51,46593,9.01,1998
AL,fire - other ,177,2.86,395102,2.33,168,2.99,31,4.82,381676,2.29,13426,21.31,1370,16.73,1998
AL,correction ,2607,2.14,5391258,1.46,2496,2.14,186,8.14,5234544,1.49,156714,7.88,20979,8.94,1998
AL,streets and highways ,6995,1.61,13229212,1.39,6906,1.28,242,25.04,13056386,1.37,172826,24.26,18807,22.4,1998
AL,air transportation ,448,0,1006564,0,408,0,69,0,943360,0,63204,0,7151,0,1998
AL,water transport and terminals,174,0,278822,0,174,0,0,0,278822,0,0,0,0,0,1998
AL,public welfare ,1312,8.41,1844263,6.44,1146,9.53,351,22.16,1644564,6.7,199699,22.18,31129,23.61,1998
