state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,total,9995517,0.13,25878423979,0.12,8929894,0.15,2844942,0.88,24031634638,0.13,1846789341,0.41,184988961,0.45,1994
US,financial administration,186509,0.53,450910120,0.41,176615,0.51,38998,3.39,431243254,0.41,19666866,2.6,1886924,2.84,1994
US,other government administration,186953,0.79,482398949,0.57,169232,0.79,149660,2.87,439190929,0.57,43208020,2.67,3361702,2.82,1994
US,judicial and legal,201308,0.48,544315580,0.38,191470,0.49,26625,2.34,521681745,0.38,22633835,2.15,1780441,1.77,1994
US,police protection - officers,508079,0.41,1709866603,0.33,499196,0.4,29067,3.29,1694544733,0.33,15321870,2.99,1640118,3.55,1994
US,police protection - other,154611,0.54,333576541,0.4,131406,0.52,61918,1.5,299152922,0.42,34423619,1.23,4116882,1.4,1994
US,fire protection - firefighters,252692,1.62,860314901,1.2,241915,1.49,88909,7.19,845841949,1.22,14472952,7.93,1963102,9.67,1994
US,fire protection - other,18431,1.3,51482929,0.9,16921,1.03,6508,18.42,48750988,0.85,2731941,7.45,282866,6.98,1994
US,corrections,200836,0.48,530664645,0.32,194112,0.48,16031,1.47,519100896,0.32,11563749,1.39,1172295,1.74,1994
US,streets and highways,285716,0.65,660277381,0.56,274641,0.66,23841,4.01,643399604,0.57,16877777,2.66,1992913,3.28,1994
US,air transportation,32899,0.37,91946130,0.31,31748,0.37,2329,2.54,90061743,0.31,1884387,2.4,211302,2.45,1994
US,water transport and terminals,7097,1.7,22644472,0.94,6708,0.76,962,7.14,21818793,0.87,825679,11.59,67477,27.93,1994
US,public welfare,265456,0.55,573203692,0.39,244111,0.52,41852,1.78,540642918,0.41,32560774,1.53,3704933,1.87,1994
US,health,202732,0.68,495696362,0.5,180632,0.7,50279,3.17,451161711,0.54,44534651,1.14,3838570,1.42,1994
US,hospitals,551707,0.8,1389096888,0.7,479251,0.84,125026,1.3,1213073401,0.77,176023487,1.55,12773040,1.31,1994
US,solid waste management,109342,0.71,255929932,0.56,103983,0.71,12301,2.99,248261465,0.57,7668467,2.18,976524,2.55,1994
US,sewerage,120221,0.75,332344123,0.62,120341,0.71,7750,6.66,327451078,0.62,4893045,4.93,496717,5.48,1994
US,parks and recreation,201362,0.66,400862272,0.5,145173,0.51,154367,2.72,323935815,0.52,76926457,1.46,9867636,1.53,1994
US,housing and community development,123173,1.38,304982204,1.14,116983,1.37,13486,4.09,294948080,1.17,10034124,3.16,1087085,3.3,1994
US,natural resources,36090,0.95,77444091,0.84,33460,0.93,10054,6.44,73437035,0.86,4007056,3.65,469005,3.44,1994
US,water transport and terminals,152207,0.83,400466737,0.69,147013,0.81,17085,5.53,391551651,0.7,8915086,4.04,980863,5.12,1994
US,electric power,75491,1.11,264230149,0.62,74021,1.09,4654,7.26,261479702,0.63,2750447,3.84,263375,6.27,1994
US,gas supply,10320,1.64,26326618,0.85,10199,1.53,278,18.29,26125439,0.85,201179,8.04,23555,9.99,1994
US,transit,185426,0.12,566800075,0.09,174291,0.1,14796,0.77,543295170,0.09,23504905,0.47,2009723,0.52,1994
US,education - elementary and secondary instructional,3675398,0.18,10617252554,0.17,3391071,0.18,739084,0.78,10099305072,0.17,517947482,0.77,48773691,0.83,1994
US,education - elementary and secondary other,1603364,0.25,2778312560,0.49,1267363,0.52,746113,2.73,2287872206,0.57,490440354,0.86,57066688,0.87,1994
US,education - higher education instructional,119362,0.05,462297708,0.05,79387,0.07,146934,0.05,341251057,0.06,121046651,0.09,6698427,0.07,1994
US,education - higher education other,156338,0.2,345774483,0.27,113367,0.28,124459,0.01,289510823,0.32,56263660,0.01,7406031,0.02,1994
US,libraries,101898,0.68,194325740,0.5,73821,0.63,73784,8.48,155582352,0.54,38743388,1.22,4895928,1.34,1994
US,other and unallocable,270499,2.06,654679540,1.57,241463,2.08,117792,4.72,607962107,1.64,46717433,4.78,5181148,4.43,1994
AL,total,160212,0.73,312472058,0.62,151486,0.76,26901,3.59,299487925,0.63,12984133,2.53,1536750,3.44,1994
AL,financial administration,3181,3.44,6387125,3.72,3085,3.41,208,8.73,6246447,3.8,140678,10.35,16540,11.74,1994
AL,other government administration,2155,14.8,4542630,13.52,1958,16.27,1708,28.68,3973907,15.34,568723,13.04,40329,12.46,1994
AL,judicial and legal,1401,4.4,2978424,2.37,1233,4.51,624,11.94,2658439,2.42,319985,9.13,27862,10.98,1994
AL,police protection - officers,7273,2.15,17632760,1.68,7224,2.27,254,25.7,17520826,1.68,111934,29.81,15853,29.78,1994
AL,police protection - other,2119,4.97,3315029,3.88,1824,4.6,769,6.85,2949696,4.16,365333,10.48,50495,11.29,1994
AL,fire protection - firefighters,4333,1,10428611,0.97,4253,0.95,360,27.6,10329204,0.96,99407,21.03,13344,21.94,1994
AL,fire protection - other,145,1.66,327190,2.28,141,1.34,17,8.79,320722,2.26,6468,25.79,724,28.06,1994
AL,corrections,2264,6.84,4302927,4.4,2149,6.39,224,16.63,4186768,4.45,116159,29.15,20828,28.62,1994
AL,streets and highways,6224,3.66,10612662,3.27,6027,3.38,268,32.41,10415357,3.27,197305,34.04,33417,35.92,1994
AL,air transportation,383,0,766582,0,374,0,20,0,754481,0,12101,0,1733,0,1994
AL,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
AL,public welfare,1140,9.6,1558189,6.27,952,8.65,326,32.18,1371557,5.7,186632,31.45,33182,37.69,1994
AL,health,3263,0.19,6338519,0.34,3071,0.2,599,8.35,6048003,0.17,290516,6.54,38938,8.09,1994
AL,hospitals,20135,2.06,39266411,1.89,17609,2.03,4097,3.51,34729851,2.11,4536560,2.72,447442,2.89,1994
AL,solid waste management,3453,4.01,5503178,3.48,3414,4.06,62,8.85,5458095,3.5,45083,5.24,6725,6.77,1994
AL,sewerage,1339,3.71,2720467,2.64,1334,3.72,8,0,2714520,2.64,5947,0,852,0,1994
AL,parks and recreation,2737,2.13,4394651,1.22,2278,2.52,883,1.82,3867856,1.36,526795,1.7,80105,2.28,1994
AL,housing and community development,2794,18.03,5365851,13.4,2561,18.37,350,24,5053475,14.21,312376,9.63,40111,16.47,1994
AL,natural resources,171,2.22,262026,2.14,148,2.56,45,0,236248,2.38,25778,0,4099,0,1994
