state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,year
US,total,10959809,0.09,47232462418,0.08,3241293,0.09,3507242252,0.1,205666982,0.11,12171373,0.08,14201102,0.07,50739704670,0.08,2010
US,financial administration,214869,0.19,950154203,0.16,36211,0.38,37653836,0.36,2055594,0.27,226313,0.19,251080,0.17,987808039,0.15,2010
US,other government administration,195454,0.2,870489991,0.18,142951,0.24,81335332,0.31,4290359,0.29,219915,0.19,338405,0.15,951825323,0.17,2010
US,judicial and legal,235022,0.18,1096910963,0.13,32455,0.26,44574069,0.25,2112041,0.27,247197,0.2,267477,0.16,1141485032,0.12,2010
US,police protection total,805069,0.16,4300514725,0.14,94942,0.25,90322264,0.24,5922840,0.26,839664,0.16,900011,0.14,4390836989,0.14,2010
US,police protection - officers,626552,0.15,3587329272,0.14,32179,0.24,33429861,0.22,2054690,0.25,638532,0.15,658731,0.14,3620759133,0.13,2010
US,police protection - other,178517,0.19,713185453,0.16,62763,0.25,56892403,0.26,3868150,0.27,201132,0.19,241280,0.15,770077856,0.15,2010
US,fire protection total,326475,0.26,1904135353,0.26,84000,0.44,42482877,0.83,2833157,0.84,342941,0.27,410475,0.22,1946618230,0.25,2010
US,fire protection - firefighters,300441,0.25,1772632601,0.25,78614,0.41,37037247,0.8,2539992,0.82,315205,0.26,379055,0.22,1809669848,0.25,2010
US,fire protection - other,26034,0.37,131502752,0.34,5386,0.89,5445630,1.07,293165,1.04,27736,0.41,31420,0.34,136948382,0.33,2010
US,corrections,255390,0.27,1066063175,0.18,14194,0.49,19065798,0.44,1211861,0.51,262396,0.28,269584,0.26,1085128973,0.18,2010
US,highways,280735,0.24,1097265892,0.21,20850,0.18,20653325,0.17,1472206,0.2,289244,0.24,301585,0.22,1117919217,0.2,2010
US,air transportation,42479,0.34,205392407,0.25,3112,1.61,4385716,1.29,298741,1.63,44099,0.37,45591,0.34,209778123,0.25,2010
US,water transport and terminals,7696,0.49,42450430,0.4,903,0.19,998060,0.21,59942,0.2,8047,0.47,8599,0.44,43448490,0.39,2010
US,public welfare,249964,0.38,992127979,0.3,38819,0.79,54436419,0.77,3575790,0.87,270732,0.42,288783,0.34,1046564398,0.29,2010
US,health,229763,0.3,966718270,0.23,56455,0.45,83981676,0.36,4282716,0.56,254463,0.32,286218,0.26,1050699946,0.22,2010
US,hospitals,501064,0.24,2402037509,0.21,136905,0.4,306647413,0.44,12979308,0.5,576125,0.24,637969,0.2,2708684922,0.2,2010
US,social insurance administration,487,0.01,2637392,0.01,0,0.01,0,0.01,0,0.01,487,0.01,487,0,2637392,0,2010
US,solid waste management,99291,0.26,368648432,0.21,14694,0.45,13326711,0.38,1156752,0.46,105887,0.27,113985,0.23,381975143,0.21,2010
US,sewerage,121909,0.25,551374688,0.24,6564,0.31,5899114,0.19,311031,0.26,123667,0.25,128473,0.24,557273802,0.24,2010
US,parks and recreation,158316,0.25,611563250,0.26,204992,0.41,154379312,0.36,12227728,0.4,229623,0.29,363308,0.26,765942562,0.22,2010
US,housing and community development,104946,0.42,447962263,0.39,11251,0.61,13491065,0.64,844850,0.55,109817,0.43,116197,0.38,461453328,0.38,2010
US,natural resources,36298,0.35,153974915,0.37,6713,0.33,6165376,0.48,443577,0.47,38787,0.36,43011,0.3,160140291,0.36,2010
US,water transport and terminals,167880,0.25,765203985,0.26,11284,0.22,11379786,0.24,690242,0.29,171816,0.25,179164,0.24,776583771,0.25,2010
US,electric power,73621,0.41,466154887,0.4,2506,0.47,4801013,0.66,227057,0.46,74921,0.41,76127,0.4,470955900,0.4,2010
US,gas supply,10825,0.41,46739119,0.35,362,0.16,633695,0.12,36473,0.1,11034,0.41,11187,0.4,47372814,0.35,2010
US,transit,196048,0.21,987422913,0.18,16512,0.91,29576115,0.84,1784445,0.95,206348,0.23,212560,0.21,1016999028,0.17,2010
US,education total,6319341,0.2,25564640222,0.19,2140435,0.24,2326227558,0.24,135717070,0.25,7126815,0.2,8459776,0.16,27890867780,0.18,2010
US,education - elementary and secondary total,6073062,0.19,24343058652,0.19,1775987,0.2,1930584378,0.2,118440745,0.22,6779503,0.19,7849049,0.16,26273643030,0.17,2010
US,education - elementary and secondary instructional,4379777,0.19,19688419755,0.19,955629,0.2,1094758812,0.19,61583914,0.22,4748013,0.19,5335406,0.16,20783178567,0.18,2010
US,education - elementary and secondary other,1693285,0.2,4654638897,0.19,820358,0.21,835825566,0.22,56856831,0.23,2031490,0.19,2513643,0.15,5490464463,0.16,2010
US,education - higher education total,246279,0.34,1221581570,0.32,364448,0.41,395643180,0.43,17276325,0.45,347312,0.33,610727,0.28,1617224750,0.26,2010
US,education - higher education instructional,91232,0.33,585570040,0.32,201170,0.45,277210108,0.44,8013558,0.52,137722,0.35,292402,0.33,862780148,0.26,2010
US,education - higher education other,155047,0.34,636011530,0.31,163278,0.34,118433072,0.39,9262767,0.39,209590,0.31,318325,0.24,754444602,0.27,2010
US,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
US,libraries,90082,0.29,335270659,0.3,97803,0.36,91779145,0.39,6884684,0.37,129929,0.31,187885,0.24,427049804,0.25,2010
US,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
US,other and unallocable,236785,0.22,1036608796,0.18,66380,0.31,63046577,0.25,4248518,0.31,261106,0.23,303165,0.18,1099655373,0.17,2010
AL,total,187180,0.67,606388206,0.67,24261,0.72,27210419,0.37,1811985,0.52,197544,0.64,211441,0.6,633598625,0.64,2010
AL,financial administration,3813,2.96,13094714,2.32,137,1.48,134857,1.27,11758,1.35,3868,2.98,3950,2.86,13229571,2.29,2010
AL,other government administration,2355,1.9,8327081,1.69,1439,2.68,1204103,3.37,47312,2.38,2581,2.06,3794,1.56,9531184,1.54,2010
AL,judicial and legal,1410,1.04,4601203,1.04,323,1.56,347775,1.94,16218,1.78,1501,1.28,1733,0.89,4948978,0.98,2010
AL,police protection total,11718,1.72,42927515,1.45,1117,1.73,1108778,2.05,84507,1.4,12195,1.68,12835,1.58,44036293,1.42,2010
AL,police protection - officers,9535,1.69,36873214,1.42,503,2.21,468513,2.27,32634,1.37,9719,1.64,10038,1.61,37341727,1.4,2010
AL,police protection - other,2183,1.85,6054301,1.65,614,1.34,640265,1.9,51873,1.42,2476,1.87,2797,1.47,6694566,1.5,2010
AL,fire protection total,5603,1.89,23567291,1.56,813,2.17,525830,2.34,38556,2.24,5821,1.91,6416,1.68,24093121,1.53,2010
AL,fire protection - firefighters,5372,1.79,22761792,1.52,797,2.2,507234,2.41,37052,2.29,5582,1.82,6169,1.58,23269026,1.48,2010
AL,fire protection - other,231,4.34,805499,2.73,16,0.65,18596,0.46,1504,1.08,239,4.13,247,4.06,824095,2.67,2010
AL,corrections,3362,2.86,9862542,2.12,257,4.39,282297,4.39,23350,5.05,3494,2.94,3619,2.68,10144839,2.06,2010
AL,highways,6426,1.9,18805401,1.93,182,3.18,241104,3.14,19469,4.09,6535,1.95,6608,1.85,19046505,1.91,2010
AL,air transportation,511,13.21,1589390,15.85,30,2.37,28153,1.04,3110,0.78,528,12.76,541,12.48,1617543,15.58,2010
AL,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,public welfare,1144,2.13,2571869,2.04,587,1.98,516897,2.18,55237,1.98,1458,2.15,1731,1.56,3088766,1.74,2010
AL,health,5034,1.14,13962772,1.02,1243,0.96,1155689,1.22,88522,1.23,5536,1.47,6277,0.94,15118461,0.95,2010
AL,hospitals,21691,0,84528957,0.03,6822,0.09,14167286,0.05,729436,0.07,25863,0.01,28513,0.02,98696243,0.03,2010
AL,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,solid waste management,3382,2.73,9405023,2.14,83,0.55,100801,0.44,9555,0.47,3436,2.72,3465,2.67,9505824,2.12,2010
AL,sewerage,1438,1.9,5390479,2.31,17,0.01,22547,0.01,1438,0.01,1446,1.89,1455,1.88,5413026,2.3,2010
AL,parks and recreation,2796,1.58,8110737,1.45,1940,2.75,1340493,2.61,148838,2.6,3637,1.98,4736,1.46,9451230,1.3,2010
AL,housing and community development,1904,2.48,6804841,2.41,99,2.75,92365,2.89,7442,2.91,1947,2.52,2003,2.36,6897206,2.38,2010
AL,natural resources,435,0.06,1172303,0.07,4,0.5,7926,0.47,669,0.51,439,0.06,439,0.06,1180229,0.07,2010
AL,water transport and terminals,4511,1.17,15252794,1.18,167,0.76,180684,0.69,12353,0.67,4583,1.17,4678,1.13,15433478,1.17,2010
AL,electric power,1101,5.66,4838990,5.52,36,0.87,59861,0.34,3809,0.45,1123,5.58,1137,5.48,4898851,5.46,2010
AL,gas supply,897,1.19,3361988,2.03,30,0.46,32602,0.82,2678,0.36,912,1.16,927,1.15,3394590,2.01,2010
AL,transit,503,0.83,1474677,0.49,73,1.2,93283,1.11,8106,1.33,550,0.7,576,0.74,1567960,0.46,2010
AL,education total,101417,1.58,308291682,1.53,7713,2.9,4317858,2.6,394399,2.9,103767,1.56,109130,1.48,312609540,1.51,2010
AL,education - elementary and secondary total,101417,1.58,308291682,1.53,7713,2.9,4317858,2.6,394399,2.9,103767,1.56,109130,1.48,312609540,1.51,2010
AL,education - elementary and secondary instructional,69045,1.56,247534253,1.55,4978,2.28,2883381,1.9,235924,2.4,70441,1.54,74023,1.46,250417634,1.53,2010
AL,education - elementary and secondary other,32372,1.63,60757429,1.47,2735,4.03,1434477,4.01,158475,3.63,33326,1.61,35107,1.54,62191906,1.43,2010
AL,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
