state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
US,2012,total,10616251,46673559903,3287363,3736502376,218884365,11891751,13903614,50410062279
US,2012,financial administration,210342,948299327,41060,41362723,2448835,223561,251402,989662050
US,2012,other government administration,188194,843692729,171037,89463091,4786438,214253,359231,933155820
US,2012,judicial and legal,223041,1071016269,32356,47020506,2222786,235471,255397,1118036775
US,2012,police protection total,774983,4276363009,93278,95216015,6368182,811222,868261,4371579024
US,2012,police protection - officers,611274,3599967383,34933,38200098,2428290,624993,646207,3638167481
US,2012,police protection - other,163709,676395626,58345,57015917,3939892,186229,222054,733411543
US,2012,fire protection total,321835,1955268048,106456,52512587,3780559,343017,428291,2007780635
US,2012,fire protection - firefighters,295050,1815417579,94989,43591844,3285389,313522,390039,1859009423
US,2012,fire protection - other,26785,139850469,11467,8920743,495170,29495,38252,148771212
US,2012,corrections,248295,1076540987,14081,18856579,1236495,255393,262376,1095397566
US,2012,highways,266753,1078693749,24812,27330638,1949041,277575,291565,1106024387
US,2012,air transportation,41114,206626551,3902,4775965,338863,43044,45016,211402516
US,2012,water transport and terminals,7815,46842415,998,1237826,77459,8252,8813,48080241
US,2012,public welfare,249872,1008129769,38475,54363008,3526176,270205,288347,1062492777
US,2012,health,219332,949355384,54534,84472657,4334854,244042,273866,1033828041
US,2012,hospitals,490946,2440512845,131434,343858856,13195123,566864,622380,2784371701
US,2012,social insurance administration,462,2519625,0,0,0,462,462,2519625
US,2012,solid waste management,96629,389813731,14565,14310604,1242705,103607,111194,404124335
US,2012,sewerage,119223,547114196,9759,8973252,540105,122077,128982,556087448
US,2012,parks and recreation,148525,584103095,201605,156581577,12979875,222438,350130,740684672
US,2012,housing and community development,101474,450208308,12204,15543695,964065,107013,113678,465752003
US,2012,natural resources,33860,143509104,7881,7093772,459304,36438,41741,150602876
US,2012,water transport and terminals,163044,760403616,15335,14483324,880016,167761,178379,774886940
US,2012,electric power,73298,481295387,2462,5007439,234266,74623,75760,486302826
US,2012,gas supply,11111,49748914,361,570776,26951,11263,11472,50319690
US,2012,transit,182244,976806650,17257,32429507,1959508,193392,199501,1009236157
US,2012,education total,6133248,25072763788,2121737,2456766977,143470318,6981404,8254985,27529530765
US,2012,education - elementary and secondary total,5894884,23834963125,1757182,2038910886,126059940,6642462,7652066,25873874011
US,2012,education - elementary and secondary instructional,4239686,19229873420,968609,1188324754,66539046,4632812,5208295,20418198174
US,2012,education - elementary and secondary other,1655198,4605089705,788573,850586132,59520894,2009650,2443771,5455675837
US,2012,education - higher education total,238364,1237800663,364555,417856091,17410378,338942,602919,1655656754
US,2012,education - higher education instructional,88339,585948270,211325,297142920,8309815,136378,299664,883091190
US,2012,education - higher education other,150025,651852393,153230,120713171,9100563,202564,303255,772565564
US,2012,education - other,0,0,0,0,0,0,0,0
US,2012,libraries,85871,322957904,94193,95554771,7144519,127098,180064,418512675
US,2012,liquor stores,0,0,0,0,0,0,0,0
US,2012,other and unallocable,224740,990974503,77581,68716231,4717922,251276,302321,1059690734
AL,2012,total,179300,601164925,28787,33581843,2297060,192683,208087,634746768
AL,2012,financial administration,3809,13029444,212,204496,16607,3901,4021,13233940
AL,2012,other government administration,2476,8386294,2049,1277116,64778,2836,4525,9663410
AL,2012,judicial and legal,1470,5067935,453,486758,27446,1620,1923,5554693
AL,2012,police protection total,12323,45852974,1211,1135427,98510,12889,13534,46988401
AL,2012,police protection - officers,9980,39349463,507,515205,43546,10236,10487,39864668
AL,2012,police protection - other,2343,6503511,704,620222,54964,2653,3047,7123733
AL,2012,fire protection total,5791,23864548,877,588482,50925,6082,6668,24453030
AL,2012,fire protection - firefighters,5498,22857738,819,564626,49162,5777,6317,23422364
AL,2012,fire protection - other,293,1006810,58,23856,1763,305,351,1030666
AL,2012,corrections,3260,9555246,242,286206,26626,3413,3502,9841452
AL,2012,highways,6111,18096751,290,367214,33859,6302,6401,18463965
AL,2012,air transportation,457,1618792,38,39389,3928,480,495,1658181
AL,2012,water transport and terminals,5,15296,2,2214,281,7,7,17510
AL,2012,public welfare,912,2054858,459,457345,44508,1167,1371,2512203
AL,2012,health,5584,15206835,1300,1321542,102641,6165,6884,16528377
AL,2012,hospitals,20903,81270605,6745,15574430,700349,25088,27648,96845035
AL,2012,social insurance administration,0,0,0,0,0,0,0,0
AL,2012,solid waste management,3276,8702411,162,194674,17970,3381,3438,8897085
AL,2012,sewerage,1405,5357806,53,55750,3945,1428,1458,5413556
AL,2012,parks and recreation,2856,8399192,2146,1567314,169938,3815,5002,9966506
AL,2012,housing and community development,1896,6815468,237,242037,17918,2002,2133,7057505
AL,2012,natural resources,439,1126301,67,80343,5834,475,506,1206644
AL,2012,water transport and terminals,3764,14497499,265,262871,18573,3868,4029,14760370
AL,2012,electric power,1102,5410530,29,62043,3273,1121,1131,5472573
AL,2012,gas supply,862,3481495,33,25952,2639,877,895,3507447
AL,2012,transit,504,1455635,129,154372,14456,587,633,1610007
AL,2012,education total,94610,303507834,10315,7627176,707313,98756,104925,311135010
AL,2012,education - elementary and secondary total,94610,303507834,10315,7627176,707313,98756,104925,311135010
AL,2012,education - elementary and secondary instructional,64050,244371346,6802,5293872,464637,66746,70852,249665218
AL,2012,education - elementary and secondary other,30560,59136488,3513,2333304,242676,32010,34073,61469792
AL,2012,education - higher education total,0,0,0,0,0,0,0,0
AL,2012,education - higher education instructional,0,0,0,0,0,0,0,0
AL,2012,education - higher education other,0,0,0,0,0,0,0,0
AL,2012,education - other,0,0,0,0,0,0,0,0
AL,2012,libraries,913,2758103,668,730389,67618,1301,1581,3488492
AL,2012,liquor stores,0,0,0,0,0,0,0,0
AL,2012,other and unallocable,4572,15633073,805,838303,97125,5122,5377,16471376
AK,2012,total,25262,128386213,8407,9120998,480987,28028,33669,137507211
AK,2012,financial administration,919,5056753,87,128659,6713,958,1006,5185412
AK,2012,other government administration,898,4833963,823,608666,25415,1043,1721,5442629
AK,2012,judicial and legal,105,674297,3,5989,291,107,108,680286
AK,2012,police protection total,1267,8159696,85,77083,4876,1295,1352,8236779
AK,2012,police protection - officers,891,6415482,50,46418,3128,909,941,6461900
AK,2012,police protection - other,376,1744214,35,30665,1748,386,411,1774879
AK,2012,fire protection total,753,5708140,548,192350,14067,833,1301,5900490
AK,2012,fire protection - firefighters,649,5054123,534,178891,13226,724,1183,5233014
AK,2012,fire protection - other,104,654017,14,13459,841,109,118,667476
AK,2012,corrections,78,361955,0,0,0,78,78,361955
AK,2012,highways,683,4077634,123,113178,6246,719,806,4190812
AK,2012,air transportation,70,381210,9,15832,808,74,79,397042
AK,2012,water transport and terminals,153,735137,16,23898,1419,161,169,759035
AK,2012,public welfare,125,637928,29,62276,2987,143,154,700204
AK,2012,health,229,1179052,249,204378,11661,295,478,1383430
AK,2012,hospitals,617,3593030,290,838841,27201,774,907,4431871
AK,2012,social insurance administration,0,0,0,0,0,0,0,0
AK,2012,solid waste management,298,1453877,72,84786,4876,322,370,1538663
AK,2012,sewerage,294,1690410,55,49206,3409,314,349,1739616
AK,2012,parks and recreation,379,1616193,559,529431,35582,585,938,2145624
AK,2012,housing and community development,642,3245947,183,377183,16898,742,825,3623130
AK,2012,natural resources,28,180136,3,6703,228,29,31,186839
AK,2012,water transport and terminals,293,1644920,73,85004,4745,323,366,1729924
AK,2012,electric power,460,3397942,64,73668,3280,479,524,3471610
AK,2012,gas supply,6,30119,1,994,64,6,7,31113
AK,2012,transit,217,1157329,57,176722,6813,255,274,1334051
