state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11715128,0.21,42061717074,0.19,10490088,0.23,3435697,0.67,38829721511,0.2,3231995563,0.58,210291081,0.7,2005
US,financial administration,221575,0.77,804334870,0.66,205597,0.73,52018,3.99,759479187,0.64,44855683,4.58,2962807,3.92,2005
US,other government administration,226434,1.19,854726584,0.96,196575,1.27,212047,2.55,754219525,1.03,100507059,2.8,5418210,3.2,2005
US,judicial and legal,246385,0.55,978671857,0.4,232861,0.55,39494,9.32,934470397,0.39,44201460,2.62,2357652,2.65,2005
US,police protection - officers,608894,0.37,2894423488,0.36,593250,0.36,41505,5.01,2849887303,0.37,44536185,3.8,2654610,5.23,2005
US,police protection - other,190765,0.68,631159779,0.56,166439,0.7,67576,2.44,575139601,0.58,56020178,2.19,4250914,2.3,2005
US,fire protection - firefighters,296761,0.64,1466345219,0.46,280825,0.52,131033,6.69,1432160405,0.44,34184814,6.11,2883096,6.38,2005
US,fire protection - other,25678,1.78,105000672,1.45,23213,1.39,14780,13.15,98478741,1.27,6521931,7.71,443443,8.64,2005
US,corrections,242665,0.42,879346408,0.3,235004,0.41,15940,2.45,860471228,0.28,18875180,1.83,1331909,2.58,2005
US,highways,308159,0.8,1044093186,0.86,296828,0.8,28732,4.96,1017213663,0.86,26879523,4.62,2050557,5.03,2005
US,air transportation,41767,0.82,171450114,0.63,40072,0.86,3465,3.79,167619112,0.64,3831002,1.96,294094,3.13,2005
US,water transport and terminals,7257,0.94,34617985,0.55,6916,0.47,1020,11.26,33700428,0.41,917557,8.39,64287,12.21,2005
US,public welfare,275144,0.56,915099102,0.46,253646,0.56,43355,1.67,859491418,0.45,55607684,1.21,3694211,1.54,2005
US,health,246300,0.58,868158463,0.44,222434,0.58,60127,3.81,794801081,0.45,73357382,1.29,4126926,1.89,2005
US,hospitals,520256,0.16,1957533509,0.14,449157,0.15,125166,0.45,1710668176,0.15,246865333,0.26,12235525,0.33,2005
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
US,solid waste management,108257,1.13,365887410,0.76,100486,1.13,19580,4.32,350400362,0.76,15487048,5.03,1369842,4.93,2005
US,sewerage,125889,1.08,486570919,0.94,122235,1.04,13375,8.17,476391399,0.91,10179520,8.08,669313,7.68,2005
US,parks and recreation,229678,0.92,661405358,0.8,161729,0.77,187412,2.02,528861915,0.8,132543443,1.42,11849433,1.82,2005
US,housing and community development,115424,0.6,427125971,0.79,109875,0.6,12536,3.57,414199838,0.78,12926133,3.83,952552,3.96,2005
US,natural resources,39406,2.01,134434046,1.54,35460,2.02,11300,8.19,126278600,1.56,8155446,7.3,631342,8.49,2005
US,water transport and terminals,164234,0.99,624739639,0.86,158511,0.97,18770,6.55,610157717,0.87,14581922,6.63,1012849,6.79,2005
US,electric power,74278,0.83,379609456,0.39,72757,0.8,2699,6.46,374111136,0.38,5498320,3.8,251383,3.44,2005
US,gas supply,13034,0.79,45121710,0.55,12897,0.8,414,7.12,44655121,0.55,466589,1.21,24759,1.29,2005
US,transit,196343,0.27,854217261,0.2,187371,0.28,14440,1.35,832075922,0.2,22141339,0.66,1542048,0.8,2005
US,education - elementary and secondary instructional,4509651,0.38,17324609724,0.34,4144511,0.39,983583,1.22,16278568186,0.36,1046041538,1.03,62147174,1.32,2005
US,education - elementary and secondary other,1981481,0.6,4630287905,0.64,1639228,0.73,825345,1.31,3873296688,0.73,756991217,1.4,57753271,1.47,2005
US,education - higher education instructional,131788,0,677200085,0,86965,0,183376,0,467050600,0,210149485,0,7731105,0,2005
US,education - higher education other,187980,0,585796106,0,139383,0,148034,0,490213443,0,95582663,0,8393219,0,2005
US,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
US,libraries,126156,0.81,359610510,0.66,86454,0.88,97072,1.51,276167864,0.69,83442646,1.56,6878334,1.66,2005
US,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
US,other and unallocable,253489,1.09,900139738,1.07,229409,1.1,81503,5.17,839492455,1.06,60647283,3.97,4316216,3.56,2005
AL,total,188349,0.94,505936398,0.98,175243,1.02,32768,5.51,478044461,1.06,27891937,2.91,2218407,3.86,2005
AL,financial administration,3960,2.34,10985992,1.82,3854,2.11,214,107.06,10785187,1.78,200805,39.25,18002,40.67,2005
AL,other government administration,2451,7.73,7531254,5.98,2075,8.37,3928,22.49,6148750,6.64,1382504,21.04,67598,24.75,2005
AL,judicial and legal,1648,6.67,4738357,4.13,1500,5.71,582,30.21,4409549,4.69,328808,58.72,25717,67.45,2005
AL,police protection - officers,9084,2.3,29270450,1.25,8834,2.15,619,30.07,28832957,1.36,437493,26.42,39974,30.21,2005
AL,police protection - other,2828,6.95,6481720,4.48,2568,7.52,693,8.97,6036393,4.65,445327,5.25,46401,5.94,2005
AL,fire protection - firefighters,4611,5.64,16524508,2.42,4155,3.88,2335,45.01,15795216,2.54,729292,69.31,78812,69.01,2005
AL,fire protection - other,165,2.05,516432,1.78,158,2.14,9,0,505570,1.82,10862,0,1126,0,2005
AL,corrections,3002,6.42,7842490,3.89,2817,5.26,367,37.15,7573911,3.33,268579,25.28,30505,28.1,2005
AL,highways,7192,2.54,17544929,1.66,7020,2.82,439,40.51,17211809,1.72,333120,33.6,33970,34.84,2005
AL,air transportation,610,14.19,1497429,27.26,499,17.35,194,12.89,1330024,30.68,167405,7.17,15827,10.42,2005
