state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,total,9552282,0.17,24251533881,0.19,8612639,0.17,2538376,0.6,22627277295,0.2,1624256586,0.47,160727551,0.54,1993
US,financial administration,178141,0.69,414789841,0.58,169298,0.68,31299,3.99,399745615,0.58,15044226,3.3,1542155,3.18,1993
US,other government administration,181174,0.87,447894389,0.66,164872,0.88,123207,3.38,411780556,0.63,36113833,3.16,2838057,3.06,1993
US,judicial and legal,193213,0.58,504647194,0.47,183781,0.57,24646,2.79,483893419,0.46,20753775,2.24,1624898,2.11,1993
US,police protection - officers,489531,0.48,1588386469,0.47,480925,0.46,27094,4.29,1574938443,0.46,13448026,3.95,1466757,4.75,1993
US,police protection - other,147025,0.7,298207596,0.53,126324,0.74,55077,1.59,269606906,0.55,28600690,1.44,3590605,1.73,1993
US,fire protection - firefighters,238250,0.64,799881646,0.49,229383,0.48,76859,7.32,786772887,0.48,13108759,6.66,1571186,7.1,1993
US,fire protection - other,18147,2.1,48385202,1.52,16664,1.88,6652,23.51,46041652,1.33,2343550,15.08,270203,15.66,1993
US,corrections,187372,0.79,471756528,0.69,181372,0.81,12385,2.12,461495957,0.7,10260571,1.68,1048100,2.28,1993
US,streets and highways,282993,0.83,631048284,0.71,272841,0.84,21230,4.25,615857066,0.72,15191218,2.77,1783707,3.24,1993
US,air transportation,34020,0.25,93129741,0.17,32898,0.24,2017,1.68,91579444,0.16,1550297,1.28,185899,1.77,1993
US,water transport and terminals,7679,2.22,23142370,1.97,7223,1.93,917,10.74,22061486,1.75,1080884,12.92,81817,8.77,1993
US,public welfare,263473,1,558834180,0.81,243534,0.92,39723,2.41,528699504,0.74,30134676,2.48,3425546,2.75,1993
US,health,189206,0.94,453021344,0.64,170620,0.9,41447,3.75,414789394,0.62,38231950,1.3,3293994,1.72,1993
US,hospitals,529603,0.74,1298155496,0.67,459515,0.78,123704,1.36,1129436580,0.71,168718916,1.2,12248038,1.38,1993
US,solid waste management,108352,0.88,245363974,0.81,103301,0.9,11729,3.94,238689650,0.82,6674324,2.65,884521,3.04,1993
US,sewerage,117492,0.85,302743878,0.91,114896,0.84,6981,7.08,298750651,0.93,3993227,6.07,487389,7.15,1993
US,parks and recreation,194360,0.78,378565680,0.64,143635,0.68,145326,2.42,311028531,0.63,67537149,1.67,8885002,2.11,1993
US,housing and community development,102564,1.61,243954402,1.33,97683,1.52,11284,6.48,236014934,1.31,7939468,4.52,865651,4.73,1993
US,natural resources,30968,1.45,67501243,1.2,28139,1.38,8185,13.44,63178595,1.15,4322648,4.04,583592,4.71,1993
US,water transport and terminals,145754,0.85,370440995,0.77,141459,0.84,15437,8.37,363777057,0.77,6663938,3.86,773766,4.57,1993
US,electric power,76330,1.25,254895859,0.66,74947,1.24,2861,8.63,252431031,0.66,2464828,3.4,243976,5,1993
US,gas supply,10183,1.31,25651274,0.97,10048,1.32,336,14.91,25441986,0.98,209288,4.4,24370,5.1,1993
US,transit,172167,0.19,529175130,0.11,164086,0.11,12642,2.67,511909831,0.09,17265299,1.42,1422277,2.76,1993
US,education - elementary and secondary instructional,3472002,0.32,9942319576,0.4,3240498,0.33,623905,1.04,9516014282,0.4,426305294,1.22,38965266,1.47,1993
US,education - elementary and secondary other,1544341,0.39,2679078723,0.44,1244264,0.43,688370,0.87,2234646869,0.46,444431854,1.01,50621760,1.04,1993
US,education - higher education instructional,112111,0.09,425862779,0.08,77417,0.1,142709,0.09,310867632,0.08,114995147,0.07,5943082,0.05,1993
US,education - higher education other,149774,0.13,323750514,0.11,107849,0.13,121928,0.12,269596456,0.11,54154058,0.09,7196295,0.1,1993
US,libraries,96439,1.56,183863424,1.26,70111,1.33,64202,2.61,148418384,1.27,35445040,2.03,4535568,2.51,1993
US,other and unallocable,279618,2.26,647086150,1.88,255056,2.34,96224,8.76,609812497,1.91,37273653,3.86,4324074,3.41,1993
AL,total,156593,0.93,295443924,0.69,149824,1.01,19945,4.09,285878540,0.71,9565384,3.02,1171182,3.29,1993
AL,financial administration,3337,3.62,6522723,4.03,3228,3.39,182,13.15,6392464,3.94,130259,16.48,19204,15.46,1993
AL,other government administration,2323,15.21,4729730,14.03,2153,16.61,1373,27.86,4236018,15.61,493712,11.17,29760,13.41,1993
AL,judicial and legal,1336,2.72,2769954,1.79,1245,2.25,463,17.33,2535893,1.77,234061,11.45,16142,10.49,1993
AL,police protection - officers,7469,2.56,17457298,2.24,7397,2.53,187,30.38,17372769,2.24,84529,27.4,12596,32.37,1993
AL,police protection - other,1953,3.67,3044006,2.96,1685,4.3,754,4.67,2634932,3.46,409074,6.42,49724,6.31,1993
AL,fire protection - firefighters,4245,1.95,10021005,1.8,4206,1.84,197,24.96,9969951,1.76,51054,24.85,7063,22.32,1993
AL,fire protection - other,192,5.87,412485,9.24,188,5.76,19,6.57,407831,9.29,4654,28.73,728,25.31,1993
AL,corrections,2145,4.62,3935483,3.57,2090,4.75,119,20.92,3868125,3.65,67358,20.58,9616,17.56,1993
AL,streets and highways,6225,4.58,10446812,4.2,6065,4.34,236,25.04,10268466,3.99,178346,30.36,28405,31.9,1993
AL,air transportation,351,0,675541,0,344,0,13,0,668835,0,6706,0,1202,0,1993
AL,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AL,public welfare,1373,4.92,1652236,4.82,1231,8.1,279,29.45,1506286,8.26,145950,36.46,25250,41.96,1993
AL,health,3298,0.6,6177320,0.37,3070,0.28,598,8.36,5864995,0.22,312325,6.12,40254,7.83,1993
AL,hospitals,17577,1.82,33636179,1.86,15638,1.7,3278,2.95,30196134,1.81,3440045,3.22,341974,3.3,1993
AL,solid waste management,3388,3.5,5192748,3.01,3339,3.54,97,5.72,5138816,3.04,53932,3.73,8860,6.08,1993
AL,sewerage,1409,3.85,2826083,2.61,1407,3.85,5,25.41,2821944,2.61,4139,25.73,417,36.11,1993
AL,parks and recreation,2792,2.17,4357505,1.39,2380,2.24,976,1.66,3927167,1.39,430338,1.73,72427,2.27,1993
AL,housing and community development,2320,11.15,4331771,11.74,2209,11.67,195,9.57,4139891,12.28,191880,5.65,19912,6.85,1993
AL,natural resources,161,0.19,251969,0.03,160,31.25,5,0,247914,23.11,4055,0,261,0,1993
AL,water transport and terminals,3142,8.61,6183030,6.54,3031,8.2,363,44.34,6077468,6.44,105562,51.28,19656,54.12,1993
AL,electric power,1184,5.35,3045744,3.46,1159,5.46,39,0,3017567,3.49,28177,0,4484,0,1993
AL,gas supply,1073,5.13,2267056,4.36,1054,5.22,42,3.94,2243721,4.41,23335,4.22,3434,3.87,1993
AL,transit,434,0,771491,0,403,0,40,0,739398,0,32093,0,5399,0,1993
AL,education - elementary and secondary instructional,56736,1.58,122457645,0.96,55821,1.66,4779,9.21,121334202,0.99,1123443,11.73,152662,10.39,1993
AL,education - elementary and secondary other,26796,1.32,32739530,1.53,25413,2.17,4756,10.24,31229517,1.96,1510013,12.81,230881,11.44,1993
