state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,11039250,0.19,45525261002,0.18,3383976,0.57,3545225386,0.78,216939850,0.7,12305496,0.19,14423226,0.2,49070486388,0.18,79.37,84.68,2008
US,financial administration,222051,0.71,928013607,0.56,53131,4.04,41352461,4.45,2704653,4.08,236821,0.73,275182,0.97,969366068,0.55,81.42,84.4,2008
US,other government administration,207994,1.15,873221637,0.83,191432,2.78,93557921,3.2,5432575,3.36,237853,1.12,399426,1.46,966779558,0.79,78.53,84.99,2008
US,judicial and legal,239858,0.39,1070346563,0.29,35751,2.84,45471862,2.3,2313611,2.47,252899,0.4,275609,0.5,1115818425,0.29,80.19,84.41,2008
US,police protection total,805786,0.3,4054456988,0.25,103420,2.14,104085099,1.82,6677870,1.94,844106,0.3,909206,0.36,4158542087,0.25,85.36,85.48,2008
US,police protection - officers,625668,0.31,3366630335,0.27,40508,4.61,46564081,3.39,2553162,4.14,640384,0.32,666176,0.41,3413194416,0.27,86.23,85.66,2008
US,police protection - other,180118,0.49,687826653,0.38,62912,1.9,57521018,1.7,4124708,1.74,203722,0.48,243030,0.61,745347671,0.38,82.66,84.78,2008
US,fire protection total,329413,0.79,1846813949,0.7,119642,5.97,47822596,4.06,3560689,4.75,349599,0.8,449055,1.69,1894636545,0.68,83.4,83.64,2008
US,fire protection - firefighters,305514,0.65,1736044492,0.59,109660,6.4,41181928,4.59,3156976,5.27,323390,0.69,415174,1.76,1777226420,0.58,82.61,83.53,2008
US,fire protection - other,23899,7.08,110769457,7.04,9982,8.26,6640668,6.04,403713,6.17,26209,6.49,33881,5.56,117410125,6.73,82.53,85.36,2008
US,corrections,258317,0.59,1042074199,0.39,15383,2.53,20569025,2.05,1370573,2.84,266200,0.58,273700,0.57,1062643224,0.4,82.45,85.21,2008
US,highways,291260,0.71,1114763422,0.92,28640,4.69,28667086,4.64,2028932,4.69,302700,0.71,319900,0.77,1143430508,0.91,83.04,84.18,2008
US,air transportation,42557,0.19,203759974,0.09,3740,3,4907981,3.02,327359,3.03,44438,0.21,46297,0.3,208667955,0.11,79.88,83.04,2008
US,water transport and terminals,7701,0.18,41141547,0.16,1401,19.32,1370583,4.42,74299,4.05,8103,0.35,9102,2.98,42512130,0.2,85.13,90.31,2008
US,public welfare,259744,0.44,970785608,0.38,38926,1.63,52727913,1.56,3495892,1.48,280065,0.42,298670,0.44,1023513521,0.39,80.05,85.59,2008
US,health,235615,0.39,954326355,0.33,55870,2.66,82003426,1.58,4311016,2.26,260416,0.41,291485,0.6,1036329781,0.33,79.15,84.29,2008
US,hospitals,505373,0.11,2214858291,0.11,137161,0.28,305883723,0.24,13509157,0.35,583684,0.11,642534,0.11,2520742014,0.1,87.24,90.29,2008
US,social insurance administration,489,0,2552817,0,0,0,0,0,0,0,489,0,489,0,2552817,0,100,100,2008
US,solid waste management,105499,1.09,387621561,0.99,15691,4.01,13942303,3.99,1228745,3.94,112234,1.06,121190,1.08,401563864,0.97,83.24,83.88,2008
US,sewerage,121117,0.81,521397591,0.7,12937,9.34,11077547,11.38,681219,10.86,124815,0.86,134054,1.16,532475138,0.73,84.08,85.63,2008
