state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11885145,0.36,43971727456,0.36,10644118,0.4,3554972,0.69,40525258240,0.39,3446469216,0.64,213657207,0.7,2006
US,financial administration,223320,0.8,839028162,0.7,207789,0.77,55889,4.07,793018196,0.67,46009966,4.8,2864115,3.86,2006
US,other government administration,231747,1.25,893604498,1.02,200428,1.34,228503,2.58,789098302,1.08,104506196,2.91,5693347,3.12,2006
US,judicial and legal,249553,0.56,1030935842,0.43,235755,0.56,37861,3.22,985584574,0.43,45351268,3.02,2398842,2.88,2006
US,police protection - officers,620411,0.39,3037375408,0.36,604140,0.38,44768,4.76,2989095630,0.36,48279778,3.88,2773524,5.02,2006
US,police protection - other,194342,0.73,670466911,0.59,170421,0.73,67449,2.71,610792848,0.58,59674063,2.62,4216213,2.53,2006
US,fire protection - firefighters,301550,0.65,1537272353,0.49,285884,0.54,138863,7.43,1500290991,0.46,36981362,6.99,2819757,6.72,2006
US,fire protection - other,26162,1.8,110987705,1.39,23760,1.45,14576,10.58,103966824,1.21,7020881,7.99,451163,8.35,2006
US,corrections,249551,0.46,931460277,0.36,241768,0.46,16053,2.87,911361337,0.35,20098940,1.78,1345229,2.33,2006
US,highways,306904,0.84,1066037179,0.88,296589,0.85,28414,4.87,1039643307,0.89,26393872,4.36,1939172,4.83,2006
US,air transportation,42575,1.13,180683986,0.92,40820,1.18,3645,3.76,176547085,0.94,4136901,2.6,308477,3.9,2006
US,water transport and terminals,7280,0.62,36290264,0.46,6976,0.3,1176,9.35,35352940,0.33,937324,10.61,62484,12.44,2006
US,public welfare,278870,0.58,942776102,0.54,258952,0.57,41264,2.06,893693212,0.53,49082890,1.57,3425751,1.7,2006
US,health,250163,0.6,911273331,0.46,225039,0.6,63302,4.15,831591374,0.47,79681957,1.59,4372336,2.29,2006
US,hospitals,530045,0.19,2056323029,0.18,455221,0.18,129829,0.78,1785842718,0.18,270480311,0.32,12923920,0.37,2006
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
US,solid waste management,107506,1.15,367075225,0.82,99968,1.15,17958,5.45,352098200,0.81,14977025,5.81,1293959,5.12,2006
US,sewerage,125795,1.04,499855976,0.86,121685,0.98,14510,8.19,487666994,0.83,12188982,8.28,765627,8.22,2006
US,parks and recreation,233213,1.01,695286241,0.88,165080,0.84,192721,2.35,553984210,0.85,141302031,1.74,11865724,1.91,2006
US,housing and community development,114100,0.57,435015454,0.63,108731,0.56,13430,4.43,421055491,0.63,13959963,3.82,930576,4.28,2006
US,natural resources,41715,2.49,146106718,1.99,37442,2.47,11163,9.27,137180547,2.02,8926171,7.63,628767,9.12,2006
US,water transport and terminals,165221,1.11,650179913,0.98,159890,1.11,18573,6.8,635743938,1,14435975,6.66,994533,7.16,2006
US,electric power,73580,0.59,393266641,0.32,72114,0.59,2556,3.21,388476179,0.33,4790462,3.39,243243,3.06,2006
US,gas supply,12632,0.83,45790032,0.48,12496,0.84,371,0,45310628,0.49,479404,0,24253,0,2006
US,transit,195656,0.28,867721556,0.21,186502,0.28,15062,1.45,844360872,0.22,23360684,1,1590348,1.1,2006
US,education - elementary and secondary instructional,4580028,0.54,18081333583,0.58,4199056,0.58,1034002,1.15,16939922064,0.62,1141411519,1.1,64967742,1.34,2006
US,education - elementary and secondary other,2016355,1.06,4893985015,1.21,1675666,1.28,855326,1.38,4092868676,1.44,801116339,1.49,57869333,1.54,2006
US,education - higher education instructional,135048,0,721989340,0,90077,0,188920,0,495113226,0,226876114,0,7742134,0,2006
US,education - higher education other,185565,0,599028182,0,138760,0,143461,0,502325421,0,96702761,0,8081934,0,2006
US,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
US,libraries,128080,0.87,376381535,0.72,88120,1.02,97798,1.7,290610164,0.79,85771371,1.59,6888992,1.72,2006
US,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
US,other and unallocable,258178,1.16,954196998,1.03,234989,1.2,77529,4.65,892662292,1.06,61534706,3.44,4175712,2.93,2006
AL,total,187312,1,534905567,0.98,174619,1.08,34489,5.6,506852612,1.03,28052955,2.76,2136145,3.89,2006
AL,financial administration,4066,2.73,11913677,2.36,3908,2.29,216,123.04,11706429,2.36,207248,38.03,20332,42.03,2006
AL,other government administration,2407,8.76,7632376,6.53,2063,8.91,4089,19.49,6324322,6.74,1308054,20.41,64023,27.22,2006
AL,judicial and legal,1714,7.78,5180683,5.4,1576,6.57,620,30.71,4787525,5.01,393158,61.56,24697,76.42,2006
AL,police protection - officers,9725,3.65,32639358,3.07,9449,3.77,632,28.33,32244350,3.08,395008,24.05,38994,23.62,2006
AL,police protection - other,2579,7.38,6020618,4.77,2309,7.37,664,14.99,5571082,4.84,449536,9.21,47804,14.68,2006
AL,fire protection - firefighters,4781,5.49,18495169,4.01,4349,4.48,2336,45.19,17728932,4.54,766237,66.03,81013,67.15,2006
AL,fire protection - other,153,2.21,498974,2.27,145,2.33,10,0,486109,2.33,12865,0,1287,0,2006
AL,corrections,3148,4.28,8549470,2.54,3038,4.36,278,33.96,8355592,2.54,193878,17.3,18727,19.43,2006
AL,highways,7029,2.78,18257253,1.65,6916,2.91,247,35,18029543,1.71,227710,25.71,21369,29.16,2006
AL,air transportation,631,12.62,1617898,22.97,520,15.31,170,0,1457772,25.49,160126,0,14283,0,2006
AL,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
AL,public welfare,1519,13.32,2799885,8.12,1238,16.17,562,16.5,2408842,9.19,391043,6.03,45884,6.73,2006
AL,health,4564,2.74,11794737,2.31,4215,3.09,864,1.83,11119201,2.55,675536,1.95,61692,1.2,2006
AL,hospitals,25093,0.52,84504211,0.52,21036,0.53,6767,0.18,71839588,0.56,12664623,0.33,706738,0.52,2006
AL,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
AL,solid waste management,3963,3.38,9231656,2.33,3733,2.76,643,38.12,8856972,1.91,374684,38.23,37546,39.01,2006
AL,sewerage,1327,3.74,4511271,4.36,1316,3.72,29,78.01,4491722,4.38,19549,53.93,1738,63.35,2006
AL,parks and recreation,3336,4.71,9274380,6.65,2513,4.65,1880,7.47,8002090,6.68,1272290,7.89,138282,7.06,2006
AL,housing and community development,2307,4.75,7129682,2.85,2194,3.46,313,46.45,6949003,2.89,180679,18.71,15503,40.13,2006
AL,natural resources,249,14.76,642184,8.56,246,14.94,5,0,637300,8.62,4884,0,478,0,2006
AL,water transport and terminals,3974,5.82,11248023,4.72,3719,5.74,483,32.62,10970289,5.01,277734,46.4,32889,47.71,2006
AL,electric power,1182,0,4509091,0,1154,0,46,0,4436699,0,72392,0,5069,0,2006
AL,gas supply,928,0,2952183,0,912,0,33,0,2924113,0,28070,0,2928,0,2006
AL,transit,225,2.31,486874,4.74,193,2.69,48,63.28,438341,1.65,48533,45.15,4314,38.14,2006
AL,education - elementary and secondary instructional,67434,2.17,212069547,1.77,65265,2.33,7943,11.08,207672204,1.84,4397343,6.82,357869,10.02,2006
AL,education - elementary and secondary other,29714,2.57,48706637,3.73,27965,3.03,4382,9.72,46167650,3.97,2538987,14.38,284716,11.25,2006
AL,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
