state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11601136,0.17,40437397482,0.16,10366925,0.18,3351624,0.54,37362831383,0.16,3074566099,0.49,211647793,0.59,2004
US,financial administration,220714,0.72,772678784,0.59,204772,0.7,50346,3.24,729209359,0.58,43469425,3.96,2864123,3.36,2004
US,other government administration,222900,1.07,812666673,0.97,193936,1.14,209171,2.29,720008995,0.99,92657678,2.8,5280688,2.75,2004
US,judicial and legal,246470,0.46,953823500,0.33,232747,0.45,35527,3,912779767,0.32,41043733,2.35,2400309,2.49,2004
US,police protection - officers,602000,0.48,2759328129,0.44,586819,0.47,39516,4.28,2718863427,0.44,40464702,3.31,2586688,4.77,2004
US,police protection - other,187475,0.63,596397920,0.42,164461,0.52,64402,2.4,545980702,0.42,50417218,2.08,4034405,3.36,2004
US,fire protection - firefighters,293314,0.65,1383332734,0.46,277718,0.51,117330,5.94,1353460152,0.44,29872582,6.33,2764000,6.68,2004
US,fire protection - other,25734,1.44,101209898,1.17,23487,1.27,12248,9.16,95183744,1.1,6026154,7.6,402334,8.22,2004
US,corrections,241537,0.38,851445870,0.25,234129,0.37,15193,2.07,833690468,0.25,17755402,1.62,1282427,2.16,2004
US,highways,303004,0.74,976492461,0.74,292535,0.74,27703,4.49,953026864,0.75,23465597,3.88,1881998,4.35,2004
US,air transportation,40797,0.8,163320361,0.64,39240,0.83,3276,3.72,159925098,0.65,3395263,1.58,278217,2.77,2004
US,water transport and terminals,7073,0.28,33087084,0.17,6726,0.13,1222,4.86,32080516,0.12,1006568,2.16,63709,3.95,2004
US,public welfare,272523,0.56,876993041,0.51,250806,0.56,43127,1.59,822048913,0.52,54944128,1.37,3720742,1.39,2004
US,health,249857,0.71,851143655,0.61,225106,0.69,59552,3.16,779677069,0.6,71466586,1.39,4247026,1.85,2004
