state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2013,total,10532320,0.08,47226292016,0.08,3271071,0.09,3705574083,0.1,212703741,0.1,11784567,0.08,13803391,0.07,50931866099,0.08
US,2013,financial administration,210618,0.17,969278313,0.14,41018,0.31,42428906,0.27,2462694,0.22,224219,0.17,251636,0.15,1011707219,0.14
US,2013,other government administration,184272,0.16,845976126,0.16,166457,0.19,93415109,0.39,4920776,0.37,210989,0.16,350729,0.12,939391235,0.15
US,2013,judicial and legal,221585,0.14,1081760656,0.1,33293,0.22,48071493,0.2,2300308,0.22,234502,0.14,254878,0.12,1129832149,0.1
US,2013,police protection total,765777,0.12,4305538066,0.11,93381,0.18,98392452,0.17,6468982,0.19,803229,0.12,859158,0.11,4403930518,0.11
US,2013,police protection - officers,608689,0.14,3638964851,0.13,35651,0.26,40792393,0.27,2563481,0.29,623497,0.14,644340,0.14,3679757244,0.13
US,2013,police protection - other,157088,0.16,666573215,0.15,57730,0.24,57600059,0.22,3905501,0.24,179732,0.16,214818,0.13,724173274,0.14
US,2013,fire protection total,322554,0.19,1999235412,0.2,103787,0.28,52589180,0.38,3636696,0.45,343830,0.19,426341,0.16,2051824592,0.19
US,2013,fire protection - firefighters,295284,0.21,1852701864,0.21,92419,0.32,43435433,0.45,3135049,0.52,313739,0.21,387703,0.18,1896137297,0.21
US,2013,fire protection - other,27270,0.24,146533548,0.25,11368,0.22,9153747,0.41,501647,0.38,30091,0.25,38638,0.18,155687295,0.23
US,2013,corrections,249017,0.24,1101380727,0.16,14535,0.35,20249770,0.28,1279173,0.36,256424,0.24,263552,0.23,1121630497,0.16
US,2013,highways,262962,0.22,1102643762,0.18,26396,0.17,30150246,0.18,2076776,0.27,274604,0.22,289358,0.2,1132794008,0.18
US,2013,air transportation,41206,0.19,217563158,0.13,4167,0.13,5365173,0.12,364133,0.12,43313,0.18,45373,0.17,222928331,0.13
US,2013,water transport and terminals,7944,0.26,48559232,0.25,1185,0.58,1660559,0.32,101922,0.34,8545,0.26,9129,0.24,50219791,0.24
US,2013,public welfare,247560,0.21,1009858219,0.16,37670,0.37,53489532,0.34,3424548,0.38,267592,0.22,285230,0.19,1063347751,0.15
US,2013,health,216286,0.23,946447135,0.17,54292,0.34,85845323,0.26,4352327,0.37,241618,0.24,270578,0.19,1032292458,0.16
US,2013,hospitals,492128,0.16,2503747817,0.13,130448,0.19,349474870,0.13,12977202,0.17,567062,0.16,622576,0.14,2853222687,0.12
US,2013,social insurance administration,437,0,2441367,0,0,0,0,0,0,0,437,0,437,0,2441367,0
US,2013,solid waste management,96061,0.21,396363233,0.16,14805,0.39,14593637,0.31,1230373,0.39,103131,0.23,110866,0.19,410956870,0.15
US,2013,sewerage,121209,0.21,566732993,0.2,10287,0.2,9596147,0.13,584584,0.13,124345,0.21,131496,0.2,576329140,0.2
US,2013,parks and recreation,148629,0.19,595378226,0.2,210326,0.22,163505823,0.2,13296766,0.2,224969,0.19,358955,0.15,758884049,0.16
US,2013,housing and community development,102510,0.27,461757747,0.25,13587,0.21,17476849,0.18,1053431,0.2,108788,0.27,116097,0.24,479234596,0.24
US,2013,natural resources,34821,0.26,149175562,0.28,8680,0.2,8336864,0.26,541016,0.25,37885,0.25,43501,0.21,157512426,0.27
US,2013,water transport and terminals,165633,0.24,787817508,0.26,16688,0.15,16355104,0.19,984427,0.21,170936,0.24,182321,0.22,804172612,0.25
US,2013,electric power,72457,0.26,489316356,0.28,2666,0.58,5480322,0.49,253830,0.33,73904,0.26,75123,0.25,494796678,0.28
US,2013,gas supply,10939,0.29,50736341,0.2,455,0.09,670711,0.04,43387,0.04,11188,0.29,11394,0.28,51407052,0.2
US,2013,transit,185971,0.12,1042651779,0.1,18165,0.26,34229149,0.26,2008866,0.27,197542,0.12,204136,0.11,1076880928,0.1
US,2013,education total,6058188,0.14,25201347817,0.15,2096636,0.14,2385011677,0.15,136330003,0.16,6872433,0.14,8154824,0.11,27586359494,0.14
US,2013,education - elementary and secondary total,5823503,0.15,23975162581,0.16,1753115,0.16,1984430582,0.17,119988263,0.17,6541946,0.14,7576618,0.12,25959593163,0.15
US,2013,education - elementary and secondary instructional,4202375,0.19,19336298736,0.19,972800,0.21,1147932120,0.23,63016993,0.24,4579490,0.19,5175175,0.16,20484230856,0.18
US,2013,education - elementary and secondary other,1621128,0.2,4638863845,0.19,780315,0.24,836498462,0.25,56971270,0.26,1962456,0.19,2401443,0.15,5475362307,0.16
US,2013,education - higher education total,234685,0.24,1226185236,0.2,343521,0.25,400581095,0.21,16341740,0.27,330487,0.23,578206,0.18,1626766331,0.16
US,2013,education - higher education instructional,86370,0.37,575117891,0.31,197709,0.36,282935956,0.27,7756616,0.43,131897,0.35,284079,0.27,858053847,0.23
US,2013,education - higher education other,148315,0.32,651067345,0.27,145812,0.33,117645139,0.31,8585124,0.33,198590,0.31,294127,0.23,768712484,0.24
US,2013,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,2013,libraries,86238,0.17,327415773,0.16,98412,0.2,100177858,0.2,7451570,0.19,129809,0.17,184650,0.13,427593631,0.13
US,2013,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,2013,other and unallocable,227318,0.18,1023168691,0.16,73735,0.28,69007329,0.23,4559951,0.25,253273,0.18,301053,0.15,1092176020,0.15
AL,2013,total,180509,0.7,612621590,0.75,29063,0.63,31077922,0.36,2302338,0.47,193830,0.67,209572,0.61,643699512,0.72
AL,2013,financial administration,3840,1.45,13132872,1.03,211,6.88,203108,7.5,16663,9.27,3939,1.88,4051,1.42,13335980,1.02
AL,2013,other government administration,2385,1.6,8168906,1.64,1993,2,1254110,1.61,67379,1.46,2768,1.78,4378,1.26,9423016,1.44
AL,2013,judicial and legal,1478,0.95,5113647,0.8,465,2.5,494142,1.18,30992,0.89,1639,1.12,1943,0.94,5607789,0.74
AL,2013,police protection total,12154,1.35,46072286,1.23,1198,1.23,1092346,1.57,96122,1.38,12727,1.34,13352,1.24,47164632,1.2
