state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11569784,0.13,39405612438,0.13,10344345,0.13,3261874,0.4,36510272622,0.14,2895339816,0.43,211068750,0.55,2003
US,financial administration,217552,0.76,741056464,0.54,203701,0.77,46249,2.74,705668814,0.56,35387650,2.61,2528069,2.95,2003
US,other government administration,222401,0.68,789910781,0.52,192674,0.68,200851,1.84,699367239,0.53,90543542,2.01,5415956,2.28,2003
US,judicial and legal,247874,0.44,933926073,0.4,235709,0.45,32254,2.47,897734979,0.41,36191094,2.1,2141672,2.11,2003
US,police protection - officers,602681,0.23,2761791731,0.21,586795,0.23,38294,2.85,2719475283,0.21,42316448,2.45,2677721,2.99,2003
US,police protection - other,187910,0.66,584361518,0.35,164079,0.7,66443,1.57,533889679,0.37,50471839,1.54,4213239,1.5,2003
US,fire protection - firefighters,286693,0.44,1345626293,0.29,271055,0.3,91705,4.39,1316399915,0.28,29226378,4.95,2790664,5.69,2003
US,fire protection - other,24453,1.49,96433778,1.11,22270,1.27,9273,9.79,90578894,1.03,5854884,10.21,400632,8.55,2003
US,corrections,241064,0.34,841823313,0.25,233234,0.33,16279,1.96,823599548,0.25,18223765,1.37,1393024,2.11,2003
US,highways,300532,0.58,967325249,0.67,290783,0.59,29150,3.82,945878312,0.69,21446937,3.69,1821988,3.76,2003
US,air transportation,41141,0.2,163405435,0.09,39767,0.2,2920,2.16,160459954,0.08,2945481,2.63,235574,2.63,2003
US,water transport and terminals,7129,1.48,31003247,1.74,6779,1.2,1078,24.94,30154314,1.89,848933,9.9,73459,10.74,2003
US,public welfare,277654,0.26,877898150,0.25,254117,0.24,44185,1.12,821406061,0.27,56492089,1.45,4030708,2,2003
US,health,253888,0.38,842749099,0.36,227985,0.32,59434,1.84,770292756,0.35,72456343,1.03,4493017,1.68,2003
US,hospitals,506915,0.27,1768395416,0.22,434145,0.28,122249,0.51,1542296620,0.22,226098796,0.51,12501546,0.57,2003
US,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
US,solid waste management,109953,0.72,355831132,0.73,103718,0.69,13390,6.38,345097239,0.73,10733893,3.99,1096248,4.45,2003
US,sewerage,124262,0.52,456680006,0.43,120732,0.51,11346,5.68,448136832,0.43,8543174,6.38,628747,6.47,2003
US,parks and recreation,226443,0.36,605789691,0.24,159468,0.28,180726,1.18,485626686,0.25,120163005,0.65,11795675,0.96,2003
US,housing and community development,118107,0.89,405303138,0.81,112348,0.9,11988,3.43,393303449,0.83,11999689,4.05,960269,3.66,2003
US,natural resources,37336,2.9,118714096,2.9,34160,3.03,9510,6.08,112128038,2.99,6586058,6.81,553143,8.48,2003
US,water transport and terminals,159595,0.53,571786136,0.42,154463,0.53,18792,6.14,559628820,0.43,12157316,5,928074,5.79,2003
US,electric power,75205,0.49,360287803,0.42,73417,0.48,3392,4.41,354509583,0.39,5778220,3.96,323496,5.41,2003
US,gas supply,10845,1.71,36751463,1.25,10663,1.73,563,14.91,36250766,1.27,500697,8.91,39208,9.61,2003
US,transit,200922,0.12,818722816,0.06,190634,0.08,16275,1.29,794823177,0.04,23899639,1.05,1805118,1.31,2003
US,education - elementary and secondary instructional,4446825,0.24,16167935206,0.25,4085243,0.24,932806,0.85,15261952531,0.25,905982675,0.91,61653058,1.22,2003
US,education - elementary and secondary other,1947927,0.37,4391595661,0.37,1600548,0.45,797818,0.81,3709883428,0.42,681712233,0.93,59091895,1.09,2003
US,education - higher education instructional,131594,0,629995180,0,86272,0,181143,0,434378864,0,195616316,0,7817941,0,2003
US,education - higher education other,185917,0,545041725,0,135034,0,152899,0.01,450215094,0,94826631,0,8761127,0.01,2003
US,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
US,libraries,124521,0.42,335203577,0.46,86436,0.44,96162,1.06,261752013,0.42,73451564,1.21,6570945,1.32,2003
US,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
US,other and unallocable,252445,0.55,860268261,0.44,228116,0.54,74700,2.66,805383734,0.45,54884527,1.85,4326537,2.04,2003
AL,total,184156,0.51,480074102,0.48,171720,0.61,29325,3.71,454810930,0.5,25263172,2.14,2134046,2.5,2003
AL,financial administration,4099,2.95,10987577,1.72,3867,2.2,517,23.72,10596840,1.46,390737,22.53,38045,28.02,2003
AL,other government administration,2700,6.28,7756245,3.96,2378,7.84,3045,14.69,6600485,4.5,1155760,6.59,67060,11.83,2003
AL,judicial and legal,1651,4.61,4652418,2.81,1455,3.45,738,27.4,4097945,2.44,554473,13.1,30727,14.41,2003
AL,police protection - officers,9330,1.94,28919428,2,9118,1.97,421,21.77,28601243,2,318185,22.92,32167,22.13,2003
AL,police protection - other,2750,1.61,6025042,1.43,2435,1.84,694,2.68,5554566,1.55,470476,1.57,57178,1.21,2003
AL,fire protection - firefighters,4916,0.92,16712760,0.59,4704,0.44,598,33.42,16341249,0.55,371511,11.51,40675,13.77,2003
AL,fire protection - other,220,0,630049,0.02,219,0,5,0,624630,0.02,5419,0,402,0,2003
AL,corrections,2950,1.17,7317339,0.72,2815,1.15,227,7.45,7097465,0.72,219874,11.2,23819,6.36,2003
AL,highways,7429,1.26,17551337,1,7278,1.25,246,18.18,17378479,0.99,172858,19.3,21164,13.97,2003
AL,air transportation,407,0,1046844,0.01,384,0,43,0,1008178,0.01,38666,0,3998,0,2003
AL,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
AL,public welfare,1420,4.56,2463113,2.84,1106,1.55,430,22.09,2081066,1.51,382047,18.49,53241,17.73,2003
AL,health,4287,0.41,10310633,0.66,3860,0.44,957,0.46,9555392,0.71,755241,0.59,76840,0.6,2003
AL,hospitals,21610,0,64009483,0,18100,0,5634,0,53778614,0,10230869,0,614772,0,2003
AL,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
AL,solid waste management,3907,1.02,9127222,0.96,3780,1.65,206,21.26,8992721,1.12,134501,20.19,18930,20.61,2003
AL,sewerage,1491,2.32,4195352,2.1,1465,2.36,82,2.92,4087688,1.84,107664,40.62,8453,10.17,2003
AL,parks and recreation,3235,1.74,7248935,0.55,2414,2.09,1808,3.59,5841581,1.01,1407354,2.29,140072,2.86,2003
