2007 Census of Government Employment
State and Local Government Response Rates
By State        
                                  Full-Time  Full-Time Part-Time  Part-Time Full-Time 
                        Unit      Employment Pay       Employment Pay       Equivalent Total Pay
                        Response  Response   Response  Response   Response  Response   Response
State                   Rate      Rate       Rate      Rate       Rate      Rate       Rate

United States Total      88.45%    86.93%     84.74%    85.16%     82.30%    84.65%    84.55% 
Alabama                  90.22%    91.27%     90.95%    95.09%     95.83%    90.58%    91.23% 
Alaska                   82.12%    91.70%     89.29%    92.24%     86.40%    90.69%    89.11% 
Arizona                  86.22%    82.31%     82.63%    86.61%     84.46%    80.54%    82.76% 
Arkansas                 92.96%    93.84%     92.70%    92.11%     92.95%    92.48%    92.71% 
California               88.81%    80.46%     80.22%    75.42%     74.60%    76.55%    79.67% 
Colorado                 95.90%    88.26%     87.80%    84.63%     86.34%    86.77%    87.65% 
Connecticut              87.77%    79.56%     78.83%    72.04%     75.48%    77.96%    78.56% 
Delaware                 95.87%    90.70%     89.52%    92.45%     95.96%    90.52%    90.08% 
Washington D.C.          50.00%    77.22%     76.86%   100.00%     93.79%    78.16%    77.54% 
Florida                  93.17%    90.42%     87.51%    95.40%     92.82%    86.28%    87.83% 
Georgia                  92.37%    82.66%     78.90%    84.82%     82.56%    81.25%    79.12% 
Hawaii                   95.00%    96.75%     96.63%    99.22%     99.26%    96.93%    96.83% 
Idaho                    90.90%    94.26%     93.31%    96.56%     94.65%    92.76%    93.44% 
Illinois                 89.42%    87.76%     78.54%    87.03%     83.20%    85.98%    78.88% 
Indiana                  84.46%    86.59%     85.86%    89.15%     86.14%    85.07%    85.88% 
Iowa                     94.04%    92.31%     90.19%    91.05%     92.56%    89.75%    90.46% 
Kansas                   84.79%    90.78%     88.48%    87.86%     87.83%    87.43%    88.42% 
Kentucky                 91.64%    95.97%     94.90%    96.00%     96.01%    94.95%    94.96% 
Louisiana                87.10%    85.80%     85.48%    85.06%     85.02%    84.41%    85.46% 
Maine                    86.25%    86.50%     86.35%    78.46%     79.94%    83.57%    85.75% 
Maryland                 91.05%    73.63%     70.72%    73.86%     75.13%    71.18%    71.06% 
Massachusetts            87.53%    78.68%     76.40%    72.65%     71.86%    76.59%    76.04% 
Michigan                 88.63%    88.48%     85.36%    86.42%     82.32%    85.89%    85.04% 
Minnesota                87.37%    84.49%     84.03%    83.62%     81.43%    81.18%    83.72% 
Mississippi              84.72%    86.02%     84.87%    84.89%     81.09%    84.63%    84.65% 
Missouri                 90.74%    78.38%     76.05%    80.05%     75.71%    76.81%    76.03% 
Montana                  88.79%    88.22%     89.88%    86.38%     87.69%    86.37%    89.64% 
Nebraska                 85.34%    93.92%     93.63%    90.88%     89.78%    92.28%    93.31% 
Nevada                   89.45%    78.08%     76.87%    81.53%     76.52%    74.76%    76.84% 
New Hampshire            80.00%    84.59%     85.38%    84.78%     86.07%    82.33%    85.46% 
New Jersey               85.05%    84.18%     82.82%    79.23%     79.47%    82.17%    82.65% 
New Mexico               92.59%    91.70%     91.09%    92.29%     93.43%    90.89%    91.26% 
New York                 87.55%    91.44%     90.82%    87.38%     75.88%    88.12%    89.95% 
North Carolina           95.02%    92.95%     88.03%    88.39%     84.24%    91.11%    87.74% 
North Dakota             76.13%    98.44%     98.54%    83.39%     97.04%    97.25%    98.35% 
Ohio                     86.60%    87.28%     84.73%    89.73%     84.90%    85.23%    84.75% 
Oklahoma                 90.31%    94.07%     94.47%    93.33%     93.97%    92.91%    94.45% 
Oregon                   92.05%    87.37%     86.49%    87.59%     84.97%    84.54%    86.31% 
Pennsylvania             86.59%    86.85%     83.36%    84.75%     79.11%    84.78%    83.04% 
Rhode Island             89.63%    90.84%     91.63%    88.41%     86.63%    89.37%    91.37% 
South Carolina           90.25%    89.84%     89.24%    85.67%     88.73%    88.32%    89.22% 
South Dakota             79.83%    86.06%     84.70%    80.72%     83.61%    84.75%    84.61% 
Tennessee                94.19%    78.43%     75.44%    79.89%     75.66%    77.46%    75.45% 
Texas                    91.06%    86.59%     85.07%    82.20%     79.64%    85.25%    84.78% 
Utah                     91.56%    91.69%     86.50%    88.90%     88.05%    90.01%    86.68% 
Vermont                  78.96%    82.96%     84.38%    74.12%     76.60%    81.41%    83.72% 
Virginia                 95.09%    92.10%     90.52%    85.36%     86.37%    89.35%    90.20% 
Washington               91.00%    97.68%     94.62%    98.87%     98.97%    97.17%    95.18% 
West Virginia            89.85%    92.36%     90.30%    92.86%     92.77%    90.68%    90.46% 
Wisconsin                89.05%    87.75%     86.83%    88.85%     85.62%    84.09%    86.69% 
Wyoming                  95.25%    90.46%     90.17%    90.50%     90.09%    88.60%    90.16% 
