2007 Census of Government Employment
Local Government Response Rates
By State
                                  Full-Time  Full-Time Part-Time  Part-Time Full-Time 
                        Unit      Employment Pay       Employment Pay       Equivalent Total Pay
                        Response  Response   Response  Response   Response  Response   Response
State                   Rate      Rate       Rate      Rate       Rate      Rate       Rate

United States Total      88.44%    82.27%     78.96%    78.51%     73.42%    79.05%    78.56% 
Alabama                  90.21%    87.53%     86.07%    90.20%     91.41%    86.26%    86.30% 
Alaska                   82.02%    83.50%     78.33%    87.23%     76.10%    81.77%    78.17% 
Arizona                  86.20%    77.38%     77.91%    80.22%     76.63%    74.75%    77.82% 
Arkansas                 92.95%    90.50%     88.00%    86.68%     85.63%    88.28%    87.91% 
California               88.80%    75.10%     74.45%    68.21%     66.82%    70.17%    73.71% 
Colorado                 95.90%    84.70%     83.27%    74.86%     73.69%    82.16%    82.53% 
Connecticut              87.75%    69.95%     67.43%    55.79%     53.90%    67.18%    66.53% 
Delaware                 95.86%    81.36%     78.33%    81.25%     87.95%    80.81%    78.93% 
Washington D.C.          50.00%    77.22%     76.86%   100.00%     93.79%    78.09%    77.54% 
Florida                  93.16%    87.87%     84.50%    94.13%     90.37%    82.58%    84.84% 
Georgia                  92.36%    77.41%     71.86%    74.02%     69.38%    75.25%    71.74% 
Hawaii                   94.74%    84.78%     85.58%    87.67%     81.74%    84.66%    85.52% 
Idaho                    90.89%    92.24%     90.28%    94.86%     90.75%    90.01%    90.32% 
Illinois                 89.42%    84.98%     72.80%    83.53%     77.20%    82.62%    73.10% 
Indiana                  84.45%    81.13%     78.69%    83.22%     79.82%    78.94%    78.78% 
Iowa                     94.04%    89.42%     84.72%    86.92%     86.39%    85.49%    84.89% 
Kansas                   84.78%    87.87%     84.19%    83.72%     82.67%    83.41%    84.06% 
Kentucky                 91.63%    94.07%     91.81%    92.52%     92.07%    92.49%    91.82% 
Louisiana                87.07%    79.30%     77.07%    73.83%     74.13%    77.09%    76.93% 
Maine                    86.24%    80.48%     79.08%    70.25%     70.64%    76.53%    78.25% 
Maryland                 91.02%    56.85%     57.87%    64.93%     65.10%    54.21%    58.47% 
Massachusetts            87.51%    70.27%     66.29%    58.62%     52.53%    67.12%    65.34% 
Michigan                 88.62%    83.81%     78.73%    80.59%     72.77%    79.96%    78.13% 
Minnesota                87.37%    78.55%     76.75%    78.27%     72.86%    73.89%    76.30% 
Mississippi              84.70%    80.40%     77.58%    75.95%     70.16%    78.16%    77.19% 
Missouri                 90.73%    70.43%     67.09%    71.69%     65.29%    68.08%    66.97% 
Montana                  88.78%    81.65%     82.78%    78.20%     79.56%    78.79%    82.43% 
Nebraska                 85.33%    91.72%     91.32%    87.47%     85.05%    89.24%    90.82% 
Nevada                   89.39%    72.32%     71.09%    73.35%     65.17%    67.60%    70.72% 
New Hampshire            79.96%    79.17%     79.47%    76.68%     77.71%    75.70%    79.31% 
New Jersey               85.04%    76.60%     73.83%    68.93%     66.56%    73.71%    73.49% 
New Mexico               92.58%    86.70%     84.59%    84.25%     83.98%    84.95%    84.56% 
New York                 87.55%    89.15%     88.33%    84.60%     70.15%    85.03%    87.24% 
North Carolina           95.02%    90.06%     82.90%    83.33%     76.00%    87.44%    82.40% 
North Dakota             76.12%    97.27%     97.51%    74.81%     94.23%    95.18%    97.14% 
Ohio                     86.59%    83.68%     79.57%    84.07%     76.67%    80.72%    79.36% 
Oklahoma                 90.31%    91.38%     91.32%    87.12%     86.43%    89.47%    91.13% 
Oregon                   92.04%    81.26%     79.87%    83.10%     79.30%    77.56%    79.80% 
Pennsylvania             86.59%    82.07%     76.92%    77.95%     64.30%    79.15%    76.14% 
Rhode Island             89.55%    85.35%     86.24%    76.79%     73.58%    82.80%    85.69% 
South Carolina           90.24%    85.57%     84.26%    77.76%     81.12%    83.25%    84.11% 
South Dakota             79.82%    79.66%     76.12%    75.13%     75.98%    77.62%    76.11% 
Tennessee                94.18%    71.09%     66.23%    66.98%     59.20%    69.47%    65.93% 
Texas                    91.06%    83.10%     80.47%    73.99%     66.30%    81.19%    79.86% 
Utah                     91.54%    86.46%     77.08%    82.47%     77.37%    83.70%    77.11% 
Vermont                  78.93%    72.14%     72.10%    67.39%     67.09%    70.43%    71.57% 
Virginia                 95.08%    89.19%     86.69%    75.49%     75.74%    85.07%    86.01% 
Washington               91.00%    96.38%     91.84%    98.09%     98.50%    95.63%    92.73% 
West Virginia            89.84%    87.91%     84.08%    86.38%     85.78%    85.04%    84.18% 
Wisconsin                89.04%    84.06%     82.11%    83.48%     78.23%    78.91%    81.70% 
Wyoming                  95.24%    86.68%     86.25%    88.15%     88.31%    84.42%    86.47% 
