


FEDERAL GOVERNMENT CIVILIAN EMPLOYMENT BY STATE:
DECEMBER 31, 1990, 1992, 1994

                              1994            1992            1990
         STATE               TOTAL           TOTAL           TOTAL
                           EMPLOYEES       EMPLOYEES       EMPLOYEES
TOTAL                         2,902,909       2,987,680       2,906,416
ALABAMA                          54,920          58,055          56,622
ALASKA                           15,036          15,897          14,537
ARIZONA                          40,384          40,437          38,985
ARKANSAS                         20,160          20,437          19,218
CALIFORNIA                      294,507         312,207         314,590

COLORADO                         56,811          57,029          53,469
CONNECTICUT                      24,510          24,498          23,615
DELAWARE                          5,760           5,476           5,300
DIST. OF COLUMBIA               204,267         222,755         212,031
FLORIDA                         114,040         114,218         111,851

GEORGIA                          91,808          93,480          88,366
HAWAII                           24,581          25,287          25,414
IDAHO                            11,040          11,293          10,057
ILLINOIS                        105,850         106,163         103,999
INDIANA                          41,728          42,878          41,377
IOWA                             20,945          19,801          17,973

KANSAS                           26,467          26,381          24,719
KENTUCKY                         36,102          38,022          35,454
LOUISIANA                        34,802          35,051          33,921
MAINE                            13,616          16,234          16,823
MARYLAND                        132,526         135,717         133,187

MASSACHUSETTS                    59,588          62,291          60,319
MICHIGAN                         60,364          58,536          56,172
MINNESOTA                        34,289          33,790          32,014
MISSISSIPPI                      25,095          25,871          24,354
MISSOURI                         64,396          65,989          65,541

MONTANA                          12,704          12,392          11,364
NEBRASKA                         16,023          16,120          15,298
NEVADA                           12,338          11,581          10,547
NEW HAMPSHIRE                     8,665           8,358           8,054
NEW JERSEY                       72,215          73,738          75,142

NEW MEXICO                       27,204          27,700          26,242
NEW YORK                        145,216         149,200         152,169
NORTH CAROLINA                   54,206          50,798          46,463
NORTH DAKOTA                      8,033           8,313           7,815
OHIO                             92,286          93,538          90,861

OKLAHOMA                         42,120          45,667          45,298
OREGON                           29,999          30,920          29,202
PENNSYLVANIA                    126,723         132,307         129,405
RHODE ISLAND                     10,884          10,262          10,147
SOUTH CAROLINA                   30,416          32,775          32,208

SOUTH DAKOTA                     10,064          10,102           9,296
TENNESSEE                        52,807          53,872          56,416
TEXAS                           175,538         178,973         176,680
UTAH                             31,177          35,442          36,001






VERMONT                           5,706           5,708           5,072

VIRGINIA                        160,360         167,735         161,047
WASHINGTON                       66,300          68,592          65,033
WEST VIRGINIA                    17,696          17,391          15,377
WISCONSIN                        30,215          29,934          27,425
WYOMING                           6,720           6,582           6,188
