01 001   00000AUTAUGA COUNTY                                                  3                              01001     524000    34222           1.0000 0930000000000000000000000000000000  011      92     03
01 002   00000BALDWIN COUNTY                                                  3                              01003     516000    98280           1.0000 1031000000000000000000000000000000  614      92     03
01 003   00000BARBOUR COUNTY                                                  3                              01005         00    25417           1.0000 093001035010340102301031010030000098122      92     03
01 004   00000BIBB COUNTY                                                     3BIBB COUNTY                   01007         00    16576          01.0000 0930000000000000000000000000000000  133      92     03
01 005   00000BLOUNT COUNTY                                                   3BLOUNT COUNTY                 01009     100000    39248          01.0000 0930000000000000000000000000000000011        II     03
01 006   00000BULLOCK COUNTY                                                  3BULLOCK COUNTY                01011         00    11042           1.0000 0930                                         NN
01 007   00000BUTLER COUNTY                                                   3BUTLER COUNTY                 01013         00    21892           1.0000 0630010070106600000010430105000000  011      92     03
01 008   00000CALHOUN COUNTY                                                  3CALHOUN COUNTY                01015     045000   116034          00.4676 0930000000000000000000000000000000 2144      91     03
01 009   00000CHAMBERS COUNTY                                                 3CHAMBERS COUNTY               01017         00    36876           1.0000 093000000000000000000000000000000098144      92     03
01 010   00000CHEROKEE COUNTY                                                 3CHEROKEE COUNTY               01019         00    19543           1.0000 0930000000000000000000000000000000  111      92     03
01 011   00000CHILTON COUNTY                                                  3CHILTON COUNTY                01021         00    32458           1.0000 0930000000000000000000000000000000  011      92     03
01 012   00000CHOCTAW COUNTY                                                  3CHOCTAW COUNTY                01023         00    16018           1.0000 0930000000000000000000000000000000  511      92     03
01 013   00000CLARKE COUNTY                                                   3CLARKE COUNTY                 01025         00    27240          01.0000 0930                               1144      89     03
01 014   00000CLAY COUNTY                                                     3CLAY COUNTY                   01027         00    13252          01.0000 093001014010610000001056000000000098133      92     03
01 015   00000CLEBURNE COUNTY                                                 3CLEBURNE COUNTY               01029         00    12730           1.0000 0930000000000000000000000000000000  012      92     03
01 016   00000COFFEE COUNTY                                                   3COFFEE COUNTY                 01031         00    40240           1.0000 0930000000000000000000000000000000  141      92     03
01 017   00000COLBERT COUNTY                                                  3COLBERT COUNTY                01033     265000    51666           1.0000 0331000000000000000000000000000000  122      92     03
01 018   00000CONECUH COUNTY                                                  3CONECUH COUNTY                01035         00    14054           1.0000 0930000000000000000000000000000000  131      92     03
01 019   00000COOSA COUNTY                                                    3COOSA COUNTY                  01037         00    11063           1.0000 0630000000000000000000000000000000  541      92     03
01 020   00000COVINGTON COUNTY                                                3COVINGTON COUNTY              01039         00    36478           1.0000 1231000000000000000000000000000000  011      92     03
