GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,EMPFT_CV,PAYANNFT,PAYANNFT_CV,EMPPT,EMPPT_CV,PAYANNPT,PAYANNPT_CV,HRSPT,HRSPT_CV,EMPFTE,EMPFTE_CV,EMP,EMP_CV,PAYANN,PAYANN_CV
Geographic identifier code,Id2,Geographic area name,Id,Year,Government Employment Function,Meaning of Government Employment Function,Full-Time Employment,Full-Time Employment Coefficient of Variation (percent),Full-Time Payroll (whole dollars),Full-Time Payroll Coefficient of Variation (percent),Part-Time Employment,Part-Time Employment Coefficient of Variation (percent),Part-Time Payroll (whole dollars),Part-Time Payroll Coefficient of Variation (percent),Part-Time Hours,Part-Time Hours Coefficient of Variation (percent),Full-Time Equivalent Employment,Full-Time Equivalent Employment Coefficient of Variation (percent),Total March Full-Time and Part-Time Employment,Total March Full-Time and Part-Time Employment Coefficient of Variation (percent),Total March Payroll (whole dollars),Total March Payroll Coefficient of Variation (percent)
0100000US,,United States,,2014,1000,Total - All Government Employment Functions,14326930,0.09,67158055720,0.09,4902388,0.11,5998983506,0.12,319581800,0.12,16186910,0.09,19229318,0.07,73157039226,0.08
0100000US,,United States,,2014,1020,Financial Administration,377401,0.13,1786701803,0.12,50842,0.56,62958977,0.22,3484865,0.18,396571,0.13,428243,0.13,1849660780,0.12
0100000US,,United States,,2014,1040,Other Government Administration,232531,0.17,1093360807,0.17,178959,0.16,112804282,0.17,5666709,0.20,263507,0.17,411490,0.12,1206165089,0.15
0100000US,,United States,,2014,1060,Judicial and Legal,393271,0.12,2045051055,0.10,41765,0.23,71455213,0.20,3078215,0.23,410500,0.13,435036,0.11,2116506268,0.10
0100000US,,United States,,2014,1100,Police Protection Total,871506,0.15,4998670584,0.16,94915,0.26,100270288,0.24,6437086,0.24,908408,0.15,966421,0.14,5098940872,0.16
0100000US,,United States,,2014,1101,Police Protection - Persons with Power of Arrest       ,678896,0.19,4164551575,0.19,35618,0.34,39750076,0.20,2486779,0.20,693249,0.19,714514,0.18,4204301651,0.19
0100000US,,United States,,2014,1102,Police Protection - Other ,192610,0.21,834119009,0.21,59297,0.35,60520212,0.38,3950307,0.37,215159,0.22,251907,0.18,894639221,0.19
0100000US,,United States,,2014,1120,Fire Protection Total ,324524,0.21,2044229536,0.24,107268,0.42,54789086,0.60,3721107,0.72,345669,0.24,431792,0.19,2099018622,0.23
0100000US,,United States,,2014,1121,Fire Protection - Firefighters,297280,0.23,1892956415,0.26,94973,0.48,44738802,0.73,3175426,0.84,315457,0.26,392253,0.21,1937695217,0.25
0100000US,,United States,,2014,1122,Fire Protection - Other ,27244,0.25,151273121,0.26,12295,0.41,10050284,0.37,545681,0.36,30212,0.29,39539,0.21,161323405,0.24
0100000US,,United States,,2014,1140,Corrections,686725,0.11,3075771519,0.08,24132,0.31,46705541,0.20,2264899,0.30,699739,0.11,710857,0.10,3122477060,0.08
0100000US,,United States,,2014,1160,Highways,473949,0.14,2124714399,0.12,37109,0.11,58593706,0.08,3104224,0.11,491595,0.14,511058,0.13,2183308105,0.12
0100000US,,United States,,2014,1180,Air Transportation,45456,0.17,245858162,0.15,4225,0.65,5456317,0.48,364839,0.55,47543,0.19,49681,0.16,251314479,0.15
0100000US,,United States,,2014,1200,Water Transport and Terminals       ,12438,0.18,75401394,0.18,1310,0.37,1939150,0.24,112356,0.20,13078,0.18,13748,0.17,77340544,0.18
0100000US,,United States,,2014,1220,Public Welfare,481483,0.17,1953995577,0.15,47689,0.49,77684789,0.35,4488736,0.45,507493,0.19,529172,0.16,2031680366,0.15
0100000US,,United States,,2014,1240,Health,391611,0.17,1775623748,0.14,71020,0.29,126798673,0.17,5795490,0.23,424804,0.17,462631,0.15,1902422421,0.13
0100000US,,United States,,2014,1260,Hospitals,858179,0.09,4301998030,0.08,210413,0.11,626565749,0.08,21082187,0.10,979259,0.09,1068592,0.07,4928563779,0.07
0100000US,,United States,,2014,1280,Social Insurance Administration,72820,0.00,322399446,0.00,5335,0.00,13235187,0.00,563175,0.00,76060,0.00,78155,0.00,335634633,0.00
0100000US,,United States,,2014,1300,Solid Waste Management,98418,0.26,415171326,0.23,15153,0.51,15591966,0.43,1276522,0.53,105615,0.28,113571,0.23,430763292,0.22
0100000US,,United States,,2014,1320,Sewerage,120994,0.24,581373604,0.26,10630,0.27,9693648,0.22,563878,0.19,124041,0.23,131624,0.22,591067252,0.25
0100000US,,United States,,2014,1340,Parks and Recreation,180882,0.21,723493471,0.22,229325,0.40,179164917,0.36,14331347,0.38,262723,0.27,410207,0.24,902658388,0.19
0100000US,,United States,,2014,1360,Housing and Community Development,99530,0.28,458599338,0.26,12727,0.33,16254366,0.45,961206,0.37,105099,0.29,112257,0.26,474853704,0.25
0100000US,,United States,,2014,1380,Natural Resources,155079,0.09,705877661,0.09,34600,0.09,47640905,0.10,2671958,0.10,170323,0.09,189679,0.08,753518566,0.09
0100000US,,United States,,2014,1400,Water Supply,164838,0.24,807601493,0.25,16829,0.17,15917869,0.23,945591,0.15,169874,0.23,181667,0.22,823519362,0.25
0100000US,,United States,,2014,1420,Electric Power,75757,0.27,527009322,0.23,2701,0.25,5789164,0.28,250794,0.29,77188,0.27,78458,0.26,532798486,0.23
0100000US,,United States,,2014,1440,Gas Supply,10814,0.46,51535873,0.42,471,0.45,619493,0.27,41424,0.27,11053,0.45,11285,0.44,52155366,0.41
0100000US,,United States,,2014,1460,Transit,223145,0.13,1260343076,0.11,20615,0.45,38958580,0.32,2276215,0.40,236129,0.14,243760,0.13,1299301656,0.11
0100000US,,United States,,2014,1480,Education Total ,7480995,0.17,33517817915,0.17,3491123,0.15,4107171050,0.17,222574426,0.17,8788566,0.16,10972118,0.12,37624988965,0.15
0100000US,,United States,,2014,1481,Education - Elementary and Secondary Total ,5871939,0.21,24560995400,0.23,1790458,0.27,2072061295,0.32,125791123,0.29,6623044,0.21,7662397,0.18,26633056695,0.22
