GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,EMPFT_CV,PAYANNFT,PAYANNFT_CV,EMPPT,EMPPT_CV,PAYANNPT,PAYANNPT_CV,HRSPT,HRSPT_CV,EMPFTE,EMPFTE_CV,EMP,EMP_CV,PAYANN,PAYANN_CV
Geographic identifier code,Id2,Geographic area name,Id,Year,Government Employment Function,Meaning of Government Employment Function,Full-Time Employment,Full-Time Employment Coefficient of Variation (percent),Full-Time Payroll (whole dollars),Full-Time Payroll Coefficient of Variation (percent),Part-Time Employment,Part-Time Employment Coefficient of Variation (percent),Part-Time Payroll (whole dollars),Part-Time Payroll Coefficient of Variation (percent),Part-Time Hours,Part-Time Hours Coefficient of Variation (percent),Full-Time Equivalent Employment,Full-Time Equivalent Employment Coefficient of Variation (percent),Total March Full-Time and Part-Time Employment,Total March Full-Time and Part-Time Employment Coefficient of Variation (percent),Total March Payroll (whole dollars),Total March Payroll Coefficient of Variation (percent)
0100000US,,United States,,2015,1000,Total - All Government Employment Functions,14415873,0.06,69016556362,0.06,4876718,0.06,6055168168,0.06,320159182,0.07,16278564,0.06,19292591,0.05,75071724530,0.05
0100000US,,United States,,2015,1020,Financial Administration,380109,0.02,1845545465,0.01,51114,0.04,65636177,0.03,3600070,0.04,399824,0.02,431223,0.02,1911181642,0.01
0100000US,,United States,,2015,1040,Other Government Administration,234843,0.03,1126675618,0.02,178836,0.02,114708933,0.02,5701542,0.02,266364,0.03,413679,0.02,1241384551,0.02
0100000US,,United States,,2015,1060,Judicial and Legal,394949,0.03,2101116387,0.04,40850,0.05,68972404,0.08,3055905,0.17,411966,0.03,435799,0.03,2170088791,0.04
0100000US,,United States,,2015,1100,Police Protection Total,879463,0.02,5175866002,0.02,94290,0.04,101900984,0.05,6501508,0.05,916504,0.02,973753,0.02,5277766986,0.02
0100000US,,United States,,2015,1101,Police Protection - Persons with Power of Arrest       ,683850,0.02,4313972430,0.02,35572,0.07,41090990,0.08,2584649,0.08,698502,0.02,719422,0.02,4355063420,0.02
0100000US,,United States,,2015,1102,Police Protection - Other ,195613,0.03,861893572,0.03,58718,0.05,60809994,0.06,3916859,0.06,218002,0.03,254331,0.03,922703566,0.03
0100000US,,United States,,2015,1120,Fire Protection Total ,326637,0.04,2094324732,0.10,106192,0.09,56388146,0.10,3833793,0.11,348326,0.03,432829,0.04,2150712878,0.10
0100000US,,United States,,2015,1121,Fire Protection - Firefighters,297865,0.04,1931594565,0.11,94016,0.09,45836126,0.11,3258614,0.12,316406,0.04,391881,0.04,1977430691,0.10
0100000US,,United States,,2015,1122,Fire Protection - Other ,28772,0.09,162730167,0.08,12176,0.30,10552020,0.27,575179,0.21,31920,0.09,40948,0.11,173282187,0.08
0100000US,,United States,,2015,1140,Corrections,687464,0.03,3144640371,0.03,23253,0.17,44328152,0.12,2188401,0.20,700058,0.03,710717,0.03,3188968523,0.03
0100000US,,United States,,2015,1160,Highways,471582,0.02,2177523743,0.03,37079,0.05,57500941,0.04,3098182,0.05,489166,0.02,508661,0.02,2235024684,0.03
0100000US,,United States,,2015,1180,Air Transportation,46078,0.17,257438465,0.13,4280,0.69,5889616,0.59,372259,0.73,48220,0.16,50358,0.16,263328081,0.13
0100000US,,United States,,2015,1200,Water Transport and Terminals       ,12464,0.45,78683180,0.35,1241,1.55,1888148,1.48,112904,2.08,13112,0.45,13705,0.43,80571328,0.34
0100000US,,United States,,2015,1220,Public Welfare,486180,0.10,2021725771,0.14,47733,0.16,79259237,0.14,4538589,0.30,512403,0.10,533913,0.09,2100985008,0.14
0100000US,,United States,,2015,1240,Health,397782,0.11,1839964106,0.09,69413,0.10,125095252,0.08,5641411,0.10,430085,0.10,467195,0.09,1965059358,0.08
0100000US,,United States,,2015,1260,Hospitals,851505,0.07,4359725495,0.07,208593,0.11,650935260,0.10,21316494,0.11,973792,0.07,1060098,0.06,5010660755,0.07
0100000US,,United States,,2015,1280,Social Insurance Administration,70676,0.00,316808445,0.00,4637,0.00,11918016,0.00,521505,0.00,73660,0.00,75313,0.00,328726461,0.00
0100000US,,United States,,2015,1300,Solid Waste Management,98600,0.05,419093279,0.05,15278,0.20,15994757,0.19,1271974,0.21,105754,0.05,113878,0.05,435088036,0.05
0100000US,,United States,,2015,1320,Sewerage,121861,0.05,601706196,0.05,10496,0.12,10050965,0.15,592452,0.15,125026,0.05,132357,0.04,611757161,0.04
0100000US,,United States,,2015,1340,Parks and Recreation,182505,0.03,751016478,0.09,228905,0.27,183773004,0.21,14559144,0.21,265655,0.07,411410,0.15,934789482,0.08
0100000US,,United States,,2015,1360,Housing and Community Development,100165,0.13,477923639,0.14,12468,0.27,16624468,0.46,987397,0.28,105937,0.12,112633,0.12,494548107,0.13
0100000US,,United States,,2015,1380,Natural Resources,156015,0.03,726579888,0.03,34832,0.05,49747147,0.04,2756936,0.04,171693,0.03,190847,0.03,776327035,0.03
0100000US,,United States,,2015,1400,Water Supply,165381,0.04,830388626,0.04,16841,0.09,17101090,0.10,1010152,0.09,170744,0.04,182222,0.03,847489716,0.04
0100000US,,United States,,2015,1420,Electric Power,76480,0.15,549317628,0.14,2696,0.66,5945822,0.40,254150,0.44,77922,0.14,79176,0.14,555263450,0.14
0100000US,,United States,,2015,1440,Gas Supply,10877,0.44,52161510,0.44,491,1.94,698296,1.84,43400,2.22,11127,0.43,11368,0.43,52859806,0.43
0100000US,,United States,,2015,1460,Transit,226557,0.10,1324890828,0.07,20284,0.50,39091947,0.28,2270120,0.32,239529,0.09,246841,0.10,1363982775,0.07
0100000US,,United States,,2015,1480,Education Total ,7540621,0.12,34409986629,0.12,3474936,0.09,4125730849,0.09,222360441,0.11,8846910,0.11,11015557,0.09,38535717478,0.10
0100000US,,United States,,2015,1481,Education - Elementary and Secondary Total ,5917648,0.15,25191487277,0.16,1769133,0.13,2088550656,0.13,125101498,0.18,6664684,0.14,7686781,0.12,27280037933,0.15
0100000US,,United States,,2015,14811,Education - Elementary and Secondary Instructional             ,4263213,0.20,20240811062,0.19,982525,0.19,1210459966,0.16,67184734,0.24,4662327,0.19,5245738,0.17,21451271028,0.18
0100000US,,United States,,2015,14812,Education - Elementary and Secondary Other ,1654435,0.20,4950676215,0.10,786608,0.18,878090690,0.21,57916764,0.25,2002357,0.17,2441043,0.15,5828766905,0.09
0100000US,,United States,,2015,1482,Education - Higher Education Total ,1544378,0.05,8847844417,0.04,1693174,0.11,2014812442,0.11,96249461,0.09,2097853,0.04,3237552,0.06,10862656859,0.04
0100000US,,United States,,2015,14821,Education - Higher Education Instructional,508969,0.07,3936028728,0.06,630911,0.24,1084996865,0.19,35703632,0.20,714791,0.08,1139880,0.13,5021025593,0.07
0100000US,,United States,,2015,14822,Education - Higher Education Other ,1035409,0.07,4911815689,0.06,1062263,0.11,929815577,0.10,60545829,0.07,1383062,0.05,2097672,0.06,5841631266,0.05
0100000US,,United States,,2015,1483,Education - Other,78595,0.00,370654935,0.00,12629,0.00,22367751,0.00,1009482,0.00,84373,0.00,91224,0.00,393022686,0.00
0100000US,,United States,,2015,1500,Libraries                          ,87017,0.09,346834493,0.15,97299,0.10,103239098,0.12,7440563,0.10,129927,0.07,184316,0.07,450073591,0.12
0100000US,,United States,,2015,1560,State liquor stores,6133,0.00,21315726,0.00,6174,0.00,8192728,0.00,503070,0.00,9089,0.00,12307,0.00,29508454,0.00
0100000US,,United States,,2015,1580,All other and unallocable,403929,0.03,1965303662,0.03,88507,0.06,94556731,0.05,5626820,0.06,435771,0.03,492436,0.03,2059860393,0.03
0400000US01,01,Alabama,,2015,1000,Total - All Government Employment Functions,257434,0.55,985097060,0.55,58630,0.25,62009729,0.19,3926999,0.21,280541,0.51,316064,0.45,1047106789,0.52
0400000US01,01,Alabama,,2015,1020,Financial Administration,6208,0.12,24897568,0.08,297,0.56,314086,0.49,28363,0.47,6365,0.12,6505,0.12,25211654,0.08
0400000US01,01,Alabama,,2015,1040,Other Government Administration,3207,0.19,11956149,0.16,2173,0.17,1962026,0.22,85538,0.23,3681,0.17,5380,0.13,13918175,0.14
0400000US01,01,Alabama,,2015,1060,Judicial and Legal,4576,0.06,20442636,0.03,650,0.26,804950,0.21,52983,0.22,4876,0.06,5226,0.06,21247586,0.03
0400000US01,01,Alabama,,2015,1100,Police Protection Total,13572,0.10,53404389,0.10,1259,0.30,1285656,0.26,110341,0.31,14215,0.10,14831,0.09,54690045,0.10
0400000US01,01,Alabama,,2015,1101,Police Protection - Persons with Power of Arrest       ,10869,0.11,45172329,0.11,595,0.41,656577,0.36,51709,0.39,11179,0.11,11464,0.11,45828906,0.11
0400000US01,01,Alabama,,2015,1102,Police Protection - Other ,2703,0.18,8232060,0.16,664,0.44,629079,0.38,58632,0.47,3036,0.17,3367,0.17,8861139,0.15
0400000US01,01,Alabama,,2015,1120,Fire Protection Total ,5807,0.25,25059477,0.24,889,1.12,652167,1.21,51417,1.25,6099,0.25,6696,0.26,25711644,0.24
0400000US01,01,Alabama,,2015,1121,Fire Protection - Firefighters,5485,0.25,23710788,0.25,821,1.11,616848,1.22,48551,1.27,5761,0.25,6306,0.26,24327636,0.24
0400000US01,01,Alabama,,2015,1122,Fire Protection - Other ,322,1.07,1348689,0.98,68,6.11,35319,6.64,2866,6.35,338,1.08,390,1.38,1384008,0.97
0400000US01,01,Alabama,,2015,1140,Corrections,8135,0.12,28197532,0.07,347,0.79,540566,0.41,34888,0.59,8333,0.12,8482,0.12,28738098,0.07
0400000US01,01,Alabama,,2015,1160,Highways,10368,0.11,34342918,0.09,341,0.58,347592,0.70,34931,0.72,10569,0.11,10709,0.11,34690510,0.09
0400000US01,01,Alabama,,2015,1180,Air Transportation,462,5.21,1727220,4.96,51,4.07,48522,4.97,4745,5.40,490,4.94,513,4.71,1775742,4.82
