GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,EMPFT_CV,PAYANNFT,PAYANNFT_CV,EMPPT,EMPPT_CV,PAYANNPT,PAYANNPT_CV,HRSPT,HRSPT_CV,EMPFTE,EMPFTE_CV,EMP,EMP_CV,PAYANN,PAYANN_CV
Geographic identifier code,Id2,Geographic area name,Id,Year,Government Employment Function,Meaning of Government Employment Function,Full-Time Employment,Full-Time Employment Coefficient of Variation (percent),Full-Time Payroll (whole dollars),Full-Time Payroll Coefficient of Variation (percent),Part-Time Employment,Part-Time Employment Coefficient of Variation (percent),Part-Time Payroll (whole dollars),Part-Time Payroll Coefficient of Variation (percent),Part-Time Hours,Part-Time Hours Coefficient of Variation (percent),Full-Time Equivalent Employment,Full-Time Equivalent Employment Coefficient of Variation (percent),Total March Full-Time and Part-Time Employment,Total March Full-Time and Part-Time Employment Coefficient of Variation (percent),Total March Payroll (whole dollars),Total March Payroll Coefficient of Variation (percent)
0100000US,,United States,,2016,1000,Total - All Government Employment Functions,14528194,0.06,71039673746,0.06,4878160,0.06,6284983319,0.06,327613512,0.07,16435105,0.06,19406354,0.05,77324657065,0.05
0100000US,,United States,,2016,1020,Financial Administration,381352,0.02,1898509561,0.01,51141,0.04,66858432,0.03,3568898,0.04,400771,0.02,432493,0.02,1965367993,0.01
0100000US,,United States,,2016,1040,Other Government Administration,237305,0.03,1160986785,0.02,177872,0.02,117550793,0.02,5624052,0.02,268432,0.02,415177,0.02,1278537578,0.02
0100000US,,United States,,2016,1060,Judicial and Legal,397946,0.03,2149800311,0.04,40327,0.06,70096632,0.07,2985452,0.12,414629,0.03,438273,0.03,2219896943,0.04
0100000US,,United States,,2016,1100,Police Protection Total,883878,0.02,5314075453,0.02,93735,0.04,104563471,0.05,6499426,0.05,921124,0.02,977613,0.01,5418638924,0.02
0100000US,,United States,,2016,1101,Police Protection - Persons with Power of Arrest       ,687643,0.02,4425589754,0.02,35204,0.07,41390703,0.09,2532328,0.08,702108,0.02,722847,0.02,4466980457,0.02
0100000US,,United States,,2016,1102,Police Protection - Other ,196235,0.03,888485699,0.03,58531,0.05,63172768,0.05,3967098,0.06,219016,0.03,254766,0.03,951658467,0.03
0100000US,,United States,,2016,1120,Fire Protection Total ,332842,0.04,2170084263,0.11,101740,0.09,56703227,0.10,3766552,0.11,354431,0.04,434582,0.03,2226787490,0.10
0100000US,,United States,,2016,1121,Fire Protection - Firefighters,302898,0.04,1998162267,0.12,89178,0.09,45766746,0.11,3185601,0.12,321290,0.04,392076,0.04,2043929013,0.11
0100000US,,United States,,2016,1122,Fire Protection - Other ,29944,0.11,171921996,0.09,12562,0.31,10936481,0.21,580951,0.22,33141,0.10,42506,0.12,182858477,0.09
0100000US,,United States,,2016,1140,Corrections,691091,0.03,3217514952,0.03,23011,0.18,45634456,0.12,2158878,0.21,703546,0.03,714102,0.03,3263149408,0.03
0100000US,,United States,,2016,1160,Highways,472496,0.02,2184692989,0.03,36598,0.04,58378115,0.04,3116492,0.05,490185,0.02,509094,0.02,2243071104,0.03
0100000US,,United States,,2016,1180,Air Transportation,46730,0.17,267237354,0.13,4263,0.67,5916647,0.58,381938,0.67,48910,0.16,50993,0.16,273154001,0.13
0100000US,,United States,,2016,1200,Water Transport and Terminals       ,12554,0.46,81490409,0.35,1192,1.60,1979397,1.46,111876,2.03,13185,0.46,13746,0.44,83469806,0.35
0100000US,,United States,,2016,1220,Public Welfare,489035,0.10,2071544888,0.14,45613,0.16,76817038,0.14,4319865,0.27,514136,0.09,534648,0.09,2148361926,0.13
0100000US,,United States,,2016,1240,Health,400257,0.12,1894954069,0.10,68775,0.09,129394924,0.09,5700038,0.10,432980,0.11,469032,0.10,2024348993,0.09
0100000US,,United States,,2016,1260,Hospitals,867179,0.08,4575926099,0.08,211727,0.11,689512968,0.09,21880548,0.11,992798,0.07,1078906,0.06,5265439067,0.07
0100000US,,United States,,2016,1280,Social Insurance Administration,69578,0.00,318204329,0.00,3642,0.00,9322215,0.00,398972,0.00,71859,0.00,73220,0.00,327526544,0.00
0100000US,,United States,,2016,1300,Solid Waste Management,100414,0.06,430928803,0.07,15853,0.19,16934622,0.18,1366548,0.20,108106,0.06,116267,0.06,447863425,0.07
0100000US,,United States,,2016,1320,Sewerage,123377,0.05,615880198,0.05,10395,0.12,10275881,0.15,590314,0.15,126563,0.05,133772,0.04,626156079,0.04
0100000US,,United States,,2016,1340,Parks and Recreation,184324,0.03,772891218,0.09,234364,0.26,192648619,0.22,15096549,0.22,270551,0.07,418688,0.15,965539837,0.09
0100000US,,United States,,2016,1360,Housing and Community Development,100044,0.13,492555454,0.14,12470,0.19,17118343,0.24,988845,0.19,105789,0.12,112514,0.11,509673797,0.14
