state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,15077703,0.02,46681427546,0.02,13310641,0.02,4665751,0.05,42916908885,0.02,3764518661,0.04,307233495,0.04,2000
US,financial administration,372490,0.04,1142970738,0.03,349798,0.04,71576,0.26,1090187312,0.03,52783426,0.23,4229538,0.26,2000
US,other government administration,263266,0.09,843270601,0.07,231722,0.09,244684,0.2,748584184,0.08,94686417,0.22,5995595,0.23,2000
US,judicial and legal ,389756,0.03,1366521196,0.02,369275,0.03,48291,0.22,1312141528,0.02,54379668,0.15,3550431,0.16,2000
US,police protection - officers,651480,0.04,2616020034,0.04,635043,0.04,41390,0.45,2580970451,0.04,35049583,0.42,2717522,0.54,2000
US,police - other ,215745,0.06,608610193,0.05,190616,0.06,68446,0.2,562550602,0.05,46059591,0.17,4393526,0.17,2000
US,firefighters ,271785,0.07,1101738188,0.06,257766,0.06,121254,0.61,1079035277,0.05,22702911,0.68,2583778,0.7,2000
US,fire - other ,22675,0.17,74657738,0.11,20746,0.15,10091,0.89,70772050,0.11,3885688,0.68,366180,0.99,2000
US,correction ,683475,0.02,2091520316,0.01,668030,0.02,28900,0.15,2054374138,0.01,37146178,0.08,2698804,0.14,2000
US,streets and highways ,546215,0.05,1612272619,0.04,526905,0.05,42491,0.32,1572861253,0.04,39411366,0.26,3427222,0.36,2000
US,air transportation ,40520,0.06,142066633,0.03,39103,0.06,3228,0.52,139084359,0.03,2982274,0.49,272106,0.44,2000
US,water transport and terminals,12101,0.4,44621711,0.19,11606,0.38,1316,2.32,43698971,0.19,922740,1.62,82973,1.68,2000
US,public welfare ,501997,0.04,1399201636,0.03,470660,0.04,58538,0.22,1334128318,0.03,65073318,0.15,5430283,0.18,2000
US,health ,409174,0.03,1226248461,0.03,371717,0.03,78836,0.24,1136163563,0.03,90084898,0.14,6526270,0.21,2000
US,hospitals,928901,0.07,2724963437,0.05,828352,0.07,176036,0.1,2451172204,0.05,273791233,0.08,17641570,0.09,2000
US,social insurance administration,91184,0,292434400,0,85910,0,8035,0,278877349,0,13557051,0,918607,0,2000
US,solid waste management ,110121,0.09,314365516,0.08,103347,0.08,16054,0.57,302776770,0.07,11588746,0.77,1194021,0.62,2000
US,sewerage ,125911,0.09,408012098,0.07,122590,0.09,12136,0.61,400199803,0.08,7812295,0.53,650795,0.58,2000
US,parks and recreation ,247984,0.05,602096024,0.04,180712,0.05,182914,0.13,490526697,0.04,111569327,0.1,11838207,0.11,2000
US,housing and comm dev ,117309,0.15,348722632,0.14,111484,0.15,13042,0.79,337514304,0.14,11208328,0.63,1137931,0.78,2000
US,natural resources,185838,0.08,565673813,0.06,162951,0.08,48281,0.24,521359371,0.05,44314442,0.19,4027903,0.21,2000
US,water supply ,158225,0.09,497748361,0.07,152377,0.09,20804,0.57,486314698,0.07,11433663,0.54,1043136,0.55,2000
US,electric power ,78743,0.09,334620869,0.06,77075,0.08,3416,1.92,330623236,0.05,3997633,1.05,284838,1.26,2000
US,gas supply ,11734,0.6,33080114,0.39,11595,0.6,704,4.77,32630505,0.39,449609,4.36,36807,3.33,2000
US,transit,210444,0.03,799013404,0.02,200951,0.03,15797,0.1,779106159,0.02,19907245,0.07,1654915,0.1,2000
US,education - elementary and secondary instructional,4221826,0.04,13814894195,0.04,3896427,0.04,842725,0.13,13091504410,0.04,723389785,0.12,55686879,0.12,2000
US,elemandsec other - tot ,1792810,0.06,3774797731,0.06,1385328,0.06,886696,0.11,3105672308,0.06,669125423,0.13,69664367,0.13,2000
US,higher ed instruct ,602886,0.01,2811569575,0,428405,0.01,498509,0.01,2207360105,0,604209470,0.01,30438166,0,2000
US,education - higher education other,1121282,0,2979820229,0,816092,0,869961,0,2435464093,0,544356136,0,53358978,0,2000
US,education - other,101475,0,323484185,0,93669,0,20560,0,301874311,0,21609874,0,1361205,0,2000
US,libraries,120572,0.15,282492653,0.13,82379,0.17,91544,0.14,218867088,0.14,63625565,0.16,6588923,0.16,2000
US,liquor stores,7122,0,17066584,0,5777,0,2920,0,14883580,0,2183004,0,234789,0,2000
US,other and unallocable,462657,0.09,1486851662,0.06,422233,0.09,136576,0.39,1405629888,0.06,81221774,0.21,7197230,0.25,2000
AL,total,261297,0.07,648471382,0.07,239644,0.06,54348,0.35,611339238,0.07,37132144,0.31,3735726,0.38,2000
AL,financial administration,6530,0.61,16481457,0.32,5791,0.26,1547,5.43,15534872,0.16,946585,5.39,129333,5.66,2000
AL,other government administration,3456,0.86,8597133,0.51,2924,0.9,3091,2.08,7459285,0.53,1137848,1.62,90470,2.02,2000
AL,judicial and legal ,5072,0.25,14892790,0.12,4709,0.23,1045,2.27,14227195,0.12,665595,1.26,66699,1.5,2000
AL,police protection - officers,10188,0.25,28201227,0.17,9924,0.23,293,8.89,27987702,0.17,213525,12.25,27768,8.31,2000
AL,police - other ,2935,0.41,5843694,0.31,2701,0.44,508,0.55,5536443,0.33,307251,0.6,39740,0.65,2000
AL,firefighters ,4919,0.19,13838517,0.09,4624,0.11,891,2.62,13540755,0.06,297762,3.02,53831,2.46,2000
AL,fire - other ,192,1.39,470987,0.75,184,1.43,15,6.69,462945,0.75,8042,5.42,1315,6.41,2000
AL,correction ,7103,0.06,17620203,0.06,6925,0.06,245,1.22,17438292,0.06,181911,1.7,31210,1.76,2000
AL,streets and highways ,10890,0.14,23322562,0.1,10711,0.14,570,3.02,23054259,0.1,268303,2.29,36152,2.45,2000
AL,air transportation ,434,0,1019215,0,396,0,63,0,960494,0,58721,0,6603,0,2000
AL,water transport and terminals,563,0,1431686,0,563,0,1,0,1430186,0,1500,0,20,0,2000
AL,public welfare ,5417,0.43,12811006,0.26,5191,0.44,684,3.43,12438888,0.26,372118,2.52,47100,2.76,2000
AL,health ,9436,0.01,22858562,0.01,8773,0.01,1300,0.04,21940787,0.01,917775,0.01,116992,0.01,2000
AL,hospitals,35537,0,86810492,0,31437,0,7078,0,77089105,0,9721387,0,720039,0,2000
AL,social insurance administration,1380,0,3486268,0,1359,0,43,0,3460825,0,25443,0,3793,0,2000
AL,solid waste management ,3757,0.56,7395887,0.55,3696,0.55,167,3.63,7320889,0.55,74998,2.93,10850,2.9,2000
AL,sewerage ,1465,0.07,3770304,0.06,1435,0.03,82,0.61,3720273,0.06,50031,0.46,6405,0.7,2000
AL,parks and recreation ,4057,0.2,7591337,0.15,3204,0.2,1952,0.62,6422534,0.15,1168803,0.53,147334,0.66,2000
AL,housing and comm dev ,2616,0.62,6442017,0.49,2517,0.56,218,3.99,6315174,0.49,126843,4.34,10758,4.86,2000
AL,natural resources,2618,0.18,7124647,0.08,2372,0.19,549,0.97,6693667,0.09,430980,0.49,45380,0.49,2000
AL,water supply ,3508,0.82,8314662,0.53,3245,0.84,434,5.99,8146871,0.56,167791,6.24,15661,6.52,2000
AL,electric power ,1236,0.13,3898167,0.05,1216,0.13,44,0.5,3867421,0.05,30746,0.16,3775,0.18,2000
AL,gas supply ,743,1.39,2071372,1.16,730,1.42,22,0,2055436,1.17,15936,0,2181,0,2000
AL,transit,209,0.2,331860,0.44,162,0.02,149,3.13,259289,0.08,72571,1.76,10560,1.48,2000
AL,education - elementary and secondary instructional,64004,0.17,178155126,0.22,62135,0.18,5934,1.19,175619605,0.22,2535521,1.43,309841,0.99,2000
AL,elemandsec other - tot ,29044,0.24,43347877,0.28,27207,0.17,5317,1.48,40962871,0.23,2385006,2.03,311469,2.04,2000
AL,higher ed instruct ,11322,0,47672529,0,8897,0,6573,0,41197142,0,6475387,0,426713,0,2000
AL,education - higher education other,21156,0,43934303,0,16226,0,13071,0,37163530,0,6770773,0,867837,0,2000
AL,education - other,3570,0,11288637,0,3387,0,700,0,10855596,0,433041,0,32211,0,2000
AL,libraries,1007,0.59,2125361,0.47,797,0.68,566,0.65,1739926,0.59,385435,1.18,43716,1.34,2000
AL,liquor stores,638,0,1277708,0,633,0,7,0,1271042,0,6666,0,846,0,2000
AL,other and unallocable,6295,0.47,16043789,0.45,5573,0.42,1189,1.84,15165939,0.46,877850,1.15,119124,2.35,2000
AK,total,48240,0.29,176936550,0.2,42977,0.22,16161,2.05,164596813,0.16,12339737,1.37,905044,1.48,2000
AK,financial administration,1855,1.7,6667028,0.96,1723,1.88,262,10.47,6314370,1.06,352658,9.56,20354,10.7,2000
AK,other government administration,1611,1.51,5980585,1.53,1366,1.31,1140,8.41,5251915,1.3,728670,6.69,38681,6.27,2000
AK,judicial and legal ,1352,0.83,5461858,0.11,1268,0,135,8.28,5317682,0,144176,4.12,10071,9.88,2000
AK,police protection - officers,1127,2.47,5474439,1.3,1073,2.49,135,32.24,5420753,1.29,53686,14.1,5875,13.77,2000
AK,police - other ,501,3.4,2051474,2.97,472,3.61,419,12.52,1918485,3.23,132989,9.01,9714,7.27,2000
AK,firefighters ,567,0.41,2859389,0.23,517,0.16,324,2.42,2771670,0.12,87719,4.31,9795,3.43,2000
AK,fire - other ,32,3.62,91339,5.89,27,4.29,10,0,81025,6.64,10314,0,808,0,2000
AK,correction ,1713,0.79,6690480,0.68,1694,0.8,70,11.58,6624999,0.58,65481,10.77,3806,4.44,2000
AK,streets and highways ,3494,0.43,14248560,0.27,3426,0.32,132,11.66,14139218,0.27,109342,9.65,11149,12.38,2000
AK,air transportation ,72,0,356808,2.79,71,0,37,20.14,308274,0,48534,20.49,3191,20.32,2000
AK,water transport and terminals,140,3.73,535923,1.99,135,2.45,124,18.02,486143,1.04,49780,14.92,3586,13.96,2000
AK,public welfare ,1885,0.07,5749377,0.04,1748,0.07,186,0,5540428,0.06,208949,0.32,22565,0.12,2000
AK,health ,1075,0.56,3942493,0.3,1017,0.01,254,3.35,3713115,0,229378,5.16,15138,5.57,2000
AK,hospitals,439,1.86,1622410,0.82,398,2.05,73,0,1503568,0.89,118842,0,7309,0,2000
AK,social insurance administration,431,0,1447016,0,424,0,14,0,1422492,0,24524,0,1186,0,2000
AK,solid waste management ,251,1.84,822074,0.99,186,5.83,113,10.1,746811,1.33,75263,11.97,6649,13.11,2000
AK,sewerage ,411,1.25,1615474,0.81,355,1.27,162,8.85,1505066,1.18,110408,9.81,8998,8.53,2000
AK,parks and recreation ,601,3.04,1226413,3.86,426,2.71,640,5.23,816211,4.41,410202,7.08,37526,5.6,2000
AK,housing and comm dev ,544,2.38,2325877,4.7,529,3.17,35,19.12,2323357,5.59,2520,991.68,2509,31.23,2000
AK,natural resources,2003,0,7579474,0,1977,0,67,0,7521703,0,57771,0,4501,0,2000
AK,water supply ,338,4.08,1054485,2.28,306,4.31,77,5.92,982625,2.26,71860,13.31,4773,11.96,2000
AK,electric power ,579,3.58,2326454,1.39,380,0.11,368,11.03,2047025,0.04,279429,11.55,22987,11.08,2000
AK,gas supply ,0,0,144250,13.5,0,0,250,12.77,0,0,144250,13.5,9450,12.69,2000
