state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
US,2012,total,14345396,64724339918,4843242,5854610711,320976119,16206683,19188638,70578950629
US,2012,financial administration,365079,1653868325,50183,59952722,3369495,383596,415262,1713821047
US,2012,other government administration,234771,1063185960,181373,111844577,5675659,265954,416144,1175030537
US,2012,judicial and legal,391039,1965192153,41307,68190199,3003775,407927,432346,2033382352
US,2012,police protection total,874907,4832989326,96069,99694833,6571486,912308,970976,4932684159
US,2012,police protection - officers,674614,4005805202,35540,39098288,2458749,688507,710154,4044903490
US,2012,police protection - other,200293,827184124,60529,60596545,4112737,223801,260822,887780669
US,2012,fire protection total,321835,1955268048,106456,52512587,3780559,343017,428291,2007780635
US,2012,fire protection - firefighters,295050,1815417579,94989,43591844,3285389,313522,390039,1859009423
US,2012,fire protection - other,26785,139850469,11467,8920743,495170,29495,38252,148771212
US,2012,corrections,691679,2940165499,23072,43455128,2133089,703882,714751,2983620627
US,2012,highways,480671,2044675557,35284,51662917,2973058,497430,515955,2096338474
US,2012,air transportation,44223,223079737,3967,4908341,344413,46184,48190,227988078
US,2012,water transport and terminals,12448,71872670,1120,1499626,89186,12954,13568,73372296
US,2012,public welfare,472283,1859150098,49869,79914938,4756759,499668,522152,1939065036
US,2012,health,394936,1721357942,70155,120062036,5693626,427420,465091,1841419978
US,2012,hospitals,846918,4093611411,207929,609717505,21295478,969022,1054847,4703328916
US,2012,social insurance administration,80603,343819954,7381,16699825,846630,85516,87984,360519779
US,2012,solid waste management,98871,402623705,14660,14492509,1251814,105904,113531,417116214
US,2012,sewerage,120841,556745901,9802,9175602,543633,123716,130643,565921503
US,2012,parks and recreation,178391,690338159,211890,170155321,13933240,257778,390281,860493480
US,2012,housing and community development,101951,452535417,12276,15729077,973641,107544,114227,468264494
US,2012,natural resources,155134,676620619,32202,43881850,2598609,169979,187336,720502469
US,2012,water transport and terminals,163797,764559335,15364,14565417,882273,168527,179161,779124752
US,2012,electric power,77381,508829514,2513,5171282,239883,78738,79894,514000796
US,2012,gas supply,11111,49748914,361,570776,26951,11263,11472,50319690
US,2012,transit,213078,1158752263,18873,35484227,2117058,225117,231951,1194236490
US,2012,education total,7522230,32541892836,3460971,4029627928,224455942,8835290,10983201,36571520764
US,2012,education - elementary and secondary total,5936118,24036902975,1774435,2057500180,126892695,6688816,7710553,26094403155
US,2012,education - elementary and secondary instructional,4270219,19394895050,981343,1201550542,67145691,4667045,5251562,20596445592
US,2012,education - elementary and secondary other,1665899,4642007925,793092,855949638,59747004,2021771,2458991,5497957563
US,2012,education - higher education total,1506198,8150196416,1673018,1948856235,96500067,2060463,3179216,10099052651
US,2012,education - higher education instructional,494596,3633551738,639211,1043781361,35788890,700566,1133807,4677333099
US,2012,education - higher education other,1011602,4516644678,1033807,905074874,60711177,1359897,2045409,5421719552
US,2012,education - other,79914,354793445,13518,23271513,1063180,86011,93432,378064958
US,2012,libraries,86371,324674338,94413,95773815,7161911,127696,180784,420448153
US,2012,liquor stores,6703,22176390,4839,7233229,462036,9410,11542,29409619
US,2012,other and unallocable,398145,1806605847,90913,92634444,5795915,430843,489058,1899240291
AL,2012,total,258228,931972480,59015,63361323,4019252,281585,317243,995333803
AL,2012,financial administration,6255,23703987,273,306510,22083,6378,6528,24010497
AL,2012,other government administration,2999,11069247,2176,1473427,75025,3416,5175,12542674
AL,2012,judicial and legal,4532,19180687,661,823962,51310,4817,5193,20004649
AL,2012,police protection total,13781,51419600,1211,1135427,98510,14347,14992,52555027
AL,2012,police protection - officers,10737,42742047,507,515205,43546,10993,11244,43257252
AL,2012,police protection - other,3044,8677553,704,620222,54964,3354,3748,9297775
AL,2012,fire protection total,5791,23864548,877,588482,50925,6082,6668,24453030
AL,2012,fire protection - firefighters,5498,22857738,819,564626,49162,5777,6317,23422364
AL,2012,fire protection - other,293,1006810,58,23856,1763,305,351,1030666
AL,2012,corrections,8345,25933294,325,472250,36376,8553,8670,26405544
AL,2012,highways,10497,33197559,361,418336,39539,10720,10858,33615895
AL,2012,air transportation,457,1618792,38,39389,3928,480,495,1658181
AL,2012,water transport and terminals,585,2786993,3,3864,361,587,588,2790857
AL,2012,public welfare,4937,15822570,554,621249,52600,5238,5491,16443819
AL,2012,health,11160,35361771,1579,1688090,136575,11933,12739,37049861
AL,2012,hospitals,31833,127572164,8303,18830173,826441,36766,40136,146402337
AL,2012,social insurance administration,877,3237568,63,89146,8902,927,940,3326714
AL,2012,solid waste management,3276,8702411,162,194674,17970,3381,3438,8897085
AL,2012,sewerage,1405,5357806,53,55750,3945,1428,1458,5413556
AL,2012,parks and recreation,3236,9416748,2389,1802946,198246,4355,5625,11219694
AL,2012,housing and community development,1896,6815468,237,242037,17918,2002,2133,7057505
AL,2012,natural resources,2379,8665513,183,222962,16085,2474,2562,8888475
AL,2012,water transport and terminals,3764,14497499,265,262871,18573,3868,4029,14760370
AL,2012,electric power,1102,5410530,29,62043,3273,1121,1131,5472573
AL,2012,gas supply,862,3481495,33,25952,2639,877,895,3507447
AL,2012,transit,504,1455635,129,154372,14456,587,633,1610007
