state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,total,14090531,0.11,37713627367,0.1,12461057,0.12,4164497,0.64,34742867087,0.1,2970760280,0.28,281564706,0.42,1995
US,financial administration,353922,0.31,916152929,0.25,337306,0.28,51101,2.78,883816725,0.25,32336204,2.11,3032142,2.39,1995
US,other government administration,240592,0.7,644406517,0.46,215494,0.68,197083,6.7,584444453,0.46,59962064,2.04,4695745,2.76,1995
US,judicial and legal,331196,0.32,993729305,0.23,313279,0.32,35662,1.98,959092885,0.23,34636420,1.97,2816515,1.5,1995
US,police protection - officers,585156,0.41,2029189935,0.31,574802,0.4,31254,3.47,2011256384,0.31,17933551,3.32,1865991,4.03,1995
US,police protection - other,193600,0.45,447583464,0.32,169003,0.42,64810,1.55,410272995,0.33,37310469,1.29,4348848,1.45,1995
US,fire protection - firefighters,256001,2.1,898226128,1.21,243947,1.89,92368,6.71,881447832,1.22,16778296,8.23,2141151,10.38,1995
US,fire protection - other,18325,2.28,52035686,1.85,17013,2.07,6570,9.62,49672007,1.92,2363679,6.12,236029,7.34,1995
US,corrections,614975,0.21,1620328803,0.16,600329,0.21,26420,0.92,1588351736,0.17,31977067,0.47,2547718,0.84,1995
US,streets and highways,543143,0.37,1357179500,0.29,524080,0.36,35853,2.97,1325916765,0.3,31262735,1.71,3334025,2.25,1995
US,air transportation,36114,0.59,103721984,0.62,34821,0.59,2567,2.6,101484618,0.63,2237366,2.24,234853,2.17,1995
US,water transport and terminals,11709,0.66,36878948,0.71,11202,0.51,1019,7.23,35925171,0.71,953777,6.06,90745,8.9,1995
US,public welfare,491813,0.36,1145416412,0.25,463588,0.33,52335,1.53,1096683666,0.26,48732746,1.25,4887784,1.75,1995
US,health,368619,0.41,976931397,0.28,338633,0.41,64660,2.07,912853267,0.3,64078130,0.98,5224681,1.23,1995
US,hospitals,1047555,0.45,2657592297,0.43,936002,0.46,193278,0.89,2382967776,0.47,274624521,0.9,19511737,0.95,1995
US,social insurance administration,93783,0,253705218,0,87571,0,10696,0,239070500,0,14634718,0,1079016,0,1995
US,solid waste management,108770,0.73,263385749,0.6,103326,0.73,11998,4.07,255749750,0.61,7635999,2.32,984836,2.73,1995
US,sewerage,124739,0.75,344611808,0.65,121908,0.72,7672,7.64,339866857,0.66,4744951,6.3,504503,7.36,1995
US,parks and recreation,245875,0.58,501706093,0.46,176267,0.44,184836,2.35,404432180,0.48,97273913,1.27,12215738,1.3,1995
US,housing and community development,124279,1.39,314733086,1.14,117605,1.39,13881,3.7,303649422,1.18,11083664,2.84,1119531,3.12,1995
US,natural resources,188265,0.17,474702496,0.13,168719,0.17,42352,1.23,438485203,0.13,36217293,0.49,3443918,0.82,1995
US,water transport and terminals,152933,0.82,410023517,0.77,147870,0.81,17545,5.63,400874884,0.78,9148633,4.01,952992,4.99,1995
US,electric power,80544,0.65,296257882,0.5,78768,0.58,3379,7.31,292521389,0.5,3736493,3.46,310609,5.9,1995
US,gas supply,10476,1.45,27742804,0.82,10350,1.33,280,17.92,27477916,0.82,264888,6.97,24388,12.42,1995
US,transit,207420,0.12,675609003,0.08,194440,0.1,15826,0.72,649725507,0.08,25883496,0.49,2236776,0.53,1995
US,education - elementary and secondary instructional,3763312,0.23,11079540516,0.19,3448378,0.21,760012,0.78,10524439962,0.19,555100554,0.81,52650194,1.59,1995
US,education - elementary and secondary other,1619332,0.28,2859919129,0.5,1280312,0.54,763399,2.53,2350869805,0.57,509049324,0.91,58533586,0.89,1995
US,education - higher education instructional,568057,0.01,2286427904,0.01,402363,0.01,457963,0.02,1808318778,0.01,478109126,0.01,28880031,0.02,1995
US,education - higher education other,1040737,0.03,2304464461,0.04,745877,0.04,807893,0.01,1856181298,0.05,448283163,0,51246414,0,1995
US,education - other,96450,0,260469415,0,91018,0,25765,0,249076966,0,11392449,0,944950,0,1995
US,libraries,103370,0.71,207374507,0.53,74653,0.62,72844,1.59,165239981,0.55,42134526,1.44,5011982,1.62,1995
US,liquor stores,7963,0,17941867,0,6567,0,3718,0,15841405,0,2100462,0,243853,0,1995
