state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,15923650,0.16,58123287495,0.14,14148947,0.17,4855106,0.47,53340655395,0.15,4782632100,0.39,305925172,0.48,2005
US,financial administration,390287,0.44,1428890636,0.37,367456,0.41,63532,3.27,1365408029,0.35,63482607,3.24,4159077,2.79,2005
US,other government administration,282099,0.95,1071998947,0.77,245222,1.02,224561,2.41,947066950,0.82,124931997,2.25,6629567,2.61,2005
US,judicial and legal,410980,0.33,1714204027,0.23,392196,0.32,49202,7.48,1649210001,0.22,64994026,1.78,3271501,1.91,2005
US,police protection - officers,671717,0.34,3207231960,0.33,655966,0.32,42249,4.92,3162302375,0.33,44929585,3.77,2673471,5.19,2005
US,police protection - other,230655,0.56,779019734,0.45,205475,0.56,69550,2.37,720692136,0.46,58327598,2.1,4401174,2.22,2005
US,fire protection - firefighters,296761,0.64,1466345219,0.46,280825,0.52,131033,6.69,1432160405,0.44,34184814,6.11,2883096,6.38,2005
US,fire protection - other,25678,1.78,105000672,1.45,23213,1.39,14780,13.15,98478741,1.27,6521931,7.71,443443,8.64,2005
US,corrections,707366,0.14,2491290925,0.1,693369,0.14,26674,1.46,2450173217,0.1,41117708,0.84,2436383,1.41,2005
US,highways,546220,0.45,1929978792,0.46,528904,0.45,38866,3.67,1884444183,0.47,45534609,2.73,3090901,3.34,2005
US,air transportation,45039,0.76,186291713,0.58,43271,0.79,3635,3.61,182183013,0.59,4108700,1.83,307034,2.99,2005
US,water transport and terminals,12067,0.56,55855456,0.34,11686,0.28,1098,10.46,54819794,0.25,1035662,7.43,71418,10.99,2005
US,public welfare,506182,0.31,1669701997,0.25,477853,0.3,54558,1.33,1593214152,0.24,76487845,0.88,4880923,1.17,2005
US,health,424765,0.33,1517544102,0.25,393042,0.33,74453,3.08,1416292269,0.25,101251833,0.94,5500075,1.42,2005
US,hospitals,918952,0.09,3368784944,0.08,815292,0.08,182205,0.31,2999287522,0.08,369497422,0.17,17954036,0.22,2005
US,social insurance administration,84685,0,306808072,0,79819,0,7468,0,292863330,0,13944742,0,843485,0,2005
US,solid waste management,110098,1.12,374759245,0.74,102241,1.11,19707,4.29,358905854,0.74,15853391,4.92,1384620,4.88,2005
US,sewerage,127633,1.07,495719971,0.92,123950,1.03,13424,8.14,485388215,0.89,10331756,7.96,674363,7.62,2005
