state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,total,13912227,0.09,36432672410,0.09,12367568,0.11,4100797,0.61,33573523666,0.09,2859148744,0.27,268564797,0.31,1994
US,financial administration,351497,0.28,881878449,0.21,336640,0.27,48226,2.74,852661828,0.21,29216621,1.75,2751342,1.95,1994
US,other government administration,233828,0.63,617421787,0.44,211052,0.63,160260,2.68,557076906,0.45,60344881,1.91,4225719,2.25,1994
US,judicial and legal,321168,0.3,941035016,0.22,307148,0.31,34035,1.83,908411552,0.22,32623464,1.49,2503118,1.26,1994
US,police protection - officers,560805,0.37,1892473514,0.29,551764,0.36,29231,3.27,1876805921,0.3,15667593,2.92,1660717,3.51,1994
US,police protection - other,188503,0.44,419894162,0.32,164799,0.41,63063,1.48,384636238,0.33,35257924,1.2,4204489,1.37,1994
US,fire protection - firefighters,252692,1.62,860314901,1.2,241915,1.49,88909,7.19,845841949,1.22,14472952,7.93,1963102,9.67,1994
US,fire protection - other,18431,1.3,51482929,0.9,16921,1.03,6508,18.42,48750988,0.85,2731941,7.45,282866,6.98,1994
US,corrections,584387,0.17,1497266228,0.11,572127,0.16,27110,0.87,1467777479,0.11,29488749,0.54,2143772,0.95,1994
US,streets and highways,544233,0.34,1319921608,0.28,526910,0.34,33773,2.83,1291686798,0.28,28234810,1.59,3097313,2.11,1994
US,air transportation,35745,0.34,99813316,0.29,34548,0.34,2412,2.45,97834790,0.29,1978526,2.28,219389,2.36,1994
US,water transport and terminals,11807,1.02,36437921,0.58,11324,0.45,1125,6.1,35467568,0.54,970353,9.86,84356,22.34,1994
US,public welfare,492387,0.3,1107901626,0.2,465056,0.27,51997,1.43,1061962395,0.21,45939231,1.09,4748701,1.46,1994
US,health,360694,0.38,908764066,0.27,330945,0.38,64398,2.48,846561024,0.29,62203042,0.81,5181717,1.05,1994
US,hospitals,1053356,0.42,2622594414,0.37,945320,0.43,190844,0.85,2357254314,0.39,265340100,1.03,18990727,0.88,1994
US,social insurance administration,93890,0,242344181,0,87697,0,11135,0,228059296,0,14284885,0,1077749,0,1994
US,solid waste management,110391,0.7,259823758,0.55,105024,0.7,12318,2.98,252134571,0.56,7689187,2.18,977803,2.54,1994
US,sewerage,121594,0.74,336251834,0.61,121706,0.7,7763,6.65,331333389,0.62,4918445,4.91,498210,5.46,1994
US,parks and recreation,239605,0.56,480991994,0.42,174328,0.43,171710,2.44,389736131,0.43,91255863,1.23,11461648,1.31,1994
US,housing and community development,123173,1.38,304982204,1.14,116983,1.37,13486,4.09,294948080,1.17,10034124,3.16,1087085,3.3,1994
US,natural resources,187432,0.18,467866491,0.14,168649,0.19,42841,1.51,433371248,0.15,34495243,0.42,3310765,0.49,1994
