state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,15378924,0.2,49262376240,0.19,13628547,0.2,4643763,0.54,45355014569,0.19,3907361671,0.52,303018784,0.62,2001
US,financial administration,379077,0.42,1217442861,0.36,355691,0.4,71429,2.93,1159651948,0.35,57790913,2.51,4251528,2.85,2001
US,other government administration,271018,0.86,900883402,0.69,238302,0.87,254197,2.33,798965925,0.71,101917477,2.44,6141671,2.58,2001
US,judicial and legal,402342,0.54,1480160334,0.38,383297,0.54,46931,2.46,1424577237,0.39,55583097,1.66,3400561,1.79,2001
US,police protection - officers,661508,0.41,2770854767,0.36,646744,0.4,39608,4.45,2736165963,0.37,34688804,3.4,2490871,4.8,2001
US,police protection - other,223163,0.85,652297399,0.59,197447,0.85,70126,2.23,602751346,0.59,49546053,2.01,4487198,2.4,2001
US,fire protection - firefighters,276250,0.73,1155553469,0.49,261815,0.59,116453,7.2,1131608106,0.46,23945363,6.23,2682454,7.24,2001
US,fire protection - other,23436,2.58,79948641,1.3,21273,1.65,11823,11.32,75775324,1.31,4173317,7.78,570292,13.8,2001
US,corrections,700734,0.28,2211788411,0.19,684008,0.26,30080,2.07,2169529853,0.18,42258558,1.14,2933684,1.87,2001
US,streets and highways,551706,0.45,1725267216,0.39,533865,0.45,41524,3.85,1684599294,0.39,40667922,3.19,3227442,3.76,2001
US,air transportation,42484,0.58,156609657,0.34,41034,0.57,3384,6.17,153437129,0.31,3172528,5.13,268764,5.33,2001
US,water transport and terminals,12461,2.55,49406170,2.01,11890,2.08,1430,18.57,48108113,1.69,1298057,29.47,103709,26.27,2001
US,public welfare,519118,0.53,1499391542,0.41,489086,0.51,57047,3.08,1434487482,0.39,64904060,2.05,5219506,2.37,2001
US,health,423813,1.72,1311097832,0.8,383764,0.83,86397,7.73,1216344652,0.55,94753180,4.51,6966559,10.9,2001
US,hospitals,922320,0.59,2843782600,0.46,820918,0.57,177618,1.07,2554179211,0.45,289603389,0.88,17771009,1.14,2001
US,social insurance administration,86843,0,288589305,0,81623,0,7753,0,275067731,0,13521574,0,906301,0,2001
US,solid waste management,113174,0.79,336830564,0.77,105737,0.73,17063,5.47,324764423,0.7,12066141,6.47,1281206,5.46,2001
