state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,15708404,0,52618285581,0,13918573,0,4545290,0,48442467911,0,4175817670,0,307512573,0,2002
US,financial administration,381891,0,1285478242,0,360981,0,56181,0,1233284539,0,52193703,0,3795266,0,2002
US,other government administration,271333,0,938920570,0,239157,0,185581,0,844052341,0,94868229,0,5833819,0,2002
US,judicial and legal,405713,0,1556707241,0,387459,0,42245,0,1501733506,0,54973735,0,3222812,0,2002
US,police protection - officers,661165,0,2953646611,0,645953,0,37456,0,2911262251,0,42384360,0,2596638,0,2002
US,police protection - other,226022,0,696887689,0,200578,0,67350,0,644996392,0,51891297,0,4437697,0,2002
US,fire protection - firefighters,282084,0,1272228703,0,268238,0,88411,0,1247371470,0,24857233,0,2459712,0,2002
US,fire protection - other,24678,0,94491986,0,22688,0,8293,0,89608443,0,4883543,0,363946,0,2002
US,corrections,704807,0,2321049677,0,690476,0,26439,0,2283680513,0,37369164,0,2494041,0,2002
US,highways,545249,0,1778423378,0,529316,0,35828,0,1740791965,0,37631413,0,2831210,0,2002
US,air transportation,44156,0,169954541,0,42588,0,3294,0,166561917,0,3392624,0,276823,0,2002
US,water transport and terminals,11602,0,48142690,0,11218,0,1060,0,47170571,0,972119,0,67993,0,2002
US,public welfare,525493,0,1614128941,0,493911,0,54843,0,1538357678,0,75771263,0,5419005,0,2002
US,health,428671,0,1406739264,0,393810,0,72998,0,1311282679,0,95456585,0,6042594,0,2002
US,hospitals,916480,0,2996588570,0,812839,0,176886,0,2672853040,0,323735530,0,17932738,0,2002
US,social insurance administration,88786,0,304330187,0,82658,0,9119,0,287973230,0,16356957,0,1059987,0,2002
