state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,14565424,0.06,64885567600,0.06,4736164,0.07,5597931763,0.06,303797943,0.07,16333170,0.06,19301588,0.05,70483499363,0.06,0,0,2011
US,financial administration,368805,0.11,1640612139,0.09,44919,0.32,54724328,0.26,2962011,0.22,385420,0.11,413724,0.1,1695336467,0.09,0,0,2011
US,other government administration,235690,0.16,1064579616,0.15,142070,0.21,103338924,0.22,5044927,0.23,264451,0.16,377760,0.13,1167918540,0.14,0,0,2011
US,judicial and legal,396669,0.1,1962986492,0.07,42424,0.21,69058804,0.17,2964980,0.19,413644,0.11,439093,0.09,2032045296,0.07,0,0,2011
US,police protection total,913462,0.13,4981428695,0.12,97449,0.31,95432594,0.23,6105941,0.25,948079,0.13,1010911,0.12,5076861289,0.12,0,0,2011
US,police protection - officers,702759,0.13,4124894775,0.12,32785,0.26,34078907,0.25,1997025,0.29,713784,0.13,735544,0.13,4158973682,0.12,0,0,2011
US,police protection - other,210703,0.14,856533920,0.12,64664,0.34,61353687,0.21,4108916,0.23,234295,0.14,275367,0.13,917887607,0.12,0,0,2011
US,fire protection total,323459,0.25,1941256992,0.25,86480,0.49,40538477,0.85,2730746,0.91,339216,0.27,409939,0.22,1981795469,0.25,0,0,2011
US,fire protection - firefighters,297094,0.25,1803932623,0.25,80213,0.47,34777571,0.81,2427790,0.88,311141,0.26,377307,0.22,1838710194,0.25,0,0,2011
US,fire protection - other,26365,0.29,137324369,0.3,6267,0.81,5760906,1.08,302956,1.11,28075,0.36,32632,0.28,143085275,0.29,0,0,2011
