state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2013,total,14247494,0.06,65494729333,0.06,4859608,0.06,5909927840,0.06,317360478,0.07,16100049,0.06,19107102,0.05,71404657173,0.06
US,2013,financial administration,372554,0.1,1719851956,0.08,50269,0.25,61635640,0.19,3436086,0.16,391752,0.1,422823,0.09,1781487596,0.08
US,2013,other government administration,231290,0.13,1070261212,0.13,177284,0.17,116003508,0.31,5855374,0.31,263392,0.13,408574,0.11,1186264720,0.12
US,2013,judicial and legal,390290,0.08,1990920690,0.06,42592,0.17,70682788,0.14,3110634,0.16,407834,0.08,432882,0.07,2061603478,0.05
US,2013,police protection total,864931,0.11,4865537476,0.1,96198,0.17,102728991,0.17,6658877,0.18,903471,0.1,961129,0.1,4968266467,0.1
US,2013,police protection - officers,672060,0.13,4052035494,0.12,36244,0.26,41489361,0.27,2586906,0.29,686999,0.13,708304,0.12,4093524855,0.12
US,2013,police protection - other,192871,0.13,813501982,0.12,59954,0.23,61239630,0.21,4071971,0.23,216472,0.13,252825,0.11,874741612,0.11
US,2013,fire protection total,322554,0.19,1999235412,0.2,103787,0.28,52589180,0.38,3636696,0.45,343830,0.19,426341,0.16,2051824592,0.19
US,2013,fire protection - firefighters,295284,0.21,1852701864,0.21,92419,0.32,43435433,0.45,3135049,0.52,313739,0.21,387703,0.18,1896137297,0.21
US,2013,fire protection - other,27270,0.24,146533548,0.25,11368,0.22,9153747,0.41,501647,0.38,30091,0.25,38638,0.18,155687295,0.23
US,2013,corrections,684253,0.09,2954346979,0.06,31537,0.16,54114047,0.1,2570486,0.18,698991,0.09,715790,0.08,3008461026,0.06
US,2013,highways,474935,0.12,2080187964,0.1,37243,0.12,56243424,0.1,3133728,0.18,492703,0.12,512178,0.11,2136431388,0.09
US,2013,air transportation,44376,0.18,234791169,0.12,4234,0.13,5502084,0.12,370313,0.12,46518,0.17,48610,0.16,240293253,0.12
US,2013,water transport and terminals,12507,0.16,73740720,0.17,1326,0.52,1955619,0.27,115183,0.3,13184,0.17,13833,0.16,75696339,0.16
US,2013,public welfare,471137,0.11,1877850796,0.09,50622,0.27,85567896,0.21,4902966,0.26,499613,0.12,521759,0.1,1963418692,0.08
US,2013,health,389001,0.13,1714845297,0.1,72016,0.25,126553847,0.18,5925690,0.27,423306,0.14,461017,0.11,1841399144,0.09
US,2013,hospitals,844274,0.1,4150723078,0.08,208320,0.12,620616911,0.07,21152055,0.1,965911,0.1,1052594,0.08,4771339989,0.07
US,2013,social insurance administration,76396,0,325656246,0,7315,0,16612165,0,775474,0,80871,0,83711,0,342268411,0
US,2013,solid waste management,98172,0.21,408541274,0.16,15096,0.38,15514902,0.29,1265452,0.38,105442,0.22,113268,0.19,424056176,0.15
US,2013,sewerage,122852,0.21,576766573,0.2,10334,0.2,9815190,0.13,588282,0.13,126010,0.21,133186,0.19,586581763,0.19
US,2013,parks and recreation,177967,0.16,702629574,0.17,221388,0.21,178342337,0.18,14348187,0.19,260343,0.17,399355,0.14,880971911,0.14
US,2013,housing and community development,102983,0.27,464219311,0.25,13651,0.21,17622238,0.18,1061181,0.19,109305,0.27,116634,0.24,481841549,0.24
US,2013,natural resources,153119,0.06,680692365,0.06,34417,0.05,49510978,0.04,2829156,0.05,169197,0.06,187536,0.05,730203343,0.06
US,2013,water transport and terminals,166379,0.24,792107963,0.26,16720,0.15,16439625,0.19,987428,0.21,171701,0.24,183099,0.22,808547588,0.25
US,2013,electric power,76546,0.25,517558638,0.26,2712,0.57,5618781,0.48,258387,0.32,78018,0.25,79258,0.24,523177419,0.26
US,2013,gas supply,10939,0.29,50736341,0.2,455,0.09,670711,0.04,43387,0.04,11188,0.29,11394,0.28,51407052,0.2
US,2013,transit,216682,0.1,1239390418,0.09,19540,0.24,36891208,0.24,2143024,0.26,229011,0.1,236222,0.09,1276281626,0.08
US,2013,education total,7453434,0.12,32823569888,0.12,3450613,0.08,4004435549,0.09,218489954,0.1,8739290,0.11,10904047,0.08,36828005437,0.1
US,2013,education - elementary and secondary total,5866813,0.15,24187657565,0.16,1770386,0.16,2002264081,0.17,120773382,0.17,6590081,0.14,7637199,0.12,26189921646,0.15
US,2013,education - elementary and secondary instructional,4234708,0.19,19509852963,0.19,985470,0.21,1160393033,0.23,63563299,0.23,4615154,0.19,5220178,0.16,20670245996,0.18
US,2013,education - elementary and secondary other,1632105,0.19,4677804602,0.18,784916,0.23,841871048,0.25,57210083,0.25,1974927,0.19,2417021,0.15,5519675650,0.16
US,2013,education - higher education total,1506837,0.04,8277595984,0.03,1666794,0.05,1978359002,0.04,96655066,0.04,2063365,0.04,3173631,0.03,10255954986,0.03
US,2013,education - higher education instructional,493652,0.07,3690552267,0.05,624724,0.11,1041778445,0.07,34829517,0.1,695148,0.07,1118376,0.07,4732330712,0.04
US,2013,education - higher education other,1013185,0.05,4587043717,0.04,1042070,0.05,936580557,0.04,61825549,0.05,1368217,0.04,2055255,0.03,5523624274,0.03
US,2013,education - other,79784,0,358316339,0,13433,0,23812466,0,1061506,0,85844,0,93217,0,382128805,0
US,2013,libraries,86710,0.16,328973661,0.16,98685,0.2,100437244,0.2,7471996,0.19,130396,0.17,185395,0.13,429410905,0.13
US,2013,liquor stores,6003,0,20147276,0,5280,0,7587851,0,477612,0,8801,0,11283,0,27735127,0
US,2013,other and unallocable,397210,0.1,1831447056,0.09,87974,0.24,96235126,0.17,5752870,0.2,429971,0.11,485184,0.1,1927682182,0.08
AL,2013,total,259464,0.49,954937180,0.48,59289,0.31,62012320,0.18,4100996,0.26,283196,0.46,318753,0.4,1016949500,0.45
AL,2013,financial administration,6272,0.89,23671846,0.57,278,5.23,333523,4.57,23555,6.56,6410,1.16,6550,0.88,24005369,0.57
AL,2013,other government administration,2897,1.31,10762613,1.25,2211,1.8,1830538,1.1,90774,1.09,3413,1.44,5108,1.08,12593151,1.08
AL,2013,judicial and legal,4623,0.3,18996914,0.22,708,1.64,913553,0.64,61233,0.45,4955,0.37,5331,0.34,19910467,0.21
AL,2013,police protection total,13543,1.22,51307242,1.1,1198,1.23,1092346,1.57,96122,1.38,14116,1.21,14741,1.12,52399588,1.08
AL,2013,police protection - officers,10719,1.48,43088998,1.29,529,2.58,540895,3.02,44646,2.77,10994,1.49,11248,1.41,43629893,1.27
AL,2013,police protection - other,2824,1.59,8218244,1.35,669,0.84,551451,0.93,51476,0.91,3122,1.6,3493,1.29,8769695,1.27
AL,2013,fire protection total,5803,1.23,24409367,1.08,799,3.05,545947,2.92,47180,2.25,6080,1.27,6602,1.15,24955314,1.06
AL,2013,fire protection - firefighters,5478,1.31,23133765,1.14,764,3.19,529169,3.02,45943,2.31,5747,1.34,6242,1.21,23662934,1.12
AL,2013,fire protection - other,325,0.43,1275602,0.49,35,0.34,16778,0.64,1237,0.87,333,0.52,360,0.39,1292380,0.49
AL,2013,corrections,8157,1.26,25564086,0.89,328,2.16,466859,1.84,35400,2.28,8358,1.3,8485,1.21,26030945,0.88
AL,2013,highways,10400,1.42,33711331,1.19,340,1.63,382609,1.99,34352,2.32,10609,1.48,10740,1.38,34093940,1.18
AL,2013,air transportation,492,3.54,1793258,3.59,33,3.43,35434,2.13,3191,2.59,512,3.54,525,3.32,1828692,3.52
AL,2013,water transport and terminals,601,0.01,2848092,0.01,5,0.01,4517,0.01,449,0.01,605,0.01,606,0.01,2852609,0.01
AL,2013,public welfare,4873,0.29,15827119,0.17,574,1.77,642328,1.54,52756,2.44,5176,0.48,5447,0.32,16469447,0.17
AL,2013,health,10850,0.55,34909401,0.42,1728,0.67,1791424,0.71,147112,0.66,11687,0.58,12578,0.48,36700825,0.4
AL,2013,hospitals,31838,0.01,132349216,0.01,8048,0.01,16869246,0.01,842278,0.02,36735,0.01,39886,0.01,149218462,0.01
AL,2013,social insurance administration,923,0,3389544,0,104,0,134848,0,13336,0,998,0,1027,0,3524392,0
AL,2013,solid waste management,3267,2.39,8888326,2.06,168,1.07,206907,0.94,17590,1.15,3373,2.52,3435,2.27,9095233,2.02
AL,2013,sewerage,1424,2.01,5386634,2.03,51,0.5,54152,0.13,4179,0.15,1449,1.98,1475,1.94,5440786,2.01
AL,2013,parks and recreation,3225,1.01,9586620,0.92,2333,1.55,1926032,1.57,198879,1.33,4362,1.2,5558,0.88,11512652,0.81
AL,2013,housing and community development,2082,1.04,7397645,1.05,287,0.53,302166,0.87,23895,0.68,2220,1.03,2369,0.92,7699811,1.01
AL,2013,natural resources,2308,0.05,8484293,0.04,207,0.12,243842,0.3,18083,0.24,2413,0.1,2515,0.05,8728135,0.04
AL,2013,water transport and terminals,3882,1.34,14918390,1.22,290,0.47,272977,0.45,20706,0.53,3996,1.32,4172,1.24,15191367,1.19
AL,2013,electric power,1108,2.83,5330725,3.01,24,0.58,30276,0.3,2334,0.39,1121,2.8,1132,2.77,5361001,2.99
AL,2013,gas supply,838,0.87,3471909,1.01,37,0.13,32210,0.31,3221,0.1,856,0.86,875,0.84,3504119,1
AL,2013,transit,539,0.12,1594328,0.11,144,0.2,162234,0.17,15505,0.18,630,0.13,683,0.11,1756562,0.1
AL,2013,education total,131512,0.94,482344360,0.94,37493,0.45,31670379,0.31,2154084,0.46,143987,0.87,169005,0.74,514014739,0.88
AL,2013,education - elementary and secondary total,95495,1.3,307394249,1.47,11175,1.53,7455476,1.33,731929,1.34,99724,1.26,106670,1.17,314849725,1.44
AL,2013,education - elementary and secondary instructional,65636,1.75,251527652,1.78,7499,1.81,5684353,1.42,523594,1.29,68667,1.68,73135,1.58,257212005,1.74
AL,2013,education - elementary and secondary other,29859,1.55,55866597,1.36,3676,2.8,1771123,3.28,208335,3.43,31057,1.57,33535,1.42,57637720,1.32
AL,2013,education - higher education total,33132,0.01,163849641,0.01,26169,0.01,24081876,0.01,1416256,0.01,41345,0.01,59301,0.01,187931517,0.01
AL,2013,education - higher education instructional,9945,0.01,74193023,0.01,9238,0.01,11701563,0.01,485938,0.01,12759,0.01,19183,0.01,85894586,0.01
AL,2013,education - higher education other,23187,0.01,89656618,0.01,16931,0.01,12380313,0.01,930318,0.01,28586,0.01,40118,0.01,102036931,0.01
AL,2013,education - other,2885,0,11100470,0,149,0,133027,0,5899,0,2918,0,3034,0,11233497,0
AL,2013,libraries,893,1.01,2748344,0.78,683,0.92,736997,0.66,66266,0.87,1277,0.94,1576,0.7,3485341,0.63
AL,2013,liquor stores,715,0,1829852,0,13,0,22176,0,1348,0,723,0,728,0,1852028,0
AL,2013,other and unallocable,6399,0.72,23415725,0.62,1205,0.3,1308800,0.34,127168,0.33,7135,0.71,7604,0.61,24724525,0.59
AK,2013,total,50382,0.13,269319452,0.12,13355,0.4,16291270,0.36,857870,0.36,55308,0.15,63737,0.13,285610722,0.12
AK,2013,financial administration,1983,0.2,11471421,0.12,116,2.75,186689,3.24,9340,3.86,2032,0.32,2099,0.24,11658110,0.13
AK,2013,other government administration,1726,0.26,9247763,0.22,696,2.37,545382,1.88,24899,1.62,1839,0.27,2422,0.71,9793145,0.23
AK,2013,judicial and legal,1576,0.01,9823404,0.01,57,0.01,155548,0.01,4578,0.01,1604,0.01,1633,0.01,9978952,0.01
AK,2013,police protection total,1812,0.11,11980370,0.09,123,0.13,131734,0.18,8203,0.23,1864,0.11,1935,0.11,12112104,0.09
AK,2013,police protection - officers,1106,0.18,8514116,0.13,54,0.01,51498,0.01,3508,0.01,1127,0.18,1160,0.17,8565614,0.13
AK,2013,police protection - other,706,0.04,3466254,0.03,69,0.23,80236,0.3,4695,0.4,737,0.06,775,0.04,3546490,0.03
AK,2013,fire protection total,762,0.01,5842471,0.01,501,0.09,219827,0.18,15272,0.18,850,0.01,1263,0.03,6062298,0.01
AK,2013,fire protection - firefighters,663,0.01,5197620,0.01,492,0.08,203937,0.18,14320,0.18,745,0.01,1155,0.04,5401557,0.01
AK,2013,fire protection - other,99,0.01,644851,0.01,9,1.03,15890,0.81,952,0.96,105,0.09,108,0.09,660741,0.02
AK,2013,corrections,2130,0.01,11791602,0.01,73,0.01,162409,0.01,7363,0.01,2175,0.01,2203,0.01,11954011,0.01
