state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,15788784,0.13,55914918890,0.11,14002198,0.13,4757494,0.38,51339082185,0.12,4575836705,0.33,307723554,0.41,2004
US,financial administration,388507,0.41,1375676187,0.33,365099,0.39,62874,2.6,1312621972,0.32,63054215,2.73,4167284,2.31,2004
US,other government administration,276094,0.86,1014741761,0.77,240505,0.92,221093,2.16,899950831,0.79,114790930,2.26,6423924,2.26,2004
US,judicial and legal,409944,0.28,1657662519,0.19,390972,0.27,45366,2.35,1596458966,0.19,61203553,1.57,3313287,1.8,2004
US,police protection - officers,663986,0.43,3054554312,0.4,648629,0.43,40283,4.2,3013117646,0.4,41436666,3.23,2617571,4.71,2004
US,police protection - other,228440,0.52,741957717,0.33,204625,0.42,66348,2.33,689431821,0.33,52525896,1.99,4174468,3.25,2004
US,fire protection - firefighters,293314,0.65,1383332734,0.46,277718,0.51,117330,5.94,1353460152,0.44,29872582,6.33,2764000,6.68,2004
US,fire protection - other,25734,1.44,101209898,1.17,23487,1.27,12248,9.16,95183744,1.1,6026154,7.6,402334,8.22,2004
US,corrections,701905,0.13,2405275275,0.09,687531,0.13,26482,1.19,2364923732,0.09,40351543,0.71,2501134,1.11,2004
US,highways,542642,0.41,1827948418,0.39,526420,0.41,37840,3.28,1786800582,0.4,41147836,2.22,2881840,2.84,2004
US,air transportation,44096,0.74,177842729,0.59,42456,0.77,3462,3.52,174152640,0.6,3690089,1.46,292829,2.63,2004
US,water transport and terminals,11819,0.17,53212384,0.1,11431,0.07,1291,4.6,52088481,0.07,1123903,1.93,70811,3.56,2004
US,public welfare,498092,0.3,1596847637,0.28,470272,0.3,52750,1.3,1524243588,0.28,72604049,1.04,4782574,1.08,2004
US,health,424158,0.42,1476925076,0.35,391669,0.4,72998,2.57,1379397734,0.34,97527342,1.02,5598904,1.41,2004
US,hospitals,912496,0.04,3196089933,0.04,807808,0.04,179653,0.18,2849662199,0.03,346427734,0.17,18129034,0.18,2004
US,social insurance administration,89557,0,314893720,0,83362,0,9393,0,297920543,0,16973177,0,1076224,0,2004
US,solid waste management,108882,1.07,352925559,0.69,101577,1.02,16071,5.54,339397771,0.68,13527788,4.5,1288209,5.16,2004
US,sewerage,126136,1.02,470594096,0.9,122285,0.96,13441,8.32,460976146,0.86,9617950,7.79,660429,7.79,2004
US,parks and recreation,262815,0.88,729356513,0.71,188867,0.62,195389,2.24,591020297,0.68,138336216,1.27,12840070,1.84,2004
US,housing and community development,114281,0.48,408909584,0.66,108373,0.46,11953,3.52,395959625,0.66,12949959,3.31,975971,3.63,2004
US,natural resources,186006,0.4,638875040,0.28,166572,0.42,41709,1.84,592735929,0.29,46139111,1.08,3340607,1.31,2004
US,water transport and terminals,162251,0.95,588381801,0.86,156884,0.94,18489,6.18,575318361,0.87,13063440,6.02,962108,6.4,2004
US,electric power,78776,0.63,391561342,0.4,77237,0.64,3178,6.09,385550832,0.39,6010510,2.77,278929,3.88,2004
US,gas supply,10781,0.85,36920241,0.41,10658,0.86,427,13.82,36497243,0.39,422998,7.21,23629,4.6,2004
US,transit,231897,0.09,996643097,0.07,220909,0.1,17118,1.09,969430086,0.08,27213011,0.33,1887526,0.45,2004
US,education - elementary and secondary instructional,4487240,0.31,16864616365,0.29,4118520,0.32,964699,0.98,15863895652,0.3,1000720713,0.91,62745034,1.1,2004
US,education - elementary and secondary other,1986185,0.46,4591571296,0.51,1627516,0.57,829903,1.01,3845529635,0.61,746041661,1.16,60676235,1.27,2004
US,education - higher education instructional,629743,0,3318132079,0,444331,0,561172,0,2585263218,0,732868861,0,32151407,0,2004
US,education - higher education other,1219254,0,3773189390,0,890240,0,934626,0,3111306118,0,661883272,0,57156034,0,2004
US,education - other,89557,0,322678543,0,84546,0,10912,0,307351148,0,15327395,0,874637,0,2004
US,libraries,126201,0.79,346658993,0.66,86608,0.88,95432,1.37,267925896,0.71,78733097,1.34,6791823,1.42,2004
US,liquor stores,7215,0,19011566,0,5643,0,3398,0,16241380,0,2770186,0,272036,0,2004
US,other and unallocable,450780,0.5,1686723085,0.46,419448,0.5,90166,3.31,1605268217,0.46,81454868,1.93,5602652,2.04,2004
AL,total,270632,0.55,785120347,0.5,245037,0.58,62565,2.29,727439970,0.54,57680377,1.04,4354572,1.26,2004
AL,financial administration,6489,1.04,19449640,0.53,6277,0.7,408,14.44,19134347,0.51,315293,11.47,30081,10.32,2004
AL,other government administration,3168,5.16,9588757,4.68,2702,5.17,3795,16.35,8199212,4.82,1389545,17.29,76976,19.12,2004
AL,judicial and legal,4627,1.63,16853809,0.7,4413,0.6,749,16.89,16138163,0.46,715646,11.3,37084,24.99,2004
AL,police protection - officers,9674,2.03,31585992,0.94,9407,1.75,607,13.72,31217247,0.95,368745,16.97,36350,18.3,2004
AL,police protection - other,3032,3.56,7472329,2.39,2770,4.57,718,13.92,7036268,2.86,436061,12.03,47385,16,2004
AL,fire protection - firefighters,4610,3.27,16710159,1.78,4351,3.09,1707,36.66,16292465,2.13,417694,50.05,45339,51.2,2004
AL,fire protection - other,183,0,550290,0.39,179,0,5,0,544871,0.39,5419,0,559,0,2004
