state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,14901347,0.06,64355543591,0.06,4787731,0.06,5460699375,0.07,312214109,0.07,16714901,0.06,19689078,0.05,69816242966,0.06,0,0,2009
US,financial administration,381215,0.1,1643415573,0.09,49101,0.22,56237405,0.23,3340586,0.16,399871,0.1,430316,0.09,1699652978,0.08,0,0,2009
US,other government administration,251307,0.13,1105181631,0.12,158971,0.19,103931878,0.19,5309979,0.2,280935,0.13,410278,0.11,1209113509,0.11,0,0,2009
US,judicial and legal,409698,0.09,1962446324,0.06,42787,0.25,67897954,0.15,3112232,0.19,428097,0.1,452485,0.08,2030344278,0.06,0,0,2009
US,police protection total,917779,0.13,4706206464,0.12,99309,0.24,94231967,0.22,6345828,0.26,954352,0.13,1017088,0.12,4800438431,0.12,0,0,2009
US,police protection - officers,700593,0.13,3867001125,0.12,32618,0.24,32347689,0.23,2003617,0.3,712111,0.13,733211,0.12,3899348814,0.12,0,0,2009
US,police protection - other,217186,0.13,839205339,0.12,66691,0.23,61884278,0.22,4342211,0.24,242241,0.14,283877,0.11,901089617,0.11,0,0,2009
US,fire protection total,329182,0.23,1879412697,0.24,83714,0.45,37222046,0.81,2719045,0.83,344722,0.26,412896,0.21,1916634743,0.24,0,0,2009
US,fire protection - firefighters,303489,0.22,1759366596,0.24,77693,0.42,31733411,0.77,2409499,0.81,317242,0.24,381182,0.2,1791100007,0.23,0,0,2009
US,fire protection - other,25693,0.35,120046101,0.36,6021,0.77,5488635,1.02,309546,0.99,27480,0.46,31714,0.32,125534736,0.34,0,0,2009
US,corrections,739733,0.08,3016929782,0.06,24922,0.24,47023456,0.15,2295381,0.24,752910,0.09,764655,0.08,3063953238,0.06,0,0,2009
US,highways,522903,0.12,2131438826,0.1,33039,0.11,51066983,0.1,2809563,0.15,539047,0.12,555942,0.11,2182505809,0.1,0,0,2009
US,air transportation,46227,0.29,222474438,0.22,3098,0.45,4282094,0.43,277705,0.46,47812,0.3,49325,0.28,226756532,0.21,0,0,2009
US,water transport and terminals,12858,0.23,67771846,0.24,1075,0.23,1199312,0.25,70109,0.34,13265,0.23,13933,0.22,68971158,0.23,0,0,2009
US,public welfare,493651,0.15,1852343468,0.12,52512,0.4,79947307,0.36,4808161,0.45,521386,0.17,546163,0.14,1932290775,0.11,0,0,2009
US,health,405576,0.17,1686238811,0.13,68826,0.37,116888143,0.25,5691725,0.38,438544,0.19,474402,0.16,1803126954,0.12,0,0,2009
US,hospitals,886067,0.12,3995470532,0.11,206501,0.29,490024177,0.26,19847048,0.33,1000210,0.13,1092568,0.11,4485494709,0.1,0,0,2009
US,social insurance administration,76832,0.01,315823575,0.01,7793,0.01,16982449,0.01,879955,0.01,81931,0.01,84625,0,332806024,0,0,0,2009
US,solid waste management,104094,0.25,405008549,0.19,14468,0.48,14724848,0.41,1201132,0.53,110940,0.26,118562,0.22,419733397,0.19,0,0,2009
US,sewerage,125916,0.21,557594643,0.21,6862,0.3,6857932,0.23,387477,0.22,128061,0.22,132778,0.2,564452575,0.21,0,0,2009
US,parks and recreation,190560,0.17,710576350,0.19,217295,0.34,170571693,0.32,13573624,0.34,268180,0.23,407855,0.2,881148043,0.16,0,0,2009
US,housing and community development,105284,0.37,444890894,0.35,11303,0.57,13168908,0.83,855578,0.62,110274,0.38,116587,0.34,458059802,0.34,0,0,2009
US,natural resources,166169,0.07,697423785,0.08,37217,0.06,50160293,0.03,3186884,0.04,184316,0.07,203386,0.06,747584078,0.07,0,0,2009
US,water transport and terminals,168623,0.23,749946099,0.24,12050,0.24,11413418,0.26,733119,0.27,172596,0.23,180673,0.21,761359517,0.23,0,0,2009
US,electric power,77881,0.35,481307886,0.35,2463,0.48,4974754,0.46,231537,0.39,79204,0.35,80344,0.34,486282640,0.35,0,0,2009
US,gas supply,11642,0.38,47397697,0.35,313,0.21,346864,0.28,28279,0.25,11802,0.38,11955,0.37,47744561,0.35,0,0,2009
US,transit,229128,0.18,1184674430,0.13,18683,0.72,32231016,0.55,2000233,0.74,240572,0.19,247811,0.17,1216905446,0.12,0,0,2009
US,education total,7724260,0.17,32258718411,0.15,3448463,0.15,3803509391,0.16,219523654,0.17,9005259,0.16,11172723,0.12,36062227802,0.14,0,0,2009
US,education - elementary and secondary total,6160976,0.19,24442704461,0.18,1821022,0.21,2002346086,0.22,124534975,0.23,6897211,0.19,7981998,0.16,26445050547,0.17,0,0,2009
US,education - elementary and secondary instructional,4401330,0.19,19675206051,0.18,1007756,0.19,1178593214,0.21,66483012,0.22,4793633,0.19,5409086,0.16,20853799265,0.17,0,0,2009
US,education - elementary and secondary other,1759646,0.2,4767498410,0.18,813266,0.22,823752872,0.24,58051963,0.24,2103578,0.19,2572912,0.15,5591251282,0.16,0,0,2009
US,education - higher education total,1481681,0.05,7457506512,0.05,1613493,0.08,1779186758,0.09,93942991,0.09,2020484,0.06,3095174,0.05,9236693270,0.05,0,0,2009
US,education - higher education instructional,490418,0.06,3372753128,0.05,610209,0.13,946270603,0.12,33928126,0.12,684785,0.07,1100627,0.08,4319023731,0.05,0,0,2009
US,education - higher education other,991263,0.05,4084753384,0.05,1003284,0.06,832916155,0.06,60014865,0.07,1335699,0.05,1994547,0.04,4917669539,0.04,0,0,2009
US,education - other,81603,0.01,358507438,0.01,13948,0.01,21976547,0.01,1045688,0.01,87564,0.01,95551,0,380483985,0,0,0,2009
US,libraries,94393,0.29,341724153,0.31,100453,0.38,91577524,0.42,7108458,0.43,136467,0.32,194846,0.24,433301677,0.26,0,0,2009
US,liquor stores,6492,0.01,21184545,0.01,5345,0.01,7341106,0.01,534806,0.01,9617,0.01,11837,0,28525651,0,0,0,2009
US,other and unallocable,423877,0.12,1869942182,0.09,81168,0.23,86886457,0.18,5342011,0.24,454531,0.13,505045,0.11,1956828639,0.09,0,0,2009
AL,total,268310,0.44,927964425,0.43,54820,0.42,55518498,0.24,3571286,0.38,288981,0.42,323130,0.37,983482923,0.4,0,0,2009
AL,financial administration,6676,1.74,25026407,1.2,203,0.44,245382,0.43,17965,0.5,6778,1.74,6879,1.69,25271789,1.19,0,0,2009
AL,other government administration,2973,1.71,10747416,1.31,1547,2.55,1569483,2.66,56287,2.02,3295,1.82,4520,1.42,12316899,1.19,0,0,2009
AL,judicial and legal,4406,0.26,15402529,0.23,499,1.4,602874,1.38,30210,1.63,4578,0.32,4905,0.27,16005403,0.23,0,0,2009
AL,police protection total,13468,1.56,48064676,1.31,1271,1.45,1051844,1.3,88323,1.33,14002,1.52,14739,1.43,49116520,1.28,0,0,2009
AL,police protection - officers,10457,1.58,39675821,1.33,560,1.98,422203,1.59,30063,1.8,10659,1.54,11017,1.5,40098024,1.31,0,0,2009
AL,police protection - other,3011,1.48,8388855,1.22,711,1.03,629641,1.11,58260,1.08,3343,1.45,3722,1.22,9018496,1.13,0,0,2009
AL,fire protection total,5614,1.9,22147796,1.59,655,5.71,344043,2.84,30972,1.71,5794,1.83,6269,1.8,22491839,1.56,0,0,2009
AL,fire protection - firefighters,5381,1.82,21348156,1.55,644,5.8,331016,2.94,29966,1.73,5555,1.75,6025,1.74,21679172,1.52,0,0,2009
AL,fire protection - other,233,3.72,799640,2.6,11,0.85,13027,0.4,1006,0.99,239,3.62,244,3.56,812667,2.56,0,0,2009
