state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,14490645,0.13,41453514783,0.12,12839450,0.14,4249744,0.59,38242580332,0.12,3210934451,0.48,286690010,0.51,1998
US,financial administration,363049,0.2,1019129831,0.18,344227,0.19,53288,1.7,979030833,0.18,40098998,1.2,3459471,1.23,1998
US,other government administration,254745,0.49,737738056,0.37,227815,0.45,166979,1.85,666977731,0.36,70760325,1.81,4963803,1.93,1998
US,judicial and legal,356671,0.17,1145903143,0.11,340364,0.17,38674,1.29,1104898407,0.11,41004736,1.09,2904512,1.07,1998
US,police protection - officers,616363,0.18,2278571413,0.17,606064,0.18,31503,2.24,2259075110,0.17,19496303,2.27,1851316,3.01,1998
US,police protection - other,201578,0.31,508937158,0.24,178074,0.29,60488,1.15,471091635,0.23,37845523,1.46,4114108,1.49,1998
US,fire protection - firefighters,261228,0.31,991370992,0.37,249182,0.23,87501,4.35,972392869,0.37,18978123,4.84,2200867,4.18,1998
US,fire protection - other,20694,0.78,63639395,0.71,19204,0.78,6738,7.22,60718216,0.72,2921179,4.02,298828,4.27,1998
US,corrections,662654,0.08,1864316847,0.05,647646,0.08,45247,0.42,1831770783,0.05,32546064,0.4,2624071,0.61,1998
US,streets and highways,530097,0.25,1463475480,0.21,513964,0.24,36019,8.3,1431120817,0.21,32354663,1.72,2870629,2.04,1998
US,air transportation,37777,0.17,119297831,0.09,36337,0.13,2987,1.52,116731167,0.08,2566664,2.02,254580,2.25,1998
US,water transport and terminals,12731,0.79,42483802,0.67,12190,0.54,1123,7.65,41343057,0.6,1140745,12.18,96223,6.56,1998
US,public welfare,477515,0.24,1214112491,0.18,450466,0.24,50115,1.57,1162605363,0.18,51507128,1.12,4680599,1.54,1998
US,health,386585,0.3,1069145407,0.21,354620,0.3,68876,1.64,994375832,0.22,74769575,0.62,5716539,0.94,1998
US,hospitals,941280,0.37,2570514513,0.28,836168,0.36,176951,0.55,2303425254,0.31,267089259,0.53,18391072,0.79,1998
US,social insurance administration,90081,0,262449344,0,84616,0,8019,0,249436915,0,13012429,0,950723,0,1998
US,solid waste management,108842,0.49,281856564,0.36,103218,0.51,12287,2.05,273292225,0.36,8564339,1.65,1006636,1.85,1998
US,sewerage,124415,0.39,370843877,0.61,121650,0.37,9547,4.33,365231626,0.61,5612251,2.8,529951,3.77,1998
US,parks and recreation,236903,0.38,523461172,0.38,173907,0.53,171288,1.02,428842183,0.37,94618989,1.25,11083244,1.08,1998
US,housing and community development,113253,0.58,308909759,0.59,106990,0.54,12585,2.45,297616987,0.6,11292772,2.39,1069938,2.46,1998
US,natural resources,182191,0.75,505956942,0.49,160353,0.79,44527,0.76,466404394,0.53,39552548,0.42,3857597,0.47,1998
US,water transport and terminals,156284,0.46,459103898,0.58,151924,0.44,15243,2.87,450382123,0.59,8721775,2.88,812051,3.45,1998
US,electric power,77222,0.4,304062973,0.24,75662,0.37,2846,5.17,300302026,0.24,3760947,2.57,276257,4.33,1998
US,gas supply,10020,0.97,27777585,0.86,9889,0.97,351,28.65,27494890,0.86,282695,8.47,26904,15.56,1998
US,transit,191887,0.07,677380380,0.05,182697,0.05,15901,0.88,658618765,0.03,18761615,1.28,1605760,0.96,1998
US,education - elementary and secondary instructional,4010313,0.15,12366605134,0.13,3696320,0.16,791447,0.74,11753349323,0.13,613255811,0.73,53839822,0.78,1998
US,education - elementary and secondary total,1719129,0.23,3281246693,0.29,1359690,0.27,805017,0.66,2730444139,0.32,550802554,0.67,60976835,0.62,1998
US,education - higher education instructional,590306,0.03,2531048462,0.01,419963,0,471715,0.06,1999371400,0,531677062,0.03,29662942,0.09,1998
US,education - higher education other,1078423,0,2566834480,0,776848,0,848082,0.01,2088631557,0,478202923,0.01,52679478,0,1998
US,education - other,95716,0,284657166,0,88601,0,18041,0,267754422,0,16902744,0,1239372,0,1998
US,libraries,111964,0.38,243013556,0.28,78259,0.36,81559,0.59,190619047,0.26,52394509,0.89,5868341,0.82,1998
US,liquor stores,7035,0,16481079,0,5779,0,2931,0,14525086,0,1955993,0,217417,0,1998
