state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,total,13442930,0.12,34539709544,0.13,12022718,0.12,3801671,0.4,31909057894,0.14,2630651650,0.29,244711013,0.36,1993
US,financial administration,333288,0.37,801310165,0.3,320041,0.36,39880,3.13,777402221,0.3,23907944,2.08,2310412,2.13,1993
US,other government administration,227344,0.69,577572815,0.51,206497,0.7,133923,3.11,525819251,0.49,51753564,2.2,3618901,2.4,1993
US,judicial and legal,307477,0.36,872891276,0.27,294011,0.35,31665,2.17,842925384,0.27,29965892,1.55,2326054,1.47,1993
US,police protection - officers,542534,0.43,1763970927,0.42,533816,0.41,27234,4.27,1750206512,0.42,13764415,3.86,1486745,4.69,1993
US,police protection - other,179878,0.58,379076251,0.42,158653,0.59,56266,1.56,349562474,0.42,29513777,1.39,3682704,1.68,1993
US,fire protection - firefighters,238250,0.64,799881646,0.49,229383,0.48,76859,7.32,786772887,0.48,13108759,6.66,1571186,7.1,1993
US,fire protection - other,18147,2.1,48385202,1.52,16664,1.88,6652,23.51,46041652,1.33,2343550,15.08,270203,15.66,1993
US,corrections,550061,0.27,1369453407,0.24,538846,0.27,21968,1.2,1342106031,0.24,27347376,0.63,1963783,1.22,1993
US,streets and highways,541039,0.43,1279315132,0.35,523884,0.44,32336,2.79,1251529284,0.35,27785848,1.51,3021649,1.91,1993
US,air transportation,36795,0.24,100747801,0.16,35628,0.23,2108,1.61,99102312,0.15,1645489,1.21,193993,1.7,1993
US,water transport and terminals,12283,1.39,36514860,1.25,11774,1.19,1021,9.65,35352655,1.09,1162205,12.01,90911,7.89,1993
US,public welfare,483599,0.54,1054363023,0.43,457489,0.49,49625,1.93,1011953171,0.38,42409852,1.76,4502995,2.09,1993
US,health,352038,0.51,862610910,0.33,324454,0.47,58801,2.64,805784203,0.32,56826707,0.87,4877233,1.16,1993
US,hospitals,1039418,0.38,2549192184,0.34,932991,0.38,191172,0.88,2287668751,0.35,261523433,0.77,18616289,0.91,1993
US,social insurance administration,108182,0,270738865,0,100636,0,12260,0,253667228,0,17071637,0,1318434,0,1993
US,solid waste management,109497,0.87,249312452,0.8,104429,0.89,11798,3.91,242584821,0.81,6727631,2.62,887181,3.03,1993
US,sewerage,118874,0.84,306784673,0.9,116270,0.83,6994,7.07,302766046,0.92,4018627,6.03,488882,7.12,1993
US,parks and recreation,232990,0.65,455481013,0.53,171816,0.57,163048,2.16,371828043,0.53,83652970,1.35,10721950,1.74,1993
US,housing and community development,102564,1.61,243954402,1.33,97683,1.52,11284,6.48,236014934,1.31,7939468,4.52,865651,4.73,1993
US,natural resources,180124,0.25,436519497,0.19,161538,0.24,41786,2.63,402072146,0.18,34447351,0.51,3355826,0.82,1993
US,water transport and terminals,146690,0.84,373024930,0.77,142389,0.83,15445,8.37,366347187,0.77,6677743,3.86,774691,4.56,1993
US,electric power,82140,1.16,279369170,0.6,80542,1.15,3207,7.7,275910064,0.6,3459106,2.43,281999,4.32,1993
US,gas supply,10183,1.31,25651274,0.97,10048,1.32,336,14.91,25441986,0.98,209288,4.4,24370,5.1,1993
US,transit,192847,0.17,607957888,0.1,184437,0.1,13225,2.55,590092095,0.08,17865793,1.37,1480812,2.66,1993
US,education - elementary and secondary instructional,3494485,0.32,10008730968,0.4,3261094,0.32,629541,1.03,9577787565,0.4,430943403,1.2,39275114,1.46,1993
US,education - elementary and secondary other,1552160,0.38,2694372110,0.44,1250709,0.43,693052,0.86,2247769623,0.46,446602487,1,50850025,1.03,1993
US,education - higher education instructional,550529,0.02,2166165790,0.02,403714,0.02,445941,0.03,1713215578,0.01,452950212,0.02,25526088,0.01,1993
US,education - higher education other,1017706,0.02,2246401166,0.02,736747,0.02,824085,0.02,1812686098,0.02,433715068,0.01,48960436,0.01,1993
US,education - other,99287,0,254638720,0,93469,0,20459,0,242992517,0,11646203,0,1010445,0,1993
