state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,14681997,0,59170994989,0,4703972,0,4985494704,0,306237379,0,16453570,0,19385969,0,64156489693,0,83.65,84.39,2007
US,financial administration,378864,0,1525964141,0,52796,0,54351905,0,3402638,0,397400,0,431660,0,1580316046,0,88.4,88.77,2007
US,other government administration,249285,0,1029795527,0,174610,0,100964176,0,5550368,0,279714,0,423895,0,1130759703,0,80.97,83.68,2007
US,judicial and legal,406021,0,1835378214,0,42222,0,62266979,0,3091594,0,423428,0,448243,0,1897645193,0,88.59,89.77,2007
US,police protection total,893078,0,4297178063,0,104124,0,107015279,0,6976560,0,933189,0,997202,0,4404193342,0,82.03,82.15,2007
US,police protection - officers,677357,0,3504445398,0,37798,0,45725384,0,2527490,0,692032,0,715155,0,3550170782,0,82.28,82.38,2007
US,police protection - other,215721,0,792732665,0,66326,0,61289895,0,4449070,0,241157,0,282047,0,854022560,0,81.84,81.37,2007
US,fire protection total,319361,0,1709193259,0,98017,0,39450778,0,3098657,0,336693,0,417378,0,1748644037,0,80.5,79.57,2007
US,fire protection - firefighters,294292,0,1596060588,0,88824,0,33059648,0,2703790,0,309463,0,383116,0,1629120236,0,80.61,79.83,2007
US,fire protection - other,25069,0,113132671,0,9193,0,6391130,0,394867,0,27230,0,34262,0,119523801,0,78.33,77.89,2007
US,corrections,717354,0,2767474853,0,25368,0,42564596,0,2328267,0,730659,0,742722,0,2810039449,0,93.01,93.32,2007
US,highways,522823,0,2009492254,0,34703,0,44905976,0,2700744,0,537901,0,557526,0,2054398230,0,88.6,89.06,2007
US,air transportation,45700,0,207211464,0,3842,0,4720255,0,320703,0,47497,0,49542,0,211931719,0,82.19,82.26,2007
US,water transport and terminals,12281,0,59109601,0,1088,0,1139150,0,76530,0,12711,0,13369,0,60248751,0,92.75,93.31,2007
US,public welfare,491577,0,1728442787,0,51197,0,72135461,0,4728080,0,518798,0,542774,0,1800578248,0,88.27,88.9,2007
US,health,401899,0,1551102664,0,70930,0,110165136,0,5725444,0,434760,0,472829,0,1661267800,0,88.95,89.57,2007
US,hospitals,876009,0,3538517840,0,202130,0,446003947,0,19882907,0,989371,0,1078139,0,3984521787,0,91.22,88.99,2007
US,social insurance administration,75800,0,300645520,0,5789,0,11885552,0,667074,0,79627,0,81589,0,312531072,0,100,100,2007
US,solid waste management,104299,0,369727739,0,14222,0,12824382,0,1177750,0,110889,0,118521,0,382552121,0,82.52,81.07,2007
US,sewerage,125784,0,518197732,0,9282,0,7851829,0,484116,0,128332,0,135066,0,526049561,0,82.82,81.64,2007
US,parks and recreation,192926,0,662641743,0,214658,0,161064994,0,13828132,0,271759,0,407584,0,823706737,0,81.44,83.78,2007
US,housing and community development,108220,0,411219846,0,12376,0,13329639,0,924185,0,113466,0,120596,0,424549485,0,90.76,89.32,2007
US,natural resources,165916,0,656496895,0,37849,0,46244061,0,3178589,0,183936,0,203765,0,702740956,0,97.78,98.17,2007
US,water transport and terminals,162396,0,662952469,0,15310,0,12631155,0,844224,0,166854,0,177706,0,675583624,0,85.47,86.24,2007
US,electric power,76813,0,421515057,0,2884,0,4910597,0,254587,0,78252,0,79697,0,426425654,0,90.91,89.84,2007
US,gas supply,12218,0,46209932,0,354,0,460497,0,22820,0,12343,0,12572,0,46670429,0,91,66.28,2007
US,transit,225962,0,1058280488,0,18399,0,30042143,0,1986148,0,237359,0,244361,0,1088322631,0,90.45,89.11,2007
US,education total,7586889,0,29662803611,0,3327467,0,3428814539,0,212658706,0,8827967,0,10914356,0,33091618150,0,81.8,81.33,2007
US,education - elementary and secondary total,6077218,0,22621944395,0,1798155,0,1871981072,0,124788553,0,6814396,0,7875373,0,24493925467,0,77.34,77.49,2007
US,education - elementary and secondary instructional,4337467,0,18136477615,0,972685,0,1081632228,0,64780689,0,4719023,0,5310152,0,19218109843,0,77.34,77.49,2007
US,education - elementary and secondary other,1739751,0,4485466780,0,825470,0,790348844,0,60007864,0,2095373,0,2565221,0,5275815624,0,73.88,74.85,2007
US,education - higher education total,1424675,0,6693515180,0,1514971,0,1534983436,0,86739608,0,1922144,0,2939646,0,8228498616,0,97.45,98.16,2007
US,education - higher education instructional,471709,0,3000400290,0,573321,0,820441511,0,31853157,0,654726,0,1045030,0,3820841801,0,94.64,96.74,2007
US,education - higher education other,952966,0,3693114890,0,941650,0,714541925,0,54886451,0,1267418,0,1894616,0,4407656815,0,97.45,98.16,2007
US,education - other,84996,0,347344036,0,14341,0,21850031,0,1130545,0,91427,0,99337,0,369194067,0,100,100,2007
US,libraries,91727,0,307247414,0,96893,0,85038707,0,6898998,0,131238,0,188620,0,392286121,0,82.24,84.4,2007
US,liquor stores,6328,0,19491269,0,2838,0,2811177,0,260435,0,7813,0,9166,0,22302446,0,100,100,2007
US,other and unallocable,432467,0,1814704607,0,84624,0,81901794,0,5169123,0,461614,0,517091,0,1896606401,0,89.79,91.18,2007
AL,total,264061,0,857096994,0,56439,0,51923925,0,3596673,0,284680,0,320500,0,909020919,0,90.58,91.29,2007
AL,financial administration,6454,0,21690137,0,282,0,271112,0,24519,0,6584,0,6736,0,21961249,0,91.14,92.19,2007
AL,other government administration,2687,0,9108939,0,2421,0,1231574,0,65035,0,3040,0,5108,0,10340513,0,82.88,88.58,2007
AL,judicial and legal,4976,0,19434242,0,525,0,541979,0,26529,0,5118,0,5501,0,19976221,0,94.77,96.63,2007
AL,police protection total,13110,0,45720793,0,1136,0,843048,0,81431,0,13556,0,14246,0,46563841,0,84.68,86.43,2007
AL,police protection - officers,10190,0,37646367,0,447,0,364800,0,31866,0,10361,0,10637,0,38011167,0,84.41,86.31,2007
AL,police protection - other,2920,0,8074426,0,689,0,478248,0,49565,0,3195,0,3609,0,8552674,0,84.96,86.93,2007
AL,fire protection total,5433,0,20210815,0,679,0,309092,0,29680,0,5602,0,6112,0,20519907,0,79.75,81.35,2007
AL,fire protection - firefighters,5209,0,19441046,0,639,0,292081,0,28285,0,5371,0,5848,0,19733127,0,79.92,81.6,2007
AL,fire protection - other,224,0,769769,0,40,0,17011,0,1395,0,231,0,264,0,786780,0,75.78,75.24,2007
AL,corrections,8044,0,23013553,0,219,0,234193,0,22767,0,8175,0,8263,0,23247746,0,94.39,96.3,2007
AL,highways,11471,0,32825948,0,337,0,300946,0,31182,0,11649,0,11808,0,33126894,0,92.38,92.43,2007
AL,air transportation,424,0,1161711,0,56,0,42053,0,4147,0,447,0,480,0,1203764,0,74.68,53.28,2007
AL,water transport and terminals,623,0,2460350,0,1,0,1500,0,60,0,623,0,624,0,2461850,0,100,100,2007
AL,public welfare,5605,0,15413827,0,445,0,363490,0,37249,0,5822,0,6050,0,15777317,0,97.14,98.56,2007
