state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,14857827,0.14,62500069718,0.13,4834978,0.4,5296309941,0.52,311979568,0.49,16668184,0.14,19692805,0.15,67796379659,0.13,85.07,89.03,2008
US,financial administration,387627,0.41,1627311028,0.32,64165,3.35,60733276,3.03,3824295,2.88,408835,0.43,451792,0.59,1688044304,0.32,88.96,90.86,2008
US,other government administration,257705,0.93,1094974223,0.66,202558,2.62,114740760,2.61,6374874,2.86,293067,0.91,460263,1.27,1209714983,0.63,82.23,87.77,2008
US,judicial and legal,410711,0.23,1909753336,0.16,45695,2.22,68433348,1.53,3261723,1.75,429218,0.24,456406,0.3,1978186684,0.16,88.21,91.11,2008
US,police protection total,912592,0.27,4590940259,0.22,106654,2.08,108522140,1.74,6894631,1.88,952150,0.27,1019246,0.32,4699462399,0.22,87.02,87.17,2008
US,police protection - officers,692887,0.28,3751364908,0.24,41220,4.53,47720842,3.31,2582728,4.09,707772,0.29,734107,0.37,3799085750,0.24,87.53,87.13,2008
US,police protection - other,219705,0.4,839575351,0.31,65434,1.83,60801298,1.61,4311903,1.66,244378,0.4,285139,0.52,900376649,0.32,85.62,87.47,2008
US,fire protection total,329413,0.79,1846813949,0.7,119642,5.97,47822596,4.06,3560689,4.75,349599,0.8,449055,1.69,1894636545,0.68,83.4,83.64,2008
US,fire protection - firefighters,305514,0.65,1736044492,0.59,109660,6.4,41181928,4.59,3156976,5.27,323390,0.69,415174,1.76,1777226420,0.58,82.61,83.53,2008
US,fire protection - other,23899,7.08,110769457,7.04,9982,8.26,6640668,6.04,403713,6.17,26209,6.49,33881,5.56,117410125,6.73,82.53,85.36,2008
US,corrections,733904,0.21,2938819568,0.14,25555,1.52,45173855,0.93,2391368,1.63,747590,0.21,759459,0.21,2983993423,0.14,93.68,94.69,2008
US,highways,523156,0.4,2105206212,0.49,38680,3.47,49918597,2.67,2916820,3.26,539677,0.4,561836,0.44,2155124809,0.48,90.11,91.33,2008
US,air transportation,45676,0.18,219233232,0.09,3799,2.95,5029556,2.95,333619,2.97,47594,0.2,49475,0.28,224262788,0.1,81.29,84.28,2008
US,water transport and terminals,12902,0.11,65879882,0.1,1465,18.48,1485246,4.08,80210,3.75,13338,0.21,14367,1.89,67365128,0.12,91.31,94.04,2008
US,public welfare,496240,0.23,1817209578,0.2,49940,1.27,74630937,1.1,4620375,1.12,522990,0.23,546180,0.24,1891840515,0.21,89.27,92.16,2008
US,health,414125,0.22,1676679694,0.19,69572,2.13,109936497,1.18,5564201,1.75,446083,0.24,483697,0.36,1786616191,0.19,87.98,90.97,2008
US,hospitals,883122,0.06,3809853097,0.06,200664,0.19,467596513,0.16,19935957,0.24,998221,0.06,1083786,0.06,4277449610,0.06,92.8,94.37,2008
US,social insurance administration,75945,0,310746647,0,5321,0,11540724,0,620203,0,79518,0,81266,0,322287371,0,100,100,2008
US,solid waste management,107367,1.07,397696604,0.96,15794,3.99,14199503,3.92,1238313,3.9,114156,1.04,123161,1.07,411896107,0.95,83.54,84.3,2008
US,sewerage,122872,0.8,531324912,0.69,12985,9.31,11281856,11.17,686182,10.78,126599,0.85,135857,1.15,542606768,0.72,84.31,85.9,2008
US,parks and recreation,194757,0.52,708877279,0.59,213313,1.22,162684995,1.2,13523519,1.42,271803,0.55,408070,0.68,871562274,0.53,83.15,89.07,2008
US,housing and community development,108340,1.94,449265538,2.72,11538,3.63,13386922,2.98,864718,3.28,113193,1.86,119878,1.79,462652460,2.64,89.54,89.25,2008
US,natural resources,169081,0.34,698226997,0.27,40321,2.69,49400129,1.36,3256560,1.46,187779,0.36,209402,0.59,747627126,0.26,96.68,97.78,2008
US,water transport and terminals,166239,0.91,714407987,0.76,19498,6.1,15524191,5.93,1035122,5.94,171940,0.92,185737,1.03,729932178,0.76,87,87.77,2008
US,electric power,77174,0.88,464818228,0.45,3733,7.35,6649922,3.23,325264,4.62,78925,0.87,80907,0.91,471468150,0.45,90.63,93.08,2008
US,gas supply,11663,0.62,45342325,0.42,350,3.51,439887,0.64,28944,1.08,11823,0.61,12013,0.61,45782212,0.41,83.35,81.46,2008
US,transit,226991,0.05,1132411303,0.04,17670,1.29,31612369,0.55,2011651,0.7,238594,0.06,244661,0.1,1164023672,0.05,89.37,94.58,2008
