state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,14763723,0.06,64807318667,0.06,4762990,0.06,5511605961,0.06,305912282,0.07,16549185,0.06,19526713,0.05,70318924628,0.06,0,0,2010
US,financial administration,373110,0.11,1637655274,0.09,46807,0.3,57069472,0.24,3112643,0.18,390657,0.11,419917,0.1,1694724746,0.09,0,0,2010
US,other government administration,244150,0.16,1094346485,0.15,153677,0.23,102765792,0.24,5167994,0.24,273697,0.16,397827,0.13,1197112277,0.13,0,0,2010
US,judicial and legal,406386,0.1,1975323751,0.07,42229,0.2,67400261,0.17,3008706,0.19,423693,0.11,448615,0.09,2042724012,0.07,0,0,2010
US,police protection total,910677,0.14,4856015129,0.12,98074,0.24,95467673,0.23,6142119,0.25,946528,0.14,1008751,0.13,4951482802,0.12,0,0,2010
US,police protection - officers,694635,0.14,3995295965,0.12,33183,0.24,35075597,0.21,2097172,0.25,706858,0.13,727818,0.13,4030371562,0.12,0,0,2010
US,police protection - other,216042,0.15,860719164,0.13,64891,0.24,60392076,0.24,4044947,0.26,239670,0.16,280933,0.13,921111240,0.13,0,0,2010
US,fire protection total,326475,0.26,1904135353,0.26,84000,0.44,42482877,0.83,2833157,0.84,342941,0.27,410475,0.22,1946618230,0.25,0,0,2010
US,fire protection - firefighters,300441,0.25,1772632601,0.25,78614,0.41,37037247,0.8,2539992,0.82,315205,0.26,379055,0.22,1809669848,0.25,0,0,2010
US,fire protection - other,26034,0.37,131502752,0.34,5386,0.89,5445630,1.07,293165,1.04,27736,0.41,31420,0.34,136948382,0.33,0,0,2010
US,corrections,722390,0.1,2955476280,0.07,23790,0.29,44277022,0.19,2142769,0.29,734702,0.1,746180,0.09,2999753302,0.07,0,0,2010
US,highways,504446,0.13,2054546049,0.11,32541,0.12,46745501,0.08,2614487,0.11,519614,0.13,536987,0.13,2101291550,0.11,0,0,2010
US,air transportation,45589,0.32,221440677,0.23,3198,1.57,4545547,1.24,305514,1.59,47248,0.34,48787,0.31,225986224,0.23,0,0,2010
US,water transport and terminals,12409,0.3,66824252,0.25,1015,0.17,1122818,0.19,66659,0.18,12799,0.29,13424,0.28,67947070,0.25,0,0,2010
US,public welfare,478862,0.2,1841267472,0.16,51003,0.6,80653494,0.52,4805167,0.65,506666,0.23,529865,0.19,1921920966,0.16,0,0,2010
US,health,415030,0.17,1733560202,0.13,70968,0.36,118194986,0.25,5714887,0.42,447919,0.18,485998,0.15,1851755188,0.12,0,0,2010
US,hospitals,867630,0.14,4019322912,0.13,208498,0.26,526827674,0.26,20466866,0.32,985320,0.14,1076128,0.12,4546150586,0.12,0,0,2010
US,social insurance administration,83084,0.01,343750607,0.01,9023,0.01,20244996,0.01,1012993,0.01,88943,0.01,92107,0,363995603,0,0,0,2010
US,solid waste management,101425,0.25,379623765,0.21,14793,0.45,13538762,0.37,1166392,0.45,108076,0.26,116218,0.23,393162527,0.2,0,0,2010
US,sewerage,123617,0.24,561424782,0.24,6613,0.3,6122995,0.18,314842,0.26,125397,0.25,130230,0.23,567547777,0.24,0,0,2010
US,parks and recreation,186541,0.21,710807774,0.23,218708,0.39,170419158,0.33,13280691,0.36,263894,0.25,405249,0.23,881226932,0.19,0,0,2010
US,housing and community development,104946,0.42,447962263,0.39,11251,0.61,13491065,0.64,844850,0.55,109817,0.43,116197,0.38,461453328,0.38,0,0,2010
US,natural resources,161730,0.08,686183523,0.08,35972,0.06,49929205,0.06,3043286,0.07,179029,0.08,197702,0.07,736112728,0.08,0,0,2010
