state,government_function,full_time_equivalent_employees,total_march_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
US,total,14214109,39411694146,12622627,4110332,36378852787,3032841359,275300694,1997
US,financial administration,360724,967575026,342667,51045,930619766,36955260,3286983,1997
US,other government administration,250515,693951419,225186,158505,629457297,64494122,4676722,1997
US,judicial and legal,343343,1070534622,327470,38757,1031031298,39503324,2817261,1997
US,police protection - officers,602524,2159916970,592940,30069,2142851841,17065129,1703411,1997
US,police protection - other,195900,484821246,173871,59256,450263156,34558090,3869334,1997
US,fire protection - firefighters,256374,929435722,244920,84426,912095870,17339852,2062205,1997
US,fire protection - other,20778,60323381,18965,7627,57163053,3160328,331437,1997
US,corrections,648540,1775574157,633428,45105,1742418075,33156082,2633087,1997
US,streets and highways,530577,1396191318,515936,32550,1368750079,27441239,2631904,1997
US,air transportation,36881,111468499,35430,2770,109056960,2411539,255255,1997
US,water transport and terminals,12837,40184301,12293,1088,39151786,1032515,95617,1997
US,public welfare,474987,1172370213,448607,49311,1123608934,48761279,4559735,1997
US,health,377429,1014820175,343663,68498,940867624,73952551,5879182,1997
US,hospitals,984375,2603113990,876556,183453,2329549537,273564453,18859896,1997
US,social insurance administration,92777,258953964,87132,9098,245121591,13832373,976860,1997
US,solid waste management,107922,271548878,102376,12243,262887090,8661788,1002353,1997
US,sewerage,123115,352715670,120351,8829,347123572,5592098,518506,1997
US,parks and recreation,229762,494738140,169071,161232,407497009,87241131,10629618,1997
US,housing and community development,115062,291681806,108720,13854,279681765,12000041,1092883,1997
US,natural resources,184269,495745600,164242,41549,459085944,36659656,3515783,1997
US,water transport and terminals,153549,435666178,149307,15067,427470572,8195606,801748,1997
US,electric power,78605,301948859,77253,2436,298878545,3070314,239225,1997
US,gas supply,9764,26491708,9642,208,26288596,203112,21526,1997
US,transit,190721,676280379,181718,15068,657263072,19017307,1568973,1997
US,education - elementary and secondary instructional,3865494,11666664057,3582068,738395,11123160380,543503677,48160365,1997
US,education - elementary and secondary other,1655408,3046272432,1321524,766378,2548281474,497990958,56396635,1997
US,education - higher education instructional,584162,2398270837,406904,462892,1882825199,515445638,30824650,1997
US,education - higher education other,1054265,2402182066,753301,827901,1923663569,478518497,52511707,1997
US,education - other,91169,259358958,85565,13741,246668521,12690437,973483,1997
US,libraries,109859,233648382,77753,78044,185293727,48354655,5567205,1997
US,liquor stores,7167,16087461,5793,3570,14067068,2020393,239865,1997
US,other and unallocable,465255,1303157732,427975,127367,1236709817,66447915,6597280,1997
AL,total,256458,564271252,237658,49070,533038079,31233173,3257217,1997
AL,financial administration,5869,13995323,5724,358,13783346,211977,26687,1997
AL,other government administration,2846,6666684,2641,1670,5934982,731702,38421,1997
AL,judicial and legal,4341,11589048,4137,625,11131403,457645,38128,1997
AL,police protection - officers,9281,24173386,9181,259,24018409,154977,18677,1997
AL,police protection - other,2571,4896123,2336,714,4573904,322219,43067,1997
AL,fire protection - firefighters,4648,11911455,4485,683,11703695,207760,29253,1997
AL,fire protection - other,190,416860,184,32,407889,8971,1148,1997
AL,corrections,6761,15553781,6656,165,15426339,127442,18850,1997
AL,streets and highways,10934,21707153,10735,373,21424599,282554,35834,1997
AL,air transportation,445,960871,406,65,900263,60608,6820,1997
AL,water transport and terminals,646,1415732,645,1,1414332,1400,116,1997
AL,public welfare,5227,11629345,5044,326,11384321,245024,32505,1997
AL,health,11401,23951717,10642,1423,22882536,1069181,134613,1997
AL,hospitals,34562,74343590,30259,7050,65220520,9123070,753725,1997
AL,social insurance administration,1446,3333748,1421,60,3306113,27635,4393,1997
AL,solid waste management,3562,6028743,3478,161,5911939,116804,15114,1997
AL,sewerage,1210,2716734,1200,30,2703451,13283,2183,1997
AL,parks and recreation,4124,6907077,3100,2021,5814940,1092137,181892,1997
AL,housing and community development,2460,5382907,2355,220,5226841,156066,17653,1997
AL,natural resources,2742,6822652,2500,491,6538527,284125,41757,1997
AL,water transport and terminals,3351,7494509,3261,272,7361303,133206,17385,1997
AL,electric power,1130,3197134,1105,33,3163302,33832,4300,1997
AL,gas supply,843,2178803,818,40,2149714,29089,4465,1997
AL,transit,134,225454,105,46,191161,34293,5344,1997
AL,education - elementary and secondary instructional,65776,154728843,64528,5536,152959587,1769256,206970,1997
AL,education - elementary and secondary other,26253,33333549,24353,5364,31111216,2222333,319353,1997
AL,education - higher education instructional,10497,40497644,8512,6173,35352220,5145424,335963,1997
AL,education - higher education other,20908,40965512,16610,12260,35423649,5541863,736346,1997
AL,education - other,3423,9680403,3232,793,9217027,463376,33551,1997
AL,libraries,950,1712635,752,457,1442185,270450,34851,1997
AL,liquor stores,653,1263930,653,0,1263930,0,0,1997
AL,other and unallocable,7274,14589907,6600,1369,13694436,895471,117853,1997
AK,total,45490,163984422,41251,12074,154751872,9232550,727492,1997
AK,financial administration,1800,6656859,1763,89,6556664,100195,6607,1997
AK,other government administration,1323,4534230,1220,491,4274390,259840,18202,1997
AK,judicial and legal,1275,5183298,1241,87,5068765,114533,5667,1997
