state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2014,total,14326930,0.09,67158055720,0.09,4902388,0.11,5998983506,0.12,319581800,0.12,16186910,0.09,19229318,0.07,73157039226,0.08
US,2014,financial administration,377401,0.13,1786701803,0.12,50842,0.56,62958977,0.22,3484865,0.18,396571,0.13,428243,0.13,1849660780,0.12
US,2014,other government administration,232531,0.17,1093360807,0.17,178959,0.16,112804282,0.17,5666709,0.2,263507,0.17,411490,0.12,1206165089,0.15
US,2014,judicial and legal,393271,0.12,2045051055,0.1,41765,0.23,71455213,0.2,3078215,0.23,410500,0.13,435036,0.11,2116506268,0.1
US,2014,police protection total,871506,0.15,4998670584,0.16,94915,0.26,100270288,0.24,6437086,0.24,908408,0.15,966421,0.14,5098940872,0.16
US,2014,police protection - officers,678896,0.19,4164551575,0.19,35618,0.34,39750076,0.2,2486779,0.2,693249,0.19,714514,0.18,4204301651,0.19
US,2014,police protection - other,192610,0.21,834119009,0.21,59297,0.35,60520212,0.38,3950307,0.37,215159,0.22,251907,0.18,894639221,0.19
US,2014,fire protection total,324524,0.21,2044229536,0.24,107268,0.42,54789086,0.6,3721107,0.72,345669,0.24,431792,0.19,2099018622,0.23
US,2014,fire protection - firefighters,297280,0.23,1892956415,0.26,94973,0.48,44738802,0.73,3175426,0.84,315457,0.26,392253,0.21,1937695217,0.25
US,2014,fire protection - other,27244,0.25,151273121,0.26,12295,0.41,10050284,0.37,545681,0.36,30212,0.29,39539,0.21,161323405,0.24
US,2014,corrections,686725,0.11,3075771519,0.08,24132,0.31,46705541,0.2,2264899,0.3,699739,0.11,710857,0.1,3122477060,0.08
US,2014,highways,473949,0.14,2124714399,0.12,37109,0.11,58593706,0.08,3104224,0.11,491595,0.14,511058,0.13,2183308105,0.12
US,2014,air transportation,45456,0.17,245858162,0.15,4225,0.65,5456317,0.48,364839,0.55,47543,0.19,49681,0.16,251314479,0.15
US,2014,water transport and terminals,12438,0.18,75401394,0.18,1310,0.37,1939150,0.24,112356,0.2,13078,0.18,13748,0.17,77340544,0.18
US,2014,public welfare,481483,0.17,1953995577,0.15,47689,0.49,77684789,0.35,4488736,0.45,507493,0.19,529172,0.16,2031680366,0.15
US,2014,health,391611,0.17,1775623748,0.14,71020,0.29,126798673,0.17,5795490,0.23,424804,0.17,462631,0.15,1902422421,0.13
US,2014,hospitals,858179,0.09,4301998030,0.08,210413,0.11,626565749,0.08,21082187,0.1,979259,0.09,1068592,0.07,4928563779,0.07
US,2014,social insurance administration,72820,0,322399446,0,5335,0,13235187,0,563175,0,76060,0,78155,0,335634633,0
US,2014,solid waste management,98418,0.26,415171326,0.23,15153,0.51,15591966,0.43,1276522,0.53,105615,0.28,113571,0.23,430763292,0.22
US,2014,sewerage,120994,0.24,581373604,0.26,10630,0.27,9693648,0.22,563878,0.19,124041,0.23,131624,0.22,591067252,0.25
US,2014,parks and recreation,180882,0.21,723493471,0.22,229325,0.4,179164917,0.36,14331347,0.38,262723,0.27,410207,0.24,902658388,0.19
US,2014,housing and community development,99530,0.28,458599338,0.26,12727,0.33,16254366,0.45,961206,0.37,105099,0.29,112257,0.26,474853704,0.25
US,2014,natural resources,155079,0.09,705877661,0.09,34600,0.09,47640905,0.1,2671958,0.1,170323,0.09,189679,0.08,753518566,0.09
US,2014,water transport and terminals,164838,0.24,807601493,0.25,16829,0.17,15917869,0.23,945591,0.15,169874,0.23,181667,0.22,823519362,0.25
US,2014,electric power,75757,0.27,527009322,0.23,2701,0.25,5789164,0.28,250794,0.29,77188,0.27,78458,0.26,532798486,0.23
US,2014,gas supply,10814,0.46,51535873,0.42,471,0.45,619493,0.27,41424,0.27,11053,0.45,11285,0.44,52155366,0.41
US,2014,transit,223145,0.13,1260343076,0.11,20615,0.45,38958580,0.32,2276215,0.4,236129,0.14,243760,0.13,1299301656,0.11
US,2014,education total,7480995,0.17,33517817915,0.17,3491123,0.15,4107171050,0.17,222574426,0.17,8788566,0.16,10972118,0.12,37624988965,0.15
US,2014,education - elementary and secondary total,5871939,0.21,24560995400,0.23,1790458,0.27,2072061295,0.32,125791123,0.29,6623044,0.21,7662397,0.18,26633056695,0.22
US,2014,education - elementary and secondary instructional,4228053,0.27,19757413339,0.28,997486,0.36,1203105513,0.45,67495535,0.4,4628147,0.27,5225539,0.23,20960518852,0.27
US,2014,education - elementary and secondary other,1643886,0.3,4803582061,0.29,792972,0.41,868955782,0.45,58295588,0.43,1994897,0.3,2436858,0.24,5672537843,0.25
US,2014,education - higher education total,1529912,0.07,8589190631,0.07,1687814,0.11,2012889186,0.11,95771869,0.09,2080583,0.07,3217726,0.07,10602079817,0.06
US,2014,education - higher education instructional,501453,0.11,3826060188,0.1,631559,0.21,1068133713,0.18,34693700,0.16,701196,0.12,1133012,0.13,4894193901,0.09
US,2014,education - higher education other,1028459,0.1,4763130443,0.09,1056255,0.12,944755473,0.12,61078169,0.11,1379387,0.09,2084714,0.07,5707885916,0.07
US,2014,education - other,79144,0,367631884,0,12851,0,22220569,0,1011434,0,84939,0,91995,0,389852453,0
US,2014,libraries,87186,0.2,339569030,0.21,97897,0.29,100157041,0.3,7300332,0.3,129387,0.22,185083,0.18,439726071,0.18
US,2014,liquor stores,6048,0,20887169,0,5935,0,8301647,0,508742,0,9029,0,11983,0,29188816,0
US,2014,other and unallocable,401350,0.15,1905000382,0.13,89400,0.24,94465902,0.27,5715477,0.29,433657,0.16,490750,0.13,1999466284,0.12
AL,2014,total,260013,0.58,962784640,0.57,59138,0.29,62117338,0.17,3932395,0.26,283046,0.55,319151,0.48,1024901978,0.53
AL,2014,financial administration,6213,1.17,24191472,0.84,292,1.1,313107,3.68,24015,2.69,6348,1.04,6505,1.11,24504579,0.83
AL,2014,other government administration,3121,1.85,11560185,1.41,2288,1.01,2013674,0.82,86919,0.8,3605,1.78,5409,1.15,13573859,1.21
AL,2014,judicial and legal,4574,0.27,19837244,0.18,670,0.65,836622,0.47,53317,0.51,4868,0.32,5244,0.25,20673866,0.18
AL,2014,police protection total,13430,1.65,51323847,1.45,1293,1.08,1255826,1.08,113447,1.31,14079,1.54,14723,1.5,52579673,1.42
AL,2014,police protection - officers,10717,2.04,43324042,1.71,556,1.37,586195,1.38,49790,1.66,11007,1.92,11273,1.94,43910237,1.68
AL,2014,police protection - other,2713,1.32,7999805,1.1,737,1.6,669631,1.62,63657,1.93,3072,1.51,3450,1.1,8669436,1.02
