state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2015,total,14415873,0.06,69016556362,0.06,4876718,0.06,6055168168,0.06,320159182,0.07,16278564,0.06,19292591,0.05,75071724530,0.05
US,2015,financial administration,380109,0.02,1845545465,0.01,51114,0.04,65636177,0.03,3600070,0.04,399824,0.02,431223,0.02,1911181642,0.01
US,2015,other government administration,234843,0.03,1126675618,0.02,178836,0.02,114708933,0.02,5701542,0.02,266364,0.03,413679,0.02,1241384551,0.02
US,2015,judicial and legal,394949,0.03,2101116387,0.04,40850,0.05,68972404,0.08,3055905,0.17,411966,0.03,435799,0.03,2170088791,0.04
US,2015,police protection total,879463,0.02,5175866002,0.02,94290,0.04,101900984,0.05,6501508,0.05,916504,0.02,973753,0.02,5277766986,0.02
US,2015,police protection - officers,683850,0.02,4313972430,0.02,35572,0.07,41090990,0.08,2584649,0.08,698502,0.02,719422,0.02,4355063420,0.02
US,2015,police protection - other,195613,0.03,861893572,0.03,58718,0.05,60809994,0.06,3916859,0.06,218002,0.03,254331,0.03,922703566,0.03
US,2015,fire protection total,326637,0.04,2094324732,0.1,106192,0.09,56388146,0.1,3833793,0.11,348326,0.03,432829,0.04,2150712878,0.1
US,2015,fire protection - firefighters,297865,0.04,1931594565,0.11,94016,0.09,45836126,0.11,3258614,0.12,316406,0.04,391881,0.04,1977430691,0.1
US,2015,fire protection - other,28772,0.09,162730167,0.08,12176,0.3,10552020,0.27,575179,0.21,31920,0.09,40948,0.11,173282187,0.08
US,2015,corrections,687464,0.03,3144640371,0.03,23253,0.17,44328152,0.12,2188401,0.2,700058,0.03,710717,0.03,3188968523,0.03
US,2015,highways,471582,0.02,2177523743,0.03,37079,0.05,57500941,0.04,3098182,0.05,489166,0.02,508661,0.02,2235024684,0.03
US,2015,air transportation,46078,0.17,257438465,0.13,4280,0.69,5889616,0.59,372259,0.73,48220,0.16,50358,0.16,263328081,0.13
US,2015,water transport and terminals,12464,0.45,78683180,0.35,1241,1.55,1888148,1.48,112904,2.08,13112,0.45,13705,0.43,80571328,0.34
US,2015,public welfare,486180,0.1,2021725771,0.14,47733,0.16,79259237,0.14,4538589,0.3,512403,0.1,533913,0.09,2100985008,0.14
US,2015,health,397782,0.11,1839964106,0.09,69413,0.1,125095252,0.08,5641411,0.1,430085,0.1,467195,0.09,1965059358,0.08
US,2015,hospitals,851505,0.07,4359725495,0.07,208593,0.11,650935260,0.1,21316494,0.11,973792,0.07,1060098,0.06,5010660755,0.07
US,2015,social insurance administration,70676,0,316808445,0,4637,0,11918016,0,521505,0,73660,0,75313,0,328726461,0
US,2015,solid waste management,98600,0.05,419093279,0.05,15278,0.2,15994757,0.19,1271974,0.21,105754,0.05,113878,0.05,435088036,0.05
US,2015,sewerage,121861,0.05,601706196,0.05,10496,0.12,10050965,0.15,592452,0.15,125026,0.05,132357,0.04,611757161,0.04
US,2015,parks and recreation,182505,0.03,751016478,0.09,228905,0.27,183773004,0.21,14559144,0.21,265655,0.07,411410,0.15,934789482,0.08
US,2015,housing and community development,100165,0.13,477923639,0.14,12468,0.27,16624468,0.46,987397,0.28,105937,0.12,112633,0.12,494548107,0.13
US,2015,natural resources,156015,0.03,726579888,0.03,34832,0.05,49747147,0.04,2756936,0.04,171693,0.03,190847,0.03,776327035,0.03
US,2015,water transport and terminals,165381,0.04,830388626,0.04,16841,0.09,17101090,0.1,1010152,0.09,170744,0.04,182222,0.03,847489716,0.04
US,2015,electric power,76480,0.15,549317628,0.14,2696,0.66,5945822,0.4,254150,0.44,77922,0.14,79176,0.14,555263450,0.14
US,2015,gas supply,10877,0.44,52161510,0.44,491,1.94,698296,1.84,43400,2.22,11127,0.43,11368,0.43,52859806,0.43
US,2015,transit,226557,0.1,1324890828,0.07,20284,0.5,39091947,0.28,2270120,0.32,239529,0.09,246841,0.1,1363982775,0.07
US,2015,education total,7540621,0.12,34409986629,0.12,3474936,0.09,4125730849,0.09,222360441,0.11,8846910,0.11,11015557,0.09,38535717478,0.1
US,2015,education - elementary and secondary total,5917648,0.15,25191487277,0.16,1769133,0.13,2088550656,0.13,125101498,0.18,6664684,0.14,7686781,0.12,27280037933,0.15
US,2015,education - elementary and secondary instructional,4263213,0.2,20240811062,0.19,982525,0.19,1210459966,0.16,67184734,0.24,4662327,0.19,5245738,0.17,21451271028,0.18
US,2015,education - elementary and secondary other,1654435,0.2,4950676215,0.1,786608,0.18,878090690,0.21,57916764,0.25,2002357,0.17,2441043,0.15,5828766905,0.09
US,2015,education - higher education total,1544378,0.05,8847844417,0.04,1693174,0.11,2014812442,0.11,96249461,0.09,2097853,0.04,3237552,0.06,10862656859,0.04
US,2015,education - higher education instructional,508969,0.07,3936028728,0.06,630911,0.24,1084996865,0.19,35703632,0.2,714791,0.08,1139880,0.13,5021025593,0.07
US,2015,education - higher education other,1035409,0.07,4911815689,0.06,1062263,0.11,929815577,0.1,60545829,0.07,1383062,0.05,2097672,0.06,5841631266,0.05
US,2015,education - other,78595,0,370654935,0,12629,0,22367751,0,1009482,0,84373,0,91224,0,393022686,0
US,2015,libraries,87017,0.09,346834493,0.15,97299,0.1,103239098,0.12,7440563,0.1,129927,0.07,184316,0.07,450073591,0.12
US,2015,liquor stores,6133,0,21315726,0,6174,0,8192728,0,503070,0,9089,0,12307,0,29508454,0
US,2015,other and unallocable,403929,0.03,1965303662,0.03,88507,0.06,94556731,0.05,5626820,0.06,435771,0.03,492436,0.03,2059860393,0.03
AL,2015,total,257434,0.55,985097060,0.55,58630,0.25,62009729,0.19,3926999,0.21,280541,0.51,316064,0.45,1047106789,0.52
AL,2015,financial administration,6208,0.12,24897568,0.08,297,0.56,314086,0.49,28363,0.47,6365,0.12,6505,0.12,25211654,0.08
AL,2015,other government administration,3207,0.19,11956149,0.16,2173,0.17,1962026,0.22,85538,0.23,3681,0.17,5380,0.13,13918175,0.14
AL,2015,judicial and legal,4576,0.06,20442636,0.03,650,0.26,804950,0.21,52983,0.22,4876,0.06,5226,0.06,21247586,0.03
AL,2015,police protection total,13572,0.1,53404389,0.1,1259,0.3,1285656,0.26,110341,0.31,14215,0.1,14831,0.09,54690045,0.1
