state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,year
US,total,3564547,12027220901,1312873,1251915081,90651373,4082694,13279135982,2000
US,financial administration,155064,501833420,13942,18957340,1528962,163818,520790760,2000
US,other government administration,46292,160239441,12896,19427494,1201719,53228,179666935,2000
US,judicial and legal,147119,569926194,10695,17457304,1135590,153637,587383498,2000
US,police arrest,61088,255590744,684,920818,34066,61282,256511562,2000
US,police other,38720,120454198,2641,2664403,220687,39983,123118601,2000
US,corrections,450751,1375290846,12989,21678768,1403913,458721,1396969614,2000
US,streets and highways,240101,754687965,12064,17455571,1199601,246988,772143536,2000
US,air transportation,2959,11377080,169,246771,13640,3037,11623851,2000
US,water transportation,4397,15960797,118,154186,10264,4453,16114983,2000
US,public welfare,222337,639881241,10804,17508431,1194316,229217,657389672,2000
US,health,164797,523236036,14088,22332279,1385950,172678,545568315,2000
US,hospitals,378006,1110076940,53128,91170111,5601419,409906,1201247051,2000
US,social insurance administration,85910,278877349,8035,13557051,918607,91184,292434400,2000
US,solid waste management,1807,7469216,108,272097,13058,1882,7741313,2000
US,sewage disposal,1433,5677558,48,143715,5846,1466,5821273,2000
US,parks and recreation,27283,74049350,11273,10757048,1044379,33237,84806398,2000
US,housing and community development,0,0,0,0,0,0,0,2000
US,natural resources,130137,423545866,36022,36738253,3257187,148679,460284119,2000
US,water transport and terminals,822,3139548,41,74126,4055,844,3213674,2000
US,electric power,5387,29883399,89,173083,8560,5437,30056482,2000
US,gas supply,0,0,0,0,0,0,0,2000
US,transit,27730,122254452,1665,1722996,152120,28589,123977448,2000
US,elem and sec instruction,31573,114704679,8312,5862844,359203,33826,120567523,2000
US,elem and sec admin/cler,3683,10439011,167,122964,9276,3738,10561975,2000
US,elem and sec oper/maint,3621,8679535,2355,1181474,102777,4246,9861009,2000
US,elem and sec cafeteria,1995,3875452,844,397433,42969,2286,4272885,2000
US,elem and sec bus transit,35,90450,70,60672,6847,82,151122,2000
US,elem and sec health/rec,268,1148107,221,474214,22051,400,1622321,2000
US,elem and sec student,0,0,595,88599,15091,94,88599,2000
US,elem and sec unalloc,206,315839,1911,680621,69150,640,996460,2000
US,higher ed - instructional,346019,1822636457,330551,441354804,21970217,471506,2263991261,2000
US,education - higher education other,689825,2059187621,722982,460504520,44543959,944285,2519692141,2000
US,education - other,93669,301874311,20560,21609874,1361205,101475,323484185,2000
US,libraries,490,1190828,231,133562,9122,545,1324390,2000
US,liquor stores,5777,14883580,2920,2183004,234789,7122,17066584,2000
US,other and unallocable,195246,704743391,19655,23848651,1570778,204183,728592042,2000
AL,total,70063,199029594,24191,17723434,1686482,79631,216753028,2000
AL,financial administration,2446,7437827,209,151502,24547,2585,7589329,2000
AL,other government administration,547,1809326,88,96523,5900,581,1905849,2000
AL,judicial and legal,2925,9899508,154,188910,21318,3046,10088418,2000
AL,police arrest,745,2710510,0,0,0,745,2710510,2000
AL,police other,595,1445303,22,10809,2221,608,1456112,2000
AL,corrections,4368,11474360,9,7797,848,4372,11482157,2000
AL,streets and highways,3772,8484801,62,49620,5491,3803,8534421,2000
AL,air transportation,0,0,0,0,0,0,0,2000
AL,water transportation,389,1151364,1,1500,20,389,1152864,2000
AL,public welfare,3777,10078766,35,45534,3300,3795,10124300,2000
AL,health,4918,13039942,524,486189,65369,5287,13526131,2000
AL,hospitals,10600,24739099,1228,1764239,101547,11173,26503338,2000
AL,social insurance administration,1359,3460825,43,25443,3793,1380,3486268,2000
AL,solid waste management,0,0,0,0,0,0,0,2000
AL,sewage disposal,0,0,0,0,0,0,0,2000
AL,parks and recreation,398,843049,440,355817,27370,553,1198866,2000
AL,housing and community development,0,0,0,0,0,0,0,2000
AL,natural resources,2033,6013921,499,409393,43195,2278,6423314,2000
AL,water transport and terminals,0,0,0,0,0,0,0,2000
AL,electric power,0,0,0,0,0,0,0,2000
AL,gas supply,0,0,0,0,0,0,0,2000
AL,transit,0,0,0,0,0,0,0,2000
AL,elem and sec instruction,0,0,0,0,0,0,0,2000
AL,elem and sec admin/cler,0,0,0,0,0,0,0,2000
AL,elem and sec oper/maint,0,0,0,0,0,0,0,2000
AL,elem and sec cafeteria,0,0,0,0,0,0,0,2000
AL,elem and sec bus transit,0,0,0,0,0,0,0,2000
AL,elem and sec health/rec,0,0,0,0,0,0,0,2000
AL,elem and sec student,0,0,0,0,0,0,0,2000
AL,elem and sec unalloc,0,0,0,0,0,0,0,2000
AL,higher ed - instructional,8897,41197142,6573,6475387,426713,11322,47672529,2000
AL,education - higher education other,16226,37163530,13071,6770773,867837,21156,43934303,2000
AL,education - other,3387,10855596,700,433041,32211,3570,11288637,2000
AL,libraries,0,0,0,0,0,0,0,2000
AL,liquor stores,633,1271042,7,6666,846,638,1277708,2000
AL,other and unallocable,2048,5953683,526,444291,53956,2350,6397974,2000
AK,total,21139,81222233,5249,4342141,300332,22885,85564374,2000
AK,financial administration,941,3601635,28,46398,2397,956,3648033,2000
AK,other government administration,510,1795382,42,60710,3927,534,1856092,2000
AK,judicial and legal,1166,4834087,83,113501,5498,1199,4947588,2000
AK,police arrest,310,1625429,0,0,0,310,1625429,2000
AK,police other,114,380850,83,32424,2679,130,413274,2000
AK,corrections,1583,6273760,20,23587,2234,1597,6297347,2000
AK,streets and highways,2714,11183105,27,34263,2546,2729,11217368,2000
AK,air transportation,0,0,0,0,0,0,0,2000
AK,water transportation,0,0,0,0,0,0,0,2000
AK,public welfare,1599,5066257,155,186933,20784,1724,5253190,2000
AK,health,623,2367023,41,50211,2997,642,2417234,2000
AK,hospitals,227,802893,7,17375,1172,234,820268,2000
AK,social insurance administration,424,1422492,14,24524,1186,431,1447016,2000
AK,solid waste management,0,0,0,0,0,0,0,2000
AK,sewage disposal,0,0,0,0,0,0,0,2000
AK,parks and recreation,84,298620,0,0,0,84,298620,2000
AK,housing and community development,0,0,0,0,0,0,0,2000
AK,natural resources,1966,7477694,67,57771,4501,1992,7535465,2000
AK,water transport and terminals,0,0,0,0,0,0,0,2000
AK,electric power,0,0,0,0,0,0,0,2000
AK,gas supply,0,0,0,0,0,0,0,2000
AK,transit,0,0,0,0,0,0,0,2000
AK,elem and sec instruction,1966,7532647,571,445391,32148,2162,7978038,2000
AK,elem and sec admin/cler,298,1023157,69,63675,4346,324,1086832,2000
AK,elem and sec oper/maint,254,719036,203,180657,12699,330,899693,2000
AK,elem and sec cafeteria,96,193492,149,122335,8384,148,315827,2000
AK,elem and sec bus transit,1,2695,16,11334,1099,8,14029,2000
AK,elem and sec health/rec,22,33212,1,761,63,22,33973,2000
AK,elem and sec student,0,0,17,2771,461,2,2771,2000
AK,elem and sec unalloc,16,44715,91,58866,4365,43,103581,2000
AK,higher ed - instructional,978,5481908,1442,1468389,46439,1240,6950297,2000
AK,education - higher education other,2374,7574672,2021,1231911,133298,3127,8806583,2000
AK,education - other,355,1298299,46,33619,2458,370,1331918,2000
AK,libraries,0,0,0,0,0,0,0,2000
AK,liquor stores,0,0,0,0,0,0,0,2000
AK,other and unallocable,2518,10189173,56,74735,4651,2547,10263908,2000
AZ,total,55752,170321852,23212,18994107,1608241,64846,189315959,2000
AZ,financial administration,3338,9005149,39,59591,2876,3355,9064740,2000
AZ,other government administration,550,1671757,114,167906,7704,594,1839663,2000
AZ,judicial and legal,1291,5242969,96,179599,9553,1346,5422568,2000
AZ,police arrest,1066,4138933,0,0,0,1066,4138933,2000
AZ,police other,835,2578061,1,1140,89,836,2579201,2000
AZ,corrections,9524,25639120,107,179555,10178,9582,25818675,2000
AZ,streets and highways,3034,8829952,0,0,0,3034,8829952,2000
AZ,air transportation,0,0,0,0,0,0,0,2000
AZ,water transportation,0,0,0,0,0,0,0,2000
AZ,public welfare,5588,13739263,81,114163,8240,5635,13853426,2000
AZ,health,2224,5955559,39,72011,4567,2250,6027570,2000
AZ,hospitals,673,1974352,55,108415,6489,710,2082767,2000
AZ,social insurance administration,2075,4696738,11,15806,1373,2083,4712544,2000
AZ,solid waste management,0,0,0,0,0,0,0,2000
AZ,sewage disposal,0,0,0,0,0,0,0,2000
AZ,parks and recreation,388,795874,101,67294,8194,435,863168,2000
AZ,housing and community development,0,0,0,0,0,0,0,2000
AZ,natural resources,2061,6303758,684,612862,53125,2359,6916620,2000
AZ,water transport and terminals,0,0,0,0,0,0,0,2000
AZ,electric power,7,29096,5,420,30,7,29516,2000
AZ,gas supply,0,0,0,0,0,0,0,2000
AZ,transit,0,0,0,0,0,0,0,2000
AZ,elem and sec instruction,0,0,0,0,0,0,0,2000
AZ,elem and sec admin/cler,0,0,0,0,0,0,0,2000
AZ,elem and sec oper/maint,0,0,0,0,0,0,0,2000
AZ,elem and sec cafeteria,0,0,0,0,0,0,0,2000
AZ,elem and sec bus transit,0,0,0,0,0,0,0,2000
AZ,elem and sec health/rec,0,0,0,0,0,0,0,2000
AZ,elem and sec student,0,0,0,0,0,0,0,2000
AZ,elem and sec unalloc,0,0,0,0,0,0,0,2000
AZ,higher ed - instructional,4975,27660509,5995,7289150,457087,7558,34949659,2000
AZ,education - higher education other,11678,35554444,15388,9318316,988047,17262,44872760,2000
AZ,education - other,2771,6315515,338,632905,38351,2988,6948420,2000
AZ,libraries,0,0,0,0,0,0,0,2000
AZ,liquor stores,0,0,0,0,0,0,0,2000
AZ,other and unallocable,3674,10190803,158,174974,12338,3746,10365777,2000
AR,total,44500,126480151,12167,10138653,757951,48791,136618804,2000
AR,financial administration,1786,4448814,130,107984,16157,1878,4556798,2000
AR,other government administration,467,1492536,66,102281,7175,508,1594817,2000
AR,judicial and legal,405,2069641,13,20621,1151,412,2090262,2000
AR,police arrest,590,1842805,0,0,0,590,1842805,2000
AR,police other,560,1319407,1,1142,89,561,1320549,2000
AR,corrections,3752,7935393,19,18560,2400,3766,7953953,2000
AR,streets and highways,3377,9422374,36,22415,3210,3395,9444789,2000
AR,air transportation,0,0,0,0,0,0,0,2000
AR,water transportation,0,0,0,0,0,0,0,2000
