state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,year
US,total,3474525,10728268267,1283902,1116950575,89269654,3985350,11845218842,1998
US,financial administration,155483,460227158,14475,17360887,1498031,164095,477588045,1998
US,other government administration,47344,144345697,11453,16046883,1094942,53684,160392580,1998
US,judicial and legal,134372,478975282,9278,14333260,923295,139678,493308542,1998
US,police arrest,55018,209448436,507,592545,36504,55224,210040981,1998
US,police other,36897,106781762,2206,2176951,181678,37932,108958713,1998
US,corrections,437455,1220595993,29779,18206737,1275115,444711,1238802730,1998
US,streets and highways,235181,689308764,11247,16167999,1176559,241896,705476763,1998
US,air transportation,2717,9126964,179,217841,10347,2775,9344805,1998
US,water transportation,4731,15145664,148,188935,14421,4811,15334599,1998
US,public welfare,217949,575576620,10222,15151105,1125027,224397,590727725,1998
US,health,159194,460778423,13922,19964163,1362290,166930,480742586,1998
US,hospitals,396055,1089733635,57137,92666139,6093154,430763,1182399774,1998
US,social insurance administration,84616,249436915,8019,13012429,950723,90081,262449344,1998
US,solid waste management,1363,5520014,73,154225,8034,1408,5674239,1998
US,sewage disposal,1482,5723852,42,117772,5164,1511,5841624,1998
US,parks and recreation,26656,65195335,11952,10300443,1186766,33434,75495778,1998
US,housing and community development,0,0,0,0,0,0,0,1998
US,natural resources,127523,378428989,35445,34754069,3342813,146569,413183058,1998
US,water transport and terminals,841,2939731,19,46035,2196,854,2985766,1998
US,electric power,5360,27914543,120,202728,10797,5424,28117271,1998
US,gas supply,0,0,0,0,0,0,0,1998
US,transit,18100,78214939,767,773534,74523,18520,78988473,1998
US,elem and sec instruction,29856,105632292,7874,5380120,324810,31908,111012412,1998
US,elem and sec admin/cler,3529,8962028,180,129617,9261,3588,9091645,1998
US,elem and sec oper/maint,3029,5941746,2406,1107959,105696,3672,7049705,1998
US,elem and sec cafeteria,2370,3868533,700,301780,34707,2610,4170313,1998
US,elem and sec bus transit,179,345941,64,69323,6927,228,415264,1998
US,elem and sec health/rec,258,866173,247,471381,27994,427,1337554,1998
US,elem and sec student,0,0,551,88250,13561,83,88250,1998
US,elem and sec unalloc,2453,5097767,1423,273757,33701,2659,5371524,1998
US,higher ed - instructional,338464,1648076457,312789,395123092,21499190,461580,2043199549,1998
US,education - higher education other,657405,1761716202,702538,404007419,43988355,908905,2165723621,1998
US,education - other,88601,267754422,18041,16902744,1239372,95716,284657166,1998
US,libraries,563,1324450,239,128081,12305,636,1452531,1998
US,liquor stores,5779,14525086,2931,1955993,217417,7035,16481079,1998
US,other and unallocable,193702,630738454,16929,18576379,1383979,201606,649314833,1998
AL,total,72982,186323759,23224,17561670,1659561,82483,203885429,1998
AL,financial administration,2591,7153069,140,102167,12802,2663,7255236,1998
AL,other government administration,450,1290516,53,100312,4117,475,1390828,1998
AL,judicial and legal,2882,8538955,143,172225,18617,2987,8711180,1998
AL,police arrest,774,3108989,0,0,0,774,3108989,1998
AL,police other,449,1207889,39,16574,2221,462,1224463,1998
AL,corrections,4374,10472180,15,12890,1428,4382,10485070,1998
AL,streets and highways,3720,9050263,56,43029,4959,3748,9093292,1998
AL,air transportation,0,0,0,0,0,0,0,1998
AL,water transportation,440,1115440,1,600,48,440,1116040,1998
AL,public welfare,3823,9402057,35,46778,3388,3842,9448835,1998
AL,health,7018,15329980,681,592889,87533,7513,15922869,1998
AL,hospitals,10796,22089458,1227,1698937,101410,11369,23788395,1998
AL,social insurance administration,1449,3327339,48,23659,3775,1470,3350998,1998
AL,solid waste management,0,0,0,0,0,0,0,1998
AL,sewage disposal,0,0,0,0,0,0,0,1998
AL,parks and recreation,465,868513,485,337602,63717,825,1206115,1998
AL,housing and community development,0,0,0,0,0,0,0,1998
AL,natural resources,2211,6015469,439,253117,36885,2418,6268586,1998
AL,water transport and terminals,0,0,0,0,0,0,0,1998
AL,electric power,0,0,0,0,0,0,0,1998
AL,gas supply,0,0,0,0,0,0,0,1998
AL,transit,0,0,0,0,0,0,0,1998
AL,elem and sec instruction,0,0,0,0,0,0,0,1998
AL,elem and sec admin/cler,0,0,0,0,0,0,0,1998
AL,elem and sec oper/maint,0,0,0,0,0,0,0,1998
AL,elem and sec cafeteria,0,0,0,0,0,0,0,1998
AL,elem and sec bus transit,0,0,0,0,0,0,0,1998
AL,elem and sec health/rec,0,0,0,0,0,0,0,1998
AL,elem and sec student,0,0,0,0,0,0,0,1998
AL,elem and sec unalloc,0,0,0,0,0,0,0,1998
AL,higher ed - instructional,8721,35640935,5982,6984787,405456,11047,42625722,1998
AL,education - higher education other,16977,35889116,12598,6233407,821402,21705,42122523,1998
AL,education - other,3191,9126088,706,455596,32385,3376,9581684,1998
AL,libraries,0,0,0,0,0,0,0,1998
AL,liquor stores,641,1302088,0,0,0,641,1302088,1998
AL,other and unallocable,2010,5395415,576,487101,59418,2346,5882516,1998
AK,total,20447,77257277,5093,4175369,291706,22147,81432646,1998
AK,financial administration,941,3550064,22,29460,1754,953,3579524,1998
AK,other government administration,528,1890470,46,49814,3467,549,1940284,1998
AK,judicial and legal,1149,4783285,81,98373,5047,1179,4881658,1998
AK,police arrest,250,1457003,0,0,0,250,1457003,1998
AK,police other,172,555216,59,16025,1408,180,571241,1998
AK,corrections,1282,5218701,3,5253,288,1284,5223954,1998
AK,streets and highways,2621,10668244,14,17976,1324,2629,10686220,1998
AK,water transportation,0,0,0,0,0,0,0,1998
AK,air transportation,0,0,0,0,0,0,0,1998
AK,public welfare,1764,5756098,171,195839,19638,1883,5951937,1998
AK,health,606,2279973,34,46147,2702,623,2326120,1998
AK,hospitals,220,749677,7,11211,572,223,760888,1998
AK,social insurance administration,396,1397021,3,4647,233,397,1401668,1998
AK,solid waste management,0,0,0,0,0,0,0,1998
AK,sewage disposal,0,0,0,0,0,0,0,1998
AK,parks and recreation,87,288031,0,0,0,87,288031,1998
AK,housing and community development,0,0,0,0,0,0,0,1998
AK,natural resources,1961,7525453,66,95564,6670,2001,7621017,1998
AK,water transport and terminals,0,0,0,0,0,0,0,1998
AK,electric power,0,0,0,0,0,0,0,1998
AK,gas supply,0,0,0,0,0,0,0,1998
AK,transit,0,0,0,0,0,0,0,1998
AK,elem and sec instruction,1888,7246361,526,393832,30284,2077,7640193,1998
AK,elem and sec admin/cler,299,941554,104,88926,5556,334,1030480,1998
AK,elem and sec oper/maint,239,665834,150,165683,11448,311,831517,1998
AK,elem and sec cafeteria,95,181684,106,99218,7227,141,280902,1998
AK,elem and sec bus transit,2,3686,16,9969,1053,9,13655,1998
AK,elem and sec health/rec,15,16119,5,2833,210,16,18952,1998
AK,elem and sec student,0,0,20,1058,180,0,1058,1998
AK,elem and sec unalloc,153,438757,7,5053,428,156,443810,1998
AK,higher ed - instructional,934,5049445,1448,1438312,47094,1200,6487757,1998
AK,education - higher education other,2154,6287539,2105,1283910,138191,2934,7571449,1998
AK,education - other,466,1643000,42,29904,2074,478,1672904,1998
AK,libraries,0,0,0,0,0,0,0,1998
AK,liquor stores,0,0,0,0,0,0,0,1998
AK,other and unallocable,2225,8664062,58,86362,4858,2253,8750424,1998
AZ,total,53124,151163896,23067,18210748,1553311,61904,169374644,1998
AZ,financial administration,3476,8681160,24,37711,2433,3491,8718871,1998
AZ,other government administration,606,1598137,111,140357,5972,640,1738494,1998
AZ,judicial and legal,1316,4529425,93,211612,7592,1359,4741037,1998
AZ,police arrest,956,3465835,0,0,0,956,3465835,1998
AZ,police other,753,2096517,12,5181,445,756,2101698,1998
AZ,corrections,8126,20489871,73,130790,5883,8159,20620661,1998
AZ,streets and highways,3034,8570897,0,0,0,3034,8570897,1998
AZ,air transportation,0,0,0,0,0,0,0,1998
AZ,water transportation,0,0,0,0,0,0,0,1998
AZ,public welfare,5770,12815929,132,133794,10838,5832,12949723,1998
AZ,health,2038,5007689,38,49592,4129,2061,5057281,1998
AZ,hospitals,648,1457647,38,52594,3436,667,1510241,1998
AZ,social insurance administration,1871,4315168,186,177618,17493,1970,4492786,1998
AZ,solid waste management,0,0,0,0,0,0,0,1998
AZ,sewage disposal,0,0,0,0,0,0,0,1998
AZ,parks and recreation,289,697505,152,119024,13038,362,816529,1998
AZ,housing and community development,0,0,0,0,0,0,0,1998
AZ,natural resources,2096,5984718,689,591025,56658,2417,6575743,1998
AZ,water transport and terminals,0,0,0,0,0,0,0,1998
AZ,electric power,8,29102,5,210,15,8,29312,1998
AZ,gas supply,0,0,0,0,0,0,0,1998
AZ,transit,0,0,0,0,0,0,0,1998
AZ,elem and sec instruction,0,0,0,0,0,0,0,1998
AZ,elem and sec admin/cler,0,0,0,0,0,0,0,1998
AZ,elem and sec oper/maint,0,0,0,0,0,0,0,1998
AZ,elem and sec cafeteria,0,0,0,0,0,0,0,1998
AZ,elem and sec bus transit,0,0,0,0,0,0,0,1998
AZ,elem and sec health/rec,0,0,0,0,0,0,0,1998
AZ,elem and sec student,0,0,0,0,0,0,0,1998
AZ,elem and sec unalloc,0,0,0,0,0,0,0,1998
AZ,higher ed - instructional,4789,25193534,5837,7221091,448644,7323,32414625,1998
AZ,education - higher education other,11408,32038087,15183,8653768,938572,16711,40691855,1998
AZ,education - other,2558,5906720,392,609272,32003,2739,6515992,1998
AZ,libraries,0,0,0,0,0,0,0,1998
AZ,liquor stores,0,0,0,0,0,0,0,1998
AZ,other and unallocable,3382,8285955,102,77109,6160,3419,8363064,1998
AR,total,45809,117413758,10853,7613432,625419,49351,125027190,1998
AR,financial administration,1769,4041914,116,99262,15581,1856,4141176,1998
AR,other government administration,490,1352533,107,117886,4365,516,1470419,1998
AR,judicial and legal,394,1802475,8,6532,523,396,1809007,1998
AR,police arrest,597,1732105,0,0,0,597,1732105,1998
