state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,year
US,total,3636974,12805324526,1347640,1330927952,93825101,4173400,14136252478,2001
US,financial administration,157593,532091674,14384,19645660,1482268,166119,551737334,2001
US,other government administration,49643,175267100,12549,20478708,1134309,56177,195745808,2001
US,judicial and legal,153068,621212276,9914,17570810,996624,158794,638783086,2001
US,police protection - officers,62725,273215219,347,536343,22629,62856,273751562,2001
US,police protection - other,39251,130283649,2334,2541985,180907,40285,132825634,2001
US,corrections,459472,1442699835,13896,24951496,1572819,468405,1467651331,2001
US,streets and highways,243532,820533100,10578,17675938,1116866,249896,838209038,2001
US,air transportation,3062,12294594,202,303067,16391,3155,12597661,2001
US,water transport and terminals,4515,17282192,119,143783,9984,4568,17425975,2001
US,public welfare,232916,693146459,9548,15019971,1044080,238930,708166430,2001
US,health,165112,549924789,13658,21912399,1274265,172414,571837188,2001
US,hospitals,378491,1177628038,54926,98377113,5617312,410469,1276005151,2001
US,social insurance administration,81623,275067731,7753,13521574,906301,86843,288589305,2001
US,solid waste management,1773,7683733,108,267081,12094,1843,7950814,2001
US,sewerage,1431,5780519,51,153999,6178,1466,5934518,2001
US,parks and recreation,28223,79940758,13806,14374438,1368768,36051,94315196,2001
US,housing and community development,0,0,0,0,0,0,0,2001
US,natural resources,134360,450174812,34832,36985936,3281611,153023,487160748,2001
US,water transport and terminals,830,3203546,40,73490,4011,852,3277036,2001
US,electric power,3688,19337978,99,231914,14530,3769,19569892,2001
US,gas supply,0,0,0,0,0,0,0,2001
US,transit,28139,130962839,1524,1782198,150720,28990,132745037,2001
US,education - elementary and secondary instructional,33192,121464454,8649,5878314,358052,35381,127342768,2001
US,education - elementary and secondary total,10065,24632907,6128,2982778,260048,11733,27615685,2001
US,education - higher education instructional,348962,1909806348,351027,484756234,23915428,485778,2394562582,2001
US,education - higher education other,716922,2249298425,739307,480900533,45916324,979068,2730198958,2001
US,education - other,94810,319814174,19988,21143786,1377347,102732,340957960,2001
US,libraries,484,1182880,228,138036,17242,588,1320916,2001
US,liquor stores,5773,15336573,3034,2332373,244088,7182,17668946,2001
US,other and unallocable,197319,746057924,18611,26247995,1523905,206033,772305919,2001
AL,total,74000,231806135,25791,23276649,1795057,84308,255082784,2001
AL,financial administration,2541,7780515,54,40638,5947,2575,7821153,2001
AL,other government administration,555,1939806,88,78786,5399,587,2018592,2001
AL,judicial and legal,3380,11748701,148,177385,14168,3461,11926086,2001
AL,police protection - officers,719,2700234,0,0,0,719,2700234,2001
AL,police protection - other,606,1482534,26,15862,1392,614,1498396,2001
AL,corrections,4573,13907750,13,14278,1875,4584,13922028,2001
AL,streets and highways,3797,10264332,54,42000,4782,3824,10306332,2001
AL,air transportation,0,0,0,0,0,0,0,2001
AL,water transport and terminals,426,1184745,2,1650,20,426,1186395,2001
AL,public welfare,3787,10248488,28,39064,2714,3802,10287552,2001
AL,health,4782,13198516,457,409046,55073,5094,13607562,2001
AL,hospitals,10280,29599086,1157,1700398,86771,10770,31299484,2001
AL,social insurance administration,1361,3567234,41,22747,3511,1381,3589981,2001
AL,solid waste management,0,0,0,0,0,0,0,2001
AL,sewerage,0,0,0,0,0,0,0,2001
AL,parks and recreation,408,892324,461,375975,28346,568,1268299,2001
AL,housing and community development,0,0,0,0,0,0,0,2001
AL,natural resources,2030,6166142,351,320419,49470,2309,6486561,2001
AL,water transport and terminals,0,0,0,0,0,0,0,2001
AL,electric power,0,0,0,0,0,0,0,2001
AL,gas supply,0,0,0,0,0,0,0,2001
AL,transit,0,0,0,0,0,0,0,2001
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,2001
AL,education - elementary and secondary total,0,0,0,0,0,0,0,2001
AL,education - higher education instructional,8903,43897843,7197,9800434,448097,11493,53698277,2001
AL,education - higher education other,20468,57102591,15091,9781198,1047542,26491,66883789,2001
AL,education - other,2703,8468239,130,95155,7689,2749,8563394,2001
AL,libraries,0,0,0,0,0,0,0,2001
AL,liquor stores,630,1350737,5,6531,620,634,1357268,2001
AL,other and unallocable,2051,6306318,488,355083,31641,2227,6661401,2001
AK,total,21839,84531914,5671,5045558,345400,23937,89577472,2001
AK,financial administration,939,3644236,24,36480,1930,952,3680716,2001
AK,other government administration,578,2070077,41,40930,2828,595,2111007,2001
AK,judicial and legal,1198,4938216,80,129683,5906,1234,5067899,2001
AK,police protection - officers,247,1458814,0,0,0,247,1458814,2001
AK,police protection - other,193,625458,77,23290,1903,204,648748,2001
AK,corrections,1655,6597625,25,37931,3156,1674,6635556,2001
AK,streets and highways,2833,11680672,26,31604,2538,2848,11712276,2001
AK,air transportation,0,0,0,0,0,0,0,2001
AK,water transport and terminals,0,0,0,0,0,0,0,2001
AK,public welfare,1626,5193328,157,187976,19440,1743,5381304,2001
AK,health,676,2603559,36,54438,3137,695,2657997,2001
AK,hospitals,246,853577,11,21132,1156,253,874709,2001
AK,social insurance administration,446,1516143,3,4340,257,448,1520483,2001
AK,solid waste management,0,0,0,0,0,0,0,2001
AK,sewerage,0,0,0,0,0,0,0,2001
AK,parks and recreation,84,289173,0,0,0,84,289173,2001
AK,housing and community development,0,0,0,0,0,0,0,2001
AK,natural resources,2077,7804129,61,60783,4541,2104,7864912,2001
AK,water transport and terminals,0,0,0,0,0,0,0,2001
AK,electric power,0,0,0,0,0,0,0,2001
AK,gas supply,0,0,0,0,0,0,0,2001
AK,transit,0,0,0,0,0,0,0,2001
AK,education - elementary and secondary instructional,1879,7037971,762,689764,49399,2209,7727735,2001
AK,education - elementary and secondary total,736,1991454,777,746908,60428,1151,2738362,2001
AK,education - higher education instructional,1073,6204385,1440,1495577,46374,1335,7699962,2001
AK,education - higher education other,2555,8536303,2050,1367977,134777,3316,9904280,2001
AK,education - other,361,1324671,47,55046,3822,384,1379717,2001
AK,libraries,0,0,0,0,0,0,0,2001
AK,liquor stores,0,0,0,0,0,0,0,2001
AK,other and unallocable,2437,10162123,54,61699,3808,2461,10223822,2001
AZ,total,56061,179302568,23516,20001455,1614849,65185,199304023,2001
AZ,financial administration,3594,9924084,45,80605,3845,3616,10004689,2001
AZ,other government administration,593,1816225,138,248949,7696,637,2065174,2001
AZ,judicial and legal,1374,5788273,76,159481,7594,1417,5947754,2001
AZ,police protection - officers,1032,4198698,1,1103,66,1032,4199801,2001
AZ,police protection - other,839,2653897,5,7069,461,842,2660966,2001
AZ,corrections,9515,26979262,94,193262,10361,9574,27172524,2001
AZ,streets and highways,3039,9486448,0,0,0,3039,9486448,2001
AZ,air transportation,0,0,0,0,0,0,0,2001
AZ,water transport and terminals,0,0,0,0,0,0,0,2001
AZ,public welfare,5564,13809151,120,188980,9026,5615,13998131,2001
AZ,health,2218,6229007,34,62397,3828,2239,6291404,2001
AZ,hospitals,694,2225615,62,107124,5635,726,2332739,2001
AZ,social insurance administration,2163,4957117,11,12607,1269,2170,4969724,2001
AZ,solid waste management,0,0,0,0,0,0,0,2001
AZ,sewerage,0,0,0,0,0,0,0,2001
AZ,parks and recreation,396,1021013,103,50105,8610,444,1071118,2001
AZ,housing and community development,0,0,0,0,0,0,0,2001
AZ,natural resources,2029,6692771,639,575871,48541,2303,7268642,2001
AZ,water transport and terminals,0,0,0,0,0,0,0,2001
AZ,electric power,8,34432,0,0,0,8,34432,2001
AZ,gas supply,0,0,0,0,0,0,0,2001
AZ,transit,0,0,0,0,0,0,0,2001
AZ,education - elementary and secondary instructional,0,0,0,0,0,0,0,2001
AZ,education - elementary and secondary total,0,0,0,0,0,0,0,2001
AZ,education - higher education instructional,4995,28811252,6283,7759572,488681,7756,36570824,2001
AZ,education - higher education other,11869,37880075,15340,9937111,968271,17340,47817186,2001
AZ,education - other,2786,7254496,423,489281,42911,3028,7743777,2001
AZ,libraries,0,0,0,0,0,0,0,2001
AZ,liquor stores,0,0,0,0,0,0,0,2001
AZ,other and unallocable,3353,9540752,142,127938,8054,3399,9668690,2001
AR,total,46455,134948819,14133,9337818,842744,51230,144286637,2001
AR,financial administration,1848,4625203,86,76602,8173,1895,4701805,2001
AR,other government administration,529,1707323,78,137932,9605,584,1845255,2001
AR,judicial and legal,1202,3946549,114,279286,10851,1263,4225835,2001
AR,police protection - officers,568,1718484,0,0,0,568,1718484,2001
AR,police protection - other,606,1539706,4,5938,572,610,1545644,2001
AR,corrections,4218,8924630,19,24883,2183,4230,8949513,2001
AR,streets and highways,3407,8430086,62,62638,8639,3456,8492724,2001
AR,air transportation,0,0,0,0,0,0,0,2001
AR,water transport and terminals,0,0,0,0,0,0,0,2001
AR,public welfare,2159,5449928,0,0,0,2159,5449928,2001
AR,health,4612,11605451,292,385011,31603,4791,11990462,2001
AR,hospitals,4121,11292239,149,200305,8473,4169,11492544,2001
AR,social insurance administration,875,2643226,229,232946,25992,1022,2876172,2001
AR,solid waste management,0,0,0,0,0,0,0,2001
AR,sewerage,0,0,0,0,0,0,0,2001
AR,parks and recreation,610,1285513,257,142373,24148,746,1427886,2001
AR,housing and community development,0,0,0,0,0,0,0,2001
AR,natural resources,1797,4451445,504,283460,31823,1977,4734905,2001
AR,water transport and terminals,0,0,0,0,0,0,0,2001
AR,electric power,0,0,0,0,0,0,0,2001
AR,gas supply,0,0,0,0,0,0,0,2001
