state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_employees,march_pay,year
US,total,3803914,17574856249,1521697,2004363709,100245300,4377812,5325611,19579219958,2010
US,financial administration,158241,687501071,10596,19415636,1057049,164344,168837,706916707,2010
US,other government administration,48696,223856494,10726,21430460,877635,53782,59422,245286954,2010
US,judicial and legal,171364,878412788,9774,22826192,896665,176496,181138,901238980,2010
US,police protection - officers,68083,407966693,1004,1645736,42482,68326,69087,409612429,2010
US,police protection - other,37525,147533711,2128,3499673,176797,38538,39653,151033384,2010
US,corrections,467000,1889413105,9596,25211224,930908,472306,476596,1914624329,2010
US,highways,223711,957280157,11691,26092176,1142281,230370,235402,983372333,2010
US,air transportation,3110,16048270,86,159831,6773,3149,3196,16208101,2010
US,water transport and terminals,4713,24373822,112,124758,6717,4752,4825,24498580,2010
US,public welfare,228898,849139493,12184,26217075,1229377,235934,241082,875356568,2010
US,health,185267,766841932,14513,34213310,1432171,193456,199780,801055242,2010
US,hospitals,366566,1617285403,71593,220180261,7487558,409195,438159,1837465664,2010
US,social insurance administration,82597,341113215,9023,20244996,1012993,88456,91620,361358211,2010
US,solid waste management,2134,10975333,99,212051,9640,2189,2233,11187384,2010
US,sewerage,1708,10050094,49,223881,3811,1730,1757,10273975,2010
US,parks and recreation,28225,99244524,13716,16039846,1052963,34271,41941,115284370,2010
US,housing and community development,0,0,0,0,0,0,0,0,2010
US,natural resources,125432,532208608,29259,43763829,2599709,140242,154691,575972437,2010
US,water transport and terminals,698,3906202,25,103598,2499,714,723,4009800,2010
US,electric power,4080,26851776,79,211666,8208,4126,4159,27063442,2010
US,gas supply,0,0,0,0,0,0,0,0,2010
US,transit,31276,193463338,1547,3152488,166190,32213,32823,196615826,2010
US,education - elementary and secondary instructional,33078,170677048,11530,11604057,522331,36203,44608,182281105,2010
US,education - elementary and secondary other,13435,39117574,6369,5362300,330483,15542,19804,44479874,2010
US,education - higher education instructional,403654,2872842781,414999,690718905,25381350,549071,818653,3563561686,2010
US,education - higher education other,845213,3596549529,846664,755313044,51025700,1136849,1691877,4351862573,2010
US,education - other,80394,352009061,13849,22285774,1042270,86377,94243,374294835,2010
US,libraries,488,1475844,210,127948,11938,555,698,1603792,2010
US,liquor stores,6486,21834131,5310,8133657,570307,9822,11796,29967788,2010
US,other and unallocable,181842,836884252,14966,25849337,1218495,188804,196808,862733589,2010
AL,total,80086,328241691,27571,28845680,1666665,89632,107657,357087371,2010
AL,financial administration,2490,11109820,57,54490,3914,2512,2547,11164310,2010
AL,other government administration,518,2409256,125,208400,10323,577,643,2617656,2010
AL,judicial and legal,3496,14845154,71,158748,6740,3534,3567,15003902,2010
AL,police protection - officers,866,3834116,0,0,0,866,866,3834116,2010
AL,police protection - other,775,2442940,0,0,0,775,775,2442940,2010
AL,corrections,5454,17624142,49,92218,5880,5487,5503,17716360,2010
AL,highways,4597,13594902,114,125254,9120,4649,4711,13720156,2010
AL,air transportation,0,0,0,0,0,0,0,0,2010
AL,water transport and terminals,564,2497584,1,1651,40,564,565,2499235,2010
AL,public welfare,4293,14994464,87,173334,8726,4342,4380,15167798,2010
AL,health,5678,21580553,494,605763,63795,6038,6172,22186316,2010
AL,hospitals,11309,44914507,1442,3858016,134725,12070,12751,48772523,2010
AL,social insurance administration,922,3591024,159,228186,22632,1050,1081,3819210,2010
AL,solid waste management,0,0,0,0,0,0,0,0,2010
AL,sewerage,0,0,0,0,0,0,0,0,2010
AL,parks and recreation,429,1191030,188,155660,17914,530,617,1346690,2010
AL,housing and community development,0,0,0,0,0,0,0,0,2010
AL,natural resources,2158,8468317,125,147022,10891,2220,2283,8615339,2010
AL,water transport and terminals,0,0,0,0,0,0,0,0,2010
AL,electric power,0,0,0,0,0,0,0,0,2010
AL,gas supply,0,0,0,0,0,0,0,0,2010
AL,transit,0,0,0,0,0,0,0,0,2010
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2010
AL,education - elementary and secondary other,0,0,0,0,0,0,0,0,2010
AL,education - higher education instructional,9255,65640150,9020,10763434,466719,11950,18275,76403584,2010
AL,education - higher education other,21549,77950582,15082,11641960,851594,26435,36631,89592542,2010
AL,education - other,2934,11030692,140,129926,6416,2969,3074,11160618,2010
AL,libraries,0,0,0,0,0,0,0,0,2010
AL,liquor stores,728,1940452,9,15330,876,733,737,1955782,2010
AL,other and unallocable,2071,8582006,408,486288,46360,2331,2479,9068294,2010
AK,total,24558,127123285,5385,7081828,368364,26689,29943,134205113,2010
AK,financial administration,1084,5843406,32,61126,2964,1102,1116,5904532,2010
AK,other government administration,792,4005912,49,91172,3890,815,841,4097084,2010
AK,judicial and legal,1416,8055996,53,109486,4250,1441,1469,8165482,2010
AK,police protection - officers,295,2223662,0,0,0,295,295,2223662,2010
AK,police protection - other,373,1683184,34,20764,1350,381,407,1703948,2010
AK,corrections,1897,9066770,68,133784,7548,1942,1965,9200554,2010
AK,highways,3065,16772964,42,69238,4038,3089,3107,16842202,2010
AK,air transportation,0,0,0,0,0,0,0,0,2010
AK,water transport and terminals,0,0,0,0,0,0,0,0,2010
AK,public welfare,1796,7680706,125,205292,16701,1897,1921,7885998,2010
AK,health,730,3919678,21,36912,1778,741,751,3956590,2010
AK,hospitals,226,1227344,29,83098,3498,247,255,1310442,2010
AK,social insurance administration,433,1858788,9,11718,517,436,442,1870506,2010
AK,solid waste management,0,0,0,0,0,0,0,0,2010
AK,sewerage,0,0,0,0,0,0,0,0,2010
AK,parks and recreation,101,459440,2,5710,230,102,103,465150,2010
AK,housing and community development,0,0,0,0,0,0,0,0,2010
AK,natural resources,2334,11888449,123,246549,9162,2387,2457,12134998,2010
AK,water transport and terminals,0,0,0,0,0,0,0,0,2010
AK,electric power,0,0,0,0,0,0,0,0,2010
AK,gas supply,0,0,0,0,0,0,0,0,2010
AK,transit,0,0,0,0,0,0,0,0,2010
AK,education - elementary and secondary instructional,2034,8830118,466,632263,33161,2236,2500,9462381,2010
AK,education - elementary and secondary other,667,2603958,702,583206,39460,905,1369,3187164,2010
AK,education - higher education instructional,1209,9791107,1061,1505752,77827,1649,2270,11296859,2010
AK,education - higher education other,2938,14061670,2451,3168287,155711,3818,5389,17229957,2010
AK,education - other,267,1332308,50,20969,1735,277,317,1353277,2010
AK,libraries,0,0,0,0,0,0,0,0,2010
AK,liquor stores,0,0,0,0,0,0,0,0,2010
AK,other and unallocable,2901,15817825,68,96502,4544,2929,2969,15914327,2010
AZ,total,57260,249945573,25630,27593041,1689314,66807,82890,277538614,2010
AZ,financial administration,2982,11672444,40,90086,3486,3000,3022,11762530,2010
