state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_employees,march_pay,year
US,total,3818577,16974808716,1451002,1751084555,95039718,4362688,5269579,18725893271,2008
US,financial administration,165576,699297421,11034,19380815,1119642,172014,176610,718678236,2008
US,other government administration,49711,221752586,11126,21182839,942299,55214,60837,242935425,2008
US,judicial and legal,170853,839406773,9944,22961486,948112,176319,180797,862368259,2008
US,police protection - officers,67219,384734573,712,1156761,29566,67388,67931,385891334,2008
US,police protection - other,39587,151748698,2522,3280280,187195,40656,42109,155028978,2008
US,corrections,475587,1896745369,10172,24604830,1020795,481390,485759,1921350199,2008
US,highways,231896,990442790,10040,21251511,887888,236977,241936,1011694301,2008
US,air transportation,3119,15473258,59,121575,6260,3156,3178,15594833,2008
US,water transport and terminals,5201,24738335,64,114663,5911,5235,5265,24852998,2008
US,public welfare,236496,846423970,11014,21903024,1124483,242925,247510,868326994,2008
US,health,178510,722353339,13702,27933071,1253185,185667,192212,750286410,2008
US,hospitals,377749,1594994806,63503,161712790,6426800,414537,441252,1756707596,2008
US,social insurance administration,75456,308193830,5321,11540724,620203,79029,80777,319734554,2008
US,solid waste management,1868,10075043,103,257200,9568,1922,1971,10332243,2008
US,sewerage,1755,9927321,48,204309,4963,1784,1803,10131630,2008
US,parks and recreation,27549,97376388,12871,17801983,1271650,34916,40420,115178371,2008
US,housing and community development,0,0,0,0,0,0,0,0,2008
US,natural resources,131051,547718076,28425,40114471,2592698,145825,159476,587832547,2008
US,water transport and terminals,740,4068296,38,98461,3065,756,778,4166757,2008
US,electric power,4035,26055144,88,260674,9566,4089,4123,26315818,2008
US,gas supply,0,0,0,0,0,0,0,0,2008
US,transit,31160,180206718,1618,3122508,183808,32198,32778,183329226,2008
US,education - elementary and secondary instructional,36460,185868364,9518,10377911,464656,39226,45978,196246275,2008
US,education - elementary and secondary other,10791,33583500,8656,7002775,481473,13742,19447,40586275,2008
US,education - higher education instructional,389610,2632014425,397391,633477957,25313635,534564,787001,3265492382,2008
US,education - higher education other,826390,3336242962,812535,654576662,47715621,1099138,1638925,3990819624,2008
US,education - other,87753,369227589,13402,20791722,1019229,93591,101155,390019311,2008
US,libraries,473,1585514,305,280610,22654,601,778,1866124,2008
US,liquor stores,6385,20326705,3038,3000887,275064,7953,9423,23327592,2008
US,other and unallocable,185597,824226923,13753,22572056,1099729,191876,199350,846798979,2008
AL,total,79593,317591532,28337,27608260,1719794,89456,107930,345199792,2008
AL,financial administration,2642,10521969,92,98971,9381,2694,2734,10620940,2008
AL,other government administration,563,2478646,96,136221,6983,602,659,2614867,2008
AL,judicial and legal,3582,14521518,79,143581,3173,3601,3661,14665099,2008
AL,police protection - officers,686,3250636,0,0,0,686,686,3250636,2008
AL,police protection - other,668,2153989,0,0,0,668,668,2153989,2008
AL,corrections,5136,15292405,24,37448,2016,5147,5160,15329853,2008
AL,highways,4582,15089268,115,74734,9200,4634,4697,15164002,2008
AL,air transportation,0,0,0,0,0,0,0,0,2008
AL,water transport and terminals,657,2699803,1,1500,30,657,658,2701303,2008
AL,public welfare,4420,15068776,41,72956,4670,4446,4461,15141732,2008
AL,health,5767,20261691,526,564587,61163,6113,6293,20826278,2008
AL,hospitals,10951,40919007,1758,4347992,152452,11812,12709,45266999,2008
AL,social insurance administration,844,3268372,45,55618,5224,874,889,3323990,2008
AL,solid waste management,0,0,0,0,0,0,0,0,2008
AL,sewerage,0,0,0,0,0,0,0,0,2008
AL,parks and recreation,496,1290371,244,193300,25062,638,740,1483671,2008
AL,housing and community development,0,0,0,0,0,0,0,0,2008
AL,natural resources,2147,8241929,355,359668,30826,2322,2502,8601597,2008
AL,water transport and terminals,0,0,0,0,0,0,0,0,2008
AL,electric power,0,0,0,0,0,0,0,0,2008
AL,gas supply,0,0,0,0,0,0,0,0,2008
AL,transit,0,0,0,0,0,0,0,0,2008
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2008
AL,education - elementary and secondary other,0,0,0,0,0,0,0,0,2008
AL,education - higher education instructional,9429,64476259,8628,9835335,467347,12129,18057,74311594,2008
AL,education - higher education other,20888,76567051,15633,10881200,874732,25917,36521,87448251,2008
AL,education - other,3213,11116759,170,235182,12790,3285,3383,11351941,2008
AL,libraries,0,0,0,0,0,0,0,0,2008
AL,liquor stores,737,1899182,10,14938,918,742,747,1914120,2008
AL,other and unallocable,2185,8473901,520,555029,53827,2489,2705,9028930,2008
AK,total,23883,111279888,5265,6350075,347242,25885,29148,117629963,2008
AK,financial administration,1066,5101743,44,44431,2294,1079,1110,5146174,2008
AK,other government administration,738,3184765,52,63639,3035,755,790,3248404,2008
AK,judicial and legal,1342,6668868,72,122624,5127,1371,1414,6791492,2008
AK,police protection - officers,253,1746778,3,4879,232,254,256,1751657,2008
AK,police protection - other,155,536736,50,16333,1128,161,205,553069,2008
AK,corrections,1796,8290016,58,77801,4828,1824,1854,8367817,2008
AK,highways,3005,14930200,43,49323,2998,3022,3048,14979523,2008
AK,air transportation,0,0,0,0,0,0,0,0,2008
AK,water transport and terminals,0,0,0,0,0,0,0,0,2008
AK,public welfare,1725,6714582,135,171338,15895,1814,1860,6885920,2008
AK,health,661,3112982,22,32403,1738,671,683,3145385,2008
AK,hospitals,208,1025455,25,48703,2973,225,233,1074158,2008
AK,social insurance administration,381,1485333,14,14132,819,386,395,1499465,2008
AK,solid waste management,0,0,0,0,0,0,0,0,2008
AK,sewerage,0,0,0,0,0,0,0,0,2008
AK,parks and recreation,92,362007,1,1772,80,92,93,363779,2008
AK,housing and community development,0,0,0,0,0,0,0,0,2008
AK,natural resources,2332,10340211,138,207234,9794,2388,2470,10547445,2008
AK,water transport and terminals,0,0,0,0,0,0,0,0,2008
AK,electric power,0,0,0,0,0,0,0,0,2008
AK,gas supply,0,0,0,0,0,0,0,0,2008
AK,transit,0,0,0,0,0,0,0,0,2008
AK,education - elementary and secondary instructional,2021,8341947,487,607795,35389,2241,2508,8949742,2008
AK,education - elementary and secondary other,809,2375640,511,480470,35060,1028,1320,2856110,2008
AK,education - higher education instructional,1122,8204546,1031,1382654,33936,1314,2153,9587200,2008
AK,education - higher education other,2962,13073345,2465,2899443,185037,4007,5427,15972788,2008
AK,education - other,241,1069645,37,21036,1686,251,278,1090681,2008
AK,libraries,0,0,0,0,0,0,0,0,2008
AK,liquor stores,0,0,0,0,0,0,0,0,2008
AK,other and unallocable,2974,14715089,77,104065,5193,3002,3051,14819154,2008
AZ,total,63084,268568593,26367,28172571,1755146,73004,89451,296741164,2008
AZ,financial administration,3818,14051810,58,146531,5869,3851,3876,14198341,2008
AZ,other government administration,640,2710112,156,282789,11846,708,796,2992901,2008
AZ,judicial and legal,2276,10014999,105,270468,9608,2330,2381,10285467,2008
AZ,police protection - officers,1267,6966293,0,0,0,1267,1267,6966293,2008
AZ,police protection - other,899,3954572,35,69586,2721,915,934,4024158,2008
AZ,corrections,10463,39262810,32,118973,3339,10482,10495,39381783,2008
AZ,highways,2951,11915788,59,128049,5267,2981,3010,12043837,2008
AZ,air transportation,0,0,0,0,0,0,0,0,2008
AZ,water transport and terminals,0,0,0,0,0,0,0,0,2008
AZ,public welfare,5650,18326640,138,368270,13430,5726,5788,18694910,2008
AZ,health,3271,11858771,57,145232,5735,3303,3328,12004003,2008
AZ,hospitals,732,2997245,31,89680,2965,749,763,3086925,2008
AZ,social insurance administration,1751,5016231,70,99251,7521,1793,1821,5115482,2008
AZ,solid waste management,0,0,0,0,0,0,0,0,2008
AZ,sewerage,0,0,0,0,0,0,0,0,2008
AZ,parks and recreation,414,1279563,36,51473,4891,442,450,1331036,2008
