state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_employees,march_pay,year
US,total,3779258,17896466096,1534267,2075395894,101208722,4359380,5313525,19971861990,2011
US,financial administration,156478,698943007,9923,19000352,996058,162283,166401,717943359,2011
US,other government administration,47816,221979710,10526,21689766,879449,52935,58342,243669476,2011
US,judicial and legal,167030,879804374,9790,23556923,878403,172177,176820,903361297,2011
US,police protection - officers,66671,415881399,609,1072513,31071,66850,67280,416953912,2011
US,police protection - other,36601,148136633,1999,3483019,183716,37656,38600,151619652,2011
US,corrections,457250,1896879032,8874,24571562,927765,462549,466124,1921450594,2011
US,highways,218127,960745935,11636,25584566,1179034,225003,229763,986330501,2011
US,air transportation,3063,16208012,70,142770,5750,3097,3133,16350782,2011
US,water transport and terminals,4599,24071948,107,86531,4810,4625,4706,24158479,2011
US,public welfare,224812,853763980,11642,26634923,1285054,232198,236454,880398903,2011
US,health,189298,800195443,13861,31405042,1240753,196424,203159,831600485,2011
US,hospitals,355365,1613581803,70958,249213880,7680329,399219,426323,1862795683,2011
US,social insurance administration,82327,344051736,8474,18727997,924758,87702,90801,362779733,2011
US,solid waste management,1954,11049461,101,221573,10420,2014,2055,11271034,2011
US,sewerage,1695,9932510,48,228699,3845,1717,1743,10161209,2011
US,parks and recreation,27993,101562113,13325,15137376,1043357,34016,41318,116699489,2011
US,housing and community development,0,0,0,0,0,0,0,0,2011
US,natural resources,123611,536100174,28206,43521798,2476072,137735,151817,579621972,2011
US,water transport and terminals,716,3885596,28,108239,2472,731,744,3993835,2011
US,electric power,4059,27293645,42,126143,4741,4085,4101,27419788,2011
US,gas supply,0,0,0,0,0,0,0,0,2011
US,transit,31804,186656584,1733,3301459,174059,32787,33537,189958043,2011
US,education - elementary and secondary instructional,31610,170231607,11397,10674774,475810,34522,43007,180906381,2011
US,education - elementary and secondary other,12755,37143009,5183,4745167,222098,14138,17938,41888176,2011
US,education - higher education instructional,406426,2977122071,428441,731300650,26625609,559007,834867,3708422721,2011
US,education - higher education other,860344,3740943358,854647,765753922,51270550,1153516,1714991,4506697280,2011
US,education - other,79846,352918468,13389,22384310,1013142,85724,93235,375302778,2011
US,libraries,466,1595184,220,218172,17392,564,686,1813356,2011
US,liquor stores,6450,22104642,5360,8123664,554684,9697,11810,30228306,2011
US,other and unallocable,180092,843684662,13678,24380104,1097521,186409,193770,868064766,2011
AL,total,80409,335458306,28418,28641636,1634457,89768,108827,364099942,2011
AL,financial administration,2601,11243034,50,63882,4643,2627,2651,11306916,2011
AL,other government administration,510,2593402,115,174630,9602,564,625,2768032,2011
AL,judicial and legal,3299,14982720,88,164812,7278,3340,3387,15147532,2011
AL,police protection - officers,831,3724426,0,0,0,831,831,3724426,2011
AL,police protection - other,773,2427068,0,0,0,773,773,2427068,2011
AL,corrections,5416,17460781,58,118300,7080,5456,5474,17579081,2011
AL,highways,4672,15995536,99,60812,7920,4717,4771,16056348,2011
AL,air transportation,0,0,0,0,0,0,0,0,2011
AL,water transport and terminals,570,2437340,1,1650,60,570,571,2438990,2011
AL,public welfare,4315,14877704,95,76680,8974,4366,4410,14954384,2011
AL,health,5830,22008313,442,543479,56665,6150,6272,22551792,2011
AL,hospitals,11571,46777748,1449,2859323,109168,12187,13020,49637071,2011
AL,social insurance administration,905,3421928,88,132430,12750,977,993,3554358,2011
AL,solid waste management,0,0,0,0,0,0,0,0,2011
AL,sewerage,0,0,0,0,0,0,0,0,2011
AL,parks and recreation,380,1013502,243,234694,28308,540,623,1248196,2011
AL,housing and community development,0,0,0,0,0,0,0,0,2011
AL,natural resources,2037,7761786,141,171625,13424,2113,2178,7933411,2011
AL,water transport and terminals,0,0,0,0,0,0,0,0,2011
AL,electric power,0,0,0,0,0,0,0,0,2011
AL,gas supply,0,0,0,0,0,0,0,0,2011
AL,transit,0,0,0,0,0,0,0,0,2011
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2011
AL,education - elementary and secondary other,0,0,0,0,0,0,0,0,2011
AL,education - higher education instructional,9352,67479665,9877,11490665,473447,12085,19229,78970330,2011
AL,education - higher education other,21540,80095277,15012,11725690,834162,26326,36552,91820967,2011
AL,education - other,2991,10902983,160,244204,9713,3044,3151,11147187,2011
AL,libraries,0,0,0,0,0,0,0,0,2011
AL,liquor stores,740,1925854,10,16426,938,745,750,1942280,2011
AL,other and unallocable,2076,8329239,490,562334,50325,2357,2566,8891573,2011
AK,total,24633,130839514,5603,7529911,363302,26747,30236,138369425,2011
AK,financial administration,1078,6007614,35,44796,1900,1090,1113,6052410,2011
