state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_employees,march_pay,year
US,total,3837855,17520216120,1507920,1904625008,99702424,4407909,5345775,19424841128,2009
US,financial administration,162840,701827334,11691,21090529,1228241,169874,174531,722917863,2009
US,other government administration,50802,232582370,11280,23074804,979003,56439,62082,255657174,2009
US,judicial and legal,173414,875235106,9693,22443497,912014,178628,183107,897678603,2009
US,police protection - officers,67439,394564917,575,976202,29631,67613,68014,395541119,2009
US,police protection - other,37521,144562919,2298,3580615,198277,38654,39819,148143534,2009
US,corrections,479480,1948741637,10555,27924242,1032613,485375,490035,1976665879,2009
US,highways,229873,994326458,13268,28213729,1276517,237280,243141,1022540187,2009
US,air transportation,3099,16108683,58,115136,3830,3121,3157,16223819,2009
US,water transport and terminals,5056,24030155,87,99272,4066,5079,5143,24129427,2009
US,public welfare,235314,862615400,12683,26728094,1265138,242535,247997,889343494,2009
US,health,176707,744413885,14819,32474744,1377663,184539,191526,776888629,2009
US,hospitals,380994,1657002233,65619,170942912,6495833,417793,446613,1827945145,2009
US,social insurance administration,76355,313329741,7793,16982449,879955,81454,84148,330312190,2009
US,solid waste management,1938,10276923,93,235780,9825,1994,2031,10512703,2009
US,sewerage,1740,9930637,48,213369,3673,1761,1788,10144006,2009
US,parks and recreation,28424,102996759,12997,18521665,1167380,35159,41421,121518424,2009
US,housing and community development,0,0,0,0,0,0,0,0,2009
US,natural resources,129698,548323327,30472,44743052,2805834,145727,160170,593066379,2009
US,water transport and terminals,740,3794863,29,100705,2530,754,769,3895568,2009
US,electric power,4065,27246696,74,217849,7223,4106,4139,27464545,2009
US,gas supply,0,0,0,0,0,0,0,0,2009
US,transit,31424,189216419,1527,3135124,178240,32429,32951,192351543,2009
US,education - elementary and secondary instructional,34730,184240049,12569,14148961,543329,37985,47299,198389010,2009
US,education - elementary and secondary other,13314,39996540,6302,4966277,267730,14990,19616,44962817,2009
US,education - higher education instructional,401040,2808347552,410039,676797121,25711949,548236,811079,3485144673,2009
US,education - higher education other,837135,3457512160,838363,712098042,50505226,1125535,1675498,4169610202,2009
US,education - other,81603,358507438,13948,21976547,1045688,87564,95551,380483985,2009
US,libraries,466,1681014,268,204786,17368,564,734,1885800,2009
US,liquor stores,6492,21184545,5345,7341106,534806,9617,11837,28525651,2009
US,other and unallocable,186152,847620360,15427,25278399,1218842,193104,201579,872898759,2009
AL,total,80052,325585598,27310,27649375,1641867,89467,107362,353234973,2009
AL,financial administration,2762,11899126,74,83196,6735,2800,2836,11982322,2009
AL,other government administration,561,2656576,94,125854,6223,596,655,2782430,2009
AL,judicial and legal,2991,10841128,86,166750,6842,3030,3077,11007878,2009
AL,police protection - officers,858,3953632,0,0,0,858,858,3953632,2009
AL,police protection - other,835,2551722,0,0,0,835,835,2551722,2009
AL,corrections,5268,17282038,33,58800,5280,5298,5301,17340838,2009
AL,highways,4637,16134264,107,95958,8560,4685,4744,16230222,2009
AL,air transportation,0,0,0,0,0,0,0,0,2009
AL,water transport and terminals,669,2652324,7,14264,604,672,676,2666588,2009
AL,public welfare,4225,15156470,44,75378,3710,4246,4269,15231848,2009
AL,health,5809,22100652,500,577002,59393,6145,6309,22677654,2009
AL,hospitals,11108,42405318,1723,4289796,149845,11954,12831,46695114,2009
AL,social insurance administration,832,3593842,81,108858,10586,892,913,3702700,2009
AL,solid waste management,0,0,0,0,0,0,0,0,2009
AL,sewerage,0,0,0,0,0,0,0,0,2009
AL,parks and recreation,427,1142402,189,147788,17994,529,616,1290190,2009
AL,housing and community development,0,0,0,0,0,0,0,0,2009
AL,natural resources,2220,8402076,166,213577,14859,2303,2386,8615653,2009
AL,water transport and terminals,0,0,0,0,0,0,0,0,2009
AL,electric power,0,0,0,0,0,0,0,0,2009
AL,gas supply,0,0,0,0,0,0,0,0,2009
AL,transit,0,0,0,0,0,0,0,0,2009
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
AL,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
AL,education - higher education instructional,9262,64924638,8865,10308197,467562,11963,18127,75232835,2009
AL,education - higher education other,21696,78164677,14723,10662855,827034,26449,36419,88827532,2009
AL,education - other,3032,11175403,136,201362,10077,3089,3168,11376765,2009
AL,libraries,0,0,0,0,0,0,0,0,2009
AL,liquor stores,737,1977506,9,13206,760,741,746,1990712,2009
AL,other and unallocable,2123,8571804,473,506534,45803,2382,2596,9078338,2009
AK,total,24183,122809259,5189,6639635,345258,26183,29372,129448894,2009
AK,financial administration,1074,5593911,51,48222,2082,1086,1125,5642133,2009
AK,other government administration,767,3609684,48,83687,3751,789,815,3693371,2009
AK,judicial and legal,1397,7626416,58,103560,3717,1419,1455,7729976,2009
AK,police protection - officers,259,1895272,0,0,0,259,259,1895272,2009
AK,police protection - other,190,724144,67,29228,1624,200,257,753372,2009
AK,corrections,1873,10451332,59,84910,4991,1903,1932,10536242,2009
AK,highways,3022,17177030,44,56166,3460,3043,3066,17233196,2009
AK,air transportation,0,0,0,0,0,0,0,0,2009
AK,water transport and terminals,0,0,0,0,0,0,0,0,2009
AK,public welfare,1772,7372698,144,186535,17747,1879,1916,7559233,2009
AK,health,667,3415977,17,30169,1331,675,684,3446146,2009
AK,hospitals,213,1065638,27,55790,3697,235,240,1121428,2009
AK,social insurance administration,399,1707782,8,9001,444,402,407,1716783,2009
AK,solid waste management,0,0,0,0,0,0,0,0,2009
AK,sewerage,0,0,0,0,0,0,0,0,2009
AK,parks and recreation,89,388458,3,3720,251,91,92,392178,2009
AK,housing and community development,0,0,0,0,0,0,0,0,2009
AK,natural resources,2360,11466450,115,197685,9063,2413,2475,11664135,2009
AK,water transport and terminals,0,0,0,0,0,0,0,0,2009
AK,electric power,0,0,0,0,0,0,0,0,2009
AK,gas supply,0,0,0,0,0,0,0,0,2009
AK,transit,0,0,0,0,0,0,0,0,2009
AK,education - elementary and secondary instructional,2133,8834186,445,591788,32948,2334,2578,9425974,2009
AK,education - elementary and secondary other,695,2273519,524,533925,38380,928,1219,2807444,2009
AK,education - higher education instructional,1097,8661044,1034,1442811,33451,1286,2131,10103855,2009
AK,education - higher education other,2917,13394857,2434,3069901,182498,3948,5351,16464758,2009
AK,education - other,257,1210650,49,21672,1891,268,306,1232322,2009
