state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
US,2012,total,3729145,18050780015,1555879,2118108335,102091754,4314932,5285024,20168888350
US,2012,financial administration,154737,705568998,9123,18589999,920660,160035,163860,724158997
US,2012,other government administration,46577,219493231,10336,22381486,889221,51701,56913,241874717
US,2012,judicial and legal,167998,894175884,8951,21169693,780989,172456,176949,915345577
US,2012,police protection total,99924,556626317,2791,4478818,203304,101086,102715,561105135
US,2012,police protection - officers,63340,405837819,607,898190,30459,63514,63947,406736009
US,2012,police protection - other,36584,150788498,2184,3580628,172845,37572,38768,154369126
US,2012,fire protection total,0,0,0,0,0,0,0,0
US,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
US,2012,fire protection - other,0,0,0,0,0,0,0,0
US,2012,corrections,443384,1863624512,8991,24598549,896594,448489,452375,1888223061
US,2012,highways,213918,965981808,10472,24332279,1024017,219855,224390,990314087
US,2012,air transportation,3109,16453186,65,132376,5550,3140,3174,16585562
US,2012,water transport and terminals,4633,25030255,122,261800,11727,4702,4755,25292055
US,2012,public welfare,222411,851020329,11394,25551930,1230583,229463,233805,876572259
US,2012,health,175604,772002558,15621,35589379,1358772,183378,191225,807591937
US,2012,hospitals,355972,1653098566,76495,265858649,8100355,402158,432467,1918957215
US,2012,social insurance administration,80141,341300329,7381,16699825,846630,85054,87522,358000154
US,2012,solid waste management,2242,12809974,95,181905,9109,2297,2337,12991879
US,2012,sewerage,1618,9631705,43,202350,3528,1639,1661,9834055
US,2012,parks and recreation,29866,106235064,10285,13573744,953365,35340,40151,119808808
US,2012,housing and community development,477,2327109,72,185382,9576,531,549,2512491
US,2012,natural resources,121274,533111515,24321,36788078,2139305,133541,145595,569899593
US,2012,water transport and terminals,753,4155719,29,82093,2257,766,782,4237812
US,2012,electric power,4083,27534127,51,163843,5617,4115,4134,27697970
US,2012,gas supply,0,0,0,0,0,0,0,0
US,2012,transit,30834,181945613,1616,3054720,157550,31725,32450,185000333
US,2012,education total,1388982,7469129048,1339234,1572860951,80985624,1853886,2728216,9041989999
US,2012,education - elementary and secondary total,41234,201939850,17253,18589294,832755,46354,58487,220529144
US,2012,education - elementary and secondary instructional,30533,165021630,12734,13225788,606645,34233,43267,178247418
US,2012,education - elementary and secondary other,10701,36918220,4519,5363506,226110,12121,15220,42281726
US,2012,education - higher education total,1267834,6912395753,1308463,1531000144,79089689,1721521,2576297,8443395897
US,2012,education - higher education instructional,406257,3047603468,427886,746638441,27479075,564188,834143,3794241909
US,2012,education - higher education other,861577,3864792285,880577,784361703,51610614,1157333,1742154,4649153988
US,2012,education - other,79914,354793445,13518,23271513,1063180,86011,93432,378064958
US,2012,libraries,500,1716434,220,219044,17392,598,720,1935478
US,2012,liquor stores,6703,22176390,4839,7233229,462036,9410,11542,29409619
US,2012,other and unallocable,173405,815631344,13332,23918213,1077993,179567,186737,839549557
