state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,equivalent_employees,march_pay,year
US,total,3682499,13463776932,1392195,1379399864,94794243,4227836,14843176796,2002
US,financial administration,160247,560525842,13235,19546722,1400531,168327,580072564,2002
US,other government administration,48801,179395048,12663,20536439,1103875,55185,199931487,2002
US,judicial and legal,154427,645536919,9740,18632843,972943,160043,664169762,2002
US,police protection - officers,63230,287042841,643,943821,24992,63373,287986662,2002
US,other employees,39940,137951194,2649,3012849,184424,40998,140964043,2002
US,corrections,456831,1479004755,10871,19605041,1129071,463291,1498609796,2002
US,highways,242172,841985860,10366,16779682,1057864,248272,858765542,2002
US,air transportation,3119,12820538,194,283355,15454,3208,13103893,2002
US,water transport and terminals,4430,17077087,95,128833,7970,4475,17205920,2002
US,public welfare,234317,723370710,10272,18689358,1195542,241217,742060068,2002
US,health,168273,579527532,13905,23825367,1407523,176345,603352899,2002
US,hospitals,376905,1204415210,54351,105619216,5659099,409336,1310034426,2002
US,social insurance administration,82658,287973230,9119,16356957,1059987,88786,304330187,2002
US,solid waste management,1775,7901122,105,289766,11957,1844,8190888,2002
US,sewerage,1963,9211792,60,192488,7983,2009,9404280,2002
US,parks and recreation,28168,82682908,13572,15287713,1405788,36245,97970621,2002
US,natural resources,135421,467990045,32705,37083537,2990163,152530,505073582,2002
US,water transport and terminals,747,3349979,21,57010,2427,761,3406989,2002
US,electric power,3827,20948813,80,173414,9753,3882,21122227,2002
US,transit,31278,145793302,2051,2883524,201148,32421,148676826,2002
US,instructional employees,37086,144245793,9821,6681073,376393,39450,150926866,2002
US,other employees,13908,35973882,7731,3530910,298765,15811,39504792,2002
US,instructional employees,356944,2028769829,363075,490683764,23996210,495039,2519453593,2002
US,other employees,742053,2447095880,775653,502024273,47065930,1012526,2949120153,2002
US,education - other,91516,318915425,16404,18703117,1135316,98098,337618542,2002
US,libraries,498,1306600,248,159516,18356,602,1466116,2002
US,liquor stores,5849,16001124,3342,2411859,245462,7268,18412983,2002
