state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
US,2014,total,3740501,18904367213,1589031,2215861769,102727758,4330051,5329532,21120228982
US,2014,financial administration,163723,781711236,9377,19790352,1001753,169481,173100,801501588
US,2014,other government administration,47038,229852908,10112,20757538,884304,52121,57150,250610446
US,2014,judicial and legal,168691,929780802,9259,22878731,815302,173339,177950,952659533
US,2014,police protection total,100279,578347039,2803,4222536,181761,101325,103082,582569575
US,2014,police protection - officers,64174,426537442,515,529780,18652,64281,64689,427067222
US,2014,police protection - other,36105,151809597,2288,3692756,163109,37044,38393,155502353
US,2014,fire protection total,0,0,0,0,0,0,0,0
US,2014,fire protection - firefighters,0,0,0,0,0,0,0,0
US,2014,fire protection - other,0,0,0,0,0,0,0,0
US,2014,corrections,434284,1937046150,9427,26042273,989860,439917,443711,1963088423
US,2014,highways,210122,993092080,11524,29118845,1112893,216554,221646,1022210925
US,2014,air transportation,3197,17601150,63,129500,5710,3231,3260,17730650
US,2014,water transport and terminals,4573,25724325,118,247450,9941,4629,4691,25971775
US,2014,public welfare,233180,917964484,10749,25391875,1209400,240104,243929,943356359
US,2014,health,173023,798222782,16553,39373413,1474455,181437,189576,837596195
US,2014,hospitals,354405,1699755828,78408,272934079,7937758,399630,432813,1972689907
US,2014,social insurance administration,72375,319820144,5335,13235187,563175,75615,77710,333055331
US,2014,solid waste management,2216,12907887,203,548054,23388,2349,2419,13455941
US,2014,sewerage,1684,10656757,51,282308,4565,1711,1735,10939065
US,2014,parks and recreation,29980,108150983,10647,13716192,954060,35471,40627,121867175
US,2014,housing and community development,597,3363416,63,149862,6511,634,660,3513278
US,2014,natural resources,120349,553966543,25596,39454354,2151950,132640,145945,593420897
US,2014,water transport and terminals,700,3938018,26,56995,1598,710,726,3995013
US,2014,electric power,3958,27817976,53,155823,4711,3984,4011,27973799
US,2014,gas supply,0,0,0,0,0,0,0,0
US,2014,transit,31279,201203068,1449,2751418,135224,32044,32728,203954486
US,2014,education total,1412266,7909260314,1367218,1650358595,81613386,1881065,2779484,9559618909
US,2014,education - elementary and secondary total,42109,211831565,18328,20496376,1104238,48883,60437,232327941
US,2014,education - elementary and secondary instructional,31635,173451208,12956,13602564,716346,35976,44591,187053772
US,2014,education - elementary and secondary other,10474,38380357,5372,6893812,387892,12907,15846,45274169
US,2014,education - higher education total,1291013,7329796865,1336039,1607641650,79497714,1747243,2627052,8937438515
US,2014,education - higher education instructional,413624,3235764991,430409,784305683,27115537,569378,844033,4020070674
US,2014,education - higher education other,877389,4094031874,905630,823335967,52382177,1177865,1783019,4917367841
US,2014,education - other,79144,367631884,12851,22220569,1011434,84939,91995,389852453
US,2014,libraries,532,1952018,245,210690,17904,633,777,2162708
US,2014,liquor stores,6048,20887169,5935,8301647,508742,9029,11983,29188816
US,2014,other and unallocable,166002,821344136,13817,25754052,1119407,172398,179819,847098188
AL,2014,total,78120,343733577,30725,31728888,1832271,88715,108845,375462465
AL,2014,financial administration,2429,10640190,65,87120,5962,2463,2494,10727310
AL,2014,other government administration,496,2516132,216,723300,23619,629,712,3239432
AL,2014,judicial and legal,3038,14222664,235,403690,27883,3195,3273,14626354
AL,2014,police protection total,1367,5115714,0,0,0,1367,1367,5115714
AL,2014,police protection - officers,689,3114570,0,0,0,689,689,3114570
AL,2014,police protection - other,678,2001144,0,0,0,678,678,2001144
AL,2014,fire protection total,0,0,0,0,0,0,0,0
AL,2014,fire protection - firefighters,0,0,0,0,0,0,0,0
AL,2014,fire protection - other,0,0,0,0,0,0,0,0
AL,2014,corrections,4778,15867932,137,255708,11188,4841,4915,16123640
AL,2014,highways,4190,14279100,61,45920,4734,4217,4251,14325020
AL,2014,air transportation,0,0,0,0,0,0,0,0
AL,2014,water transport and terminals,584,2832054,1,1775,80,584,585,2833829
AL,2014,public welfare,3909,13585608,93,160246,7974,3954,4002,13745854
AL,2014,health,4239,17417356,269,328624,18270,4342,4508,17745980
AL,2014,hospitals,11080,46919768,1726,3572003,133786,11874,12806,50491771
AL,2014,social insurance administration,903,3339512,79,103532,10216,961,982,3443044
AL,2014,solid waste management,0,0,0,0,0,0,0,0
AL,2014,sewerage,0,0,0,0,0,0,0,0
AL,2014,parks and recreation,367,1071930,279,286750,34098,560,646,1358680
AL,2014,housing and community development,0,0,0,0,0,0,0,0
AL,2014,natural resources,1941,7203936,137,152426,10763,2002,2078,7356362
AL,2014,water transport and terminals,0,0,0,0,0,0,0,0
AL,2014,electric power,0,0,0,0,0,0,0,0
AL,2014,gas supply,0,0,0,0,0,0,0,0
AL,2014,transit,0,0,0,0,0,0,0,0
AL,2014,education total,36153,178736690,26704,24769572,1470851,44670,62857,203506262
AL,2014,education - elementary and secondary total,0,0,0,0,0,0,0,0
AL,2014,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AL,2014,education - elementary and secondary other,0,0,0,0,0,0,0,0
AL,2014,education - higher education total,33281,167542191,26522,24545901,1461691,41747,59803,192088092
AL,2014,education - higher education instructional,9893,75359961,8837,11265721,462071,12561,18730,86625682
AL,2014,education - higher education other,23388,92182230,17685,13280180,999620,29186,41073,105462410
AL,2014,education - other,2872,11194499,182,223671,9160,2923,3054,11418170
AL,2014,libraries,0,0,0,0,0,0,0,0
AL,2014,liquor stores,741,2000236,13,24438,1452,749,754,2024674
AL,2014,other and unallocable,1905,7984755,710,813784,71395,2307,2615,8798539
AK,2014,total,25068,141572839,4899,6135427,340246,27049,29967,147708266
AK,2014,financial administration,1101,6652670,29,45908,2152,1113,1130,6698578
AK,2014,other government administration,737,4177438,41,58934,2458,752,778,4236372
AK,2014,judicial and legal,1486,9476004,41,93804,2774,1503,1527,9569808
AK,2014,police protection total,677,4642166,42,63836,3104,696,719,4706002
AK,2014,police protection - officers,310,2779906,0,0,0,310,310,2779906
AK,2014,police protection - other,367,1862260,42,63836,3104,386,409,1926096
AK,2014,fire protection total,0,0,0,0,0,0,0,0
AK,2014,fire protection - firefighters,0,0,0,0,0,0,0,0
AK,2014,fire protection - other,0,0,0,0,0,0,0,0
AK,2014,corrections,2196,12589446,53,109052,6872,2238,2249,12698498
AK,2014,highways,3157,18516548,63,103108,5104,3188,3220,18619656
AK,2014,air transportation,0,0,0,0,0,0,0,0
AK,2014,water transport and terminals,0,0,0,0,0,0,0,0
AK,2014,public welfare,1828,9081878,119,205946,17542,1934,1947,9287824
AK,2014,health,728,4196612,18,39194,1276,736,746,4235806
AK,2014,hospitals,226,1243194,34,84232,4734,255,260,1327426
AK,2014,social insurance administration,323,1590378,2,6136,174,324,325,1596514
AK,2014,solid waste management,0,0,0,0,0,0,0,0
AK,2014,sewerage,0,0,0,0,0,0,0,0
AK,2014,parks and recreation,115,504742,1,2788,86,116,116,507530
AK,2014,housing and community development,0,0,0,0,0,0,0,0
AK,2014,natural resources,2373,13525883,80,143638,5839,2409,2453,13669521
AK,2014,water transport and terminals,0,0,0,0,0,0,0,0
AK,2014,electric power,0,0,0,0,0,0,0,0
AK,2014,gas supply,0,0,0,0,0,0,0,0
AK,2014,transit,0,0,0,0,0,0,0,0
AK,2014,education total,7349,38640514,4324,5108075,284941,8992,11673,43748589
AK,2014,education - elementary and secondary total,2634,11279748,1280,1381265,77226,3103,3914,12661013
AK,2014,education - elementary and secondary instructional,1965,8993063,616,711198,40163,2209,2581,9704261
AK,2014,education - elementary and secondary other,669,2286685,664,670067,37063,894,1333,2956752
AK,2014,education - higher education total,4453,25832822,3011,3688006,205581,5614,7464,29520828
AK,2014,education - higher education instructional,1238,10608173,1067,1528282,62711,1592,2305,12136455
AK,2014,education - higher education other,3215,15224649,1944,2159724,142870,4022,5159,17384373
AK,2014,education - other,262,1527944,33,38804,2134,275,295,1566748
AK,2014,libraries,0,0,0,0,0,0,0,0
AK,2014,liquor stores,0,0,0,0,0,0,0,0
AK,2014,other and unallocable,2772,16735366,52,70776,3190,2793,2824,16806142
AZ,2014,total,65828,309231726,30516,36471289,2272692,78671,96344,345703015
AZ,2014,financial administration,2456,9511852,37,80239,3065,2473,2493,9592091
AZ,2014,other government administration,737,3021669,94,196193,6779,776,831,3217862
AZ,2014,judicial and legal,2094,10007235,70,226211,6588,2131,2164,10233446
AZ,2014,police protection total,1903,9584794,60,123753,4419,1928,1963,9708547
AZ,2014,police protection - officers,1140,6260963,2,3612,159,1141,1142,6264575
AZ,2014,police protection - other,763,3323831,58,120141,4260,787,821,3443972
AZ,2014,fire protection total,0,0,0,0,0,0,0,0
AZ,2014,fire protection - firefighters,0,0,0,0,0,0,0,0
AZ,2014,fire protection - other,0,0,0,0,0,0,0,0
AZ,2014,corrections,9579,34690262,18,53496,1304,9586,9597,34743758
AZ,2014,highways,2973,12900486,34,63984,2276,2986,3007,12964470
AZ,2014,air transportation,0,0,0,0,0,0,0,0
AZ,2014,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2014,public welfare,5658,18897704,97,216796,10008,5715,5755,19114500
AZ,2014,health,2340,9930260,33,99853,3562,2361,2373,10030113
AZ,2014,hospitals,6344,29629156,1134,3690225,124392,7046,7478,33319381
AZ,2014,social insurance administration,1920,5671076,51,71621,4666,1946,1971,5742697
AZ,2014,solid waste management,0,0,0,0,0,0,0,0
AZ,2014,sewerage,0,0,0,0,0,0,0,0
AZ,2014,parks and recreation,352,915824,4,1404,38,352,356,917228
AZ,2014,housing and community development,0,0,0,0,0,0,0,0
AZ,2014,natural resources,1406,5986805,210,348662,21271,1526,1616,6335467
AZ,2014,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2014,electric power,6,48588,0,0,0,6,6,48588
AZ,2014,gas supply,0,0,0,0,0,0,0,0
AZ,2014,transit,0,0,0,0,0,0,0,0
AZ,2014,education total,24903,144647124,28494,31050932,2072799,36613,53397,175698056
AZ,2014,education - elementary and secondary total,0,0,0,0,0,0,0,0
AZ,2014,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
