state,government_function,full_time_equivalent_employees,october_total_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
US,total,3835982,9750395064,3367614,1219085,8817492437,932902627,81982105,1992
US,financial administration,147311,351077156,143336,7276,343894436,7182720,695704,1992
US,other government administration,46391,124672486,41928,9813,110992705,13679781,771069,1992
US,judicial and legal,110671,349875829,106970,6578,341652488,8223341,642693,1992
US,police protection - officers,55104,176986231,55077,63,176928369,57862,5019,1992
US,police protection - other,30924,69961260,30420,1046,69055899,905361,87973,1992
US,corrections,344794,843513016,339937,8048,828970766,14542250,854305,1992
US,highways,256829,625914825,250320,11042,613493522,12421303,1150680,1992
US,air transportation,2707,7086386,2654,120,6961902,124484,9238,1992
US,water transport and terminals,4452,11820508,4382,129,11706308,114200,12176,1992
US,public welfare,211552,471050080,205707,9725,459879226,11170854,1018689,1992
US,health,160481,389150006,153159,13729,373514185,15635821,1284962,1992
US,hospitals,523332,1196506452,488999,63303,1118156496,78349956,6025956,1992
US,social insurance administration,114126,275305333,106117,12026,258216736,17088597,1397584,1992
US,solid waste management,1332,4250791,1302,72,4183966,66825,4955,1992
US,sewerage,1222,3460373,1214,13,3434973,25400,1493,1992
US,parks and recreation,35783,70086091,27245,15198,58474061,11612030,1503722,1992
US,natural resources,147286,354710250,131070,51211,325141845,29568405,2858401,1992
US,water transport and terminals,936,2562732,930,8,2548927,13805,925,1992
US,electric power,6463,24680827,6119,640,23694464,986363,60899,1992
US,transit,20575,77670238,20275,549,77107718,562520,53047,1992
US,elem and sec school instructional,21422,65113400,19997,5255,61234977,3878423,251153,1992
US,elem and sec sch,7856,15447712,6554,4907,13348580,2099132,229928,1992
US,elem and sec admin - clerical,2265,5932990,2152,356,5653388,279602,20025,1992
US,elem and sec oper and maintenance,3198,5664191,2703,1471,4920442,743749,86982,1992
US,elem and sec cafeteria,1804,2831331,1434,1394,2226613,604718,65580,1992
US,elem and sec bus transportation,49,86664,29,35,48163,38501,3398,1992
US,elem and sec health and recreation,98,299017,80,90,260387,38630,3334,1992
US,elem and sec student employees,72,63360,0,306,0,63360,12699,1992
US,elem and sec unallocable,370,570159,156,1255,239587,330572,37910,1992
US,higher educ instructional,435789,1669789871,319965,293351,1333092198,336697673,20257460,1992
US,education - higher education other,830922,1731693594,601640,668918,1392122717,339570877,40101572,1992
US,education - other,98167,241818540,92679,13349,231337864,10480676,960786,1992
US,libraries,612,1320154,577,72,1240038,80116,6186,1992
US,liquor stores,9145,18390255,7627,3462,16059302,2330953,265923,1992
US,other and unallocable,209798,576480668,201414,19182,561047769,15432899,1469607,1992
AL,total,81101,176928612,73642,21265,165172660,11755952,1300490,1992
AL,financial administration,2603,5908004,2575,36,5883119,24885,4941,1992
AL,other government administration,488,1217430,486,10,1210836,6594,552,1992
AL,judicial and legal,2629,6990003,2555,132,6829923,160080,13072,1992
AL,police protection - officers,649,2315503,649,0,2315503,0,0,1992
AL,police protection - other,424,1009823,424,0,1009823,0,0,1992
AL,corrections,3911,8530634,3908,7,8525838,4796,566,1992
AL,highways,4269,8795193,4233,58,8733688,61505,6421,1992
AL,air transportation,0,0,0,0,0,0,0,1992
AL,water transport and terminals,418,1096598,418,0,1096598,0,0,1992
AL,public welfare,4510,9245843,4491,37,9206498,39345,3394,1992
AL,health,6135,11375372,5626,802,10865566,509806,89886,1992
AL,hospitals,12784,23536619,12207,1386,21857012,1679607,102172,1992
AL,social insurance administration,1497,3210876,1473,59,3187164,23712,4187,1992
AL,solid waste management,0,0,0,0,0,0,0,1992
AL,sewerage,0,0,0,0,0,0,0,1992
AL,parks and recreation,892,1227424,468,573,856245,371179,74935,1992
AL,natural resources,3186,6982434,3060,438,6820148,162286,22302,1992
AL,water transport and terminals,0,0,0,0,0,0,0,1992
AL,electric power,0,0,0,0,0,0,0,1992
AL,transit,0,0,0,0,0,0,0,1992
AL,elem and sec school instructional,0,0,0,0,0,0,0,1992
AL,elem and sec sch,0,0,0,0,0,0,0,1992
AL,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
AL,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
AL,elem and sec cafeteria,0,0,0,0,0,0,0,1992
AL,elem and sec bus transportation,0,0,0,0,0,0,0,1992
AL,elem and sec health and recreation,0,0,0,0,0,0,0,1992
AL,elem and sec student employees,0,0,0,0,0,0,0,1992
AL,elem and sec unallocable,0,0,0,0,0,0,0,1992
AL,higher educ instructional,10491,35294091,8625,6094,31003773,4290318,322653,1992
AL,education - higher education other,19618,35312836,16137,10813,31370602,3942234,605265,1992
AL,education - other,3964,9158497,3748,684,8760151,398346,37580,1992
AL,libraries,0,0,0,0,0,0,0,1992
AL,liquor stores,874,1686760,874,0,1686760,0,0,1992
AL,other and unallocable,1759,4034672,1685,136,3953413,81259,12564,1992
AK,total,23818,76065702,22041,5050,72184275,3881427,309870,1992
AK,financial administration,888,3183124,881,11,3163555,19569,1062,1992
AK,other government administration,481,1509036,471,37,1478917,30119,1557,1992
AK,judicial and legal,1100,4108556,1076,52,4035581,72975,4006,1992
AK,police protection - officers,289,1396426,289,0,1396426,0,0,1992
AK,police protection - other,142,344194,142,0,344194,0,0,1992
AK,corrections,1216,4523555,1215,2,4520538,3017,120,1992
AK,highways,2978,11480727,2965,14,11449078,31649,2225,1992
AK,air transportation,0,0,0,0,0,0,0,1992
AK,water transport and terminals,0,0,0,0,0,0,0,1992
AK,public welfare,1698,5054379,1580,160,4859156,195223,19558,1992
AK,health,462,1588647,444,32,1533390,55257,2905,1992
AK,hospitals,382,1185948,361,32,1146383,39565,3520,1992
AK,social insurance administration,452,1544075,448,9,1528722,15353,793,1992
AK,solid waste management,0,0,0,0,0,0,0,1992
AK,sewerage,0,0,0,0,0,0,0,1992
AK,parks and recreation,92,292546,91,2,289678,2868,184,1992
AK,natural resources,2658,8762990,2598,121,8629548,133442,10307,1992
AK,water transport and terminals,0,0,0,0,0,0,0,1992
AK,electric power,0,0,0,0,0,0,0,1992
AK,transit,590,2403306,590,0,2403306,0,0,1992
AK,elem and sec school instructional,1602,6103665,1413,548,5683871,419794,32596,1992
AK,elem and sec sch,951,2644018,775,526,2276603,367415,30768,1992
AK,elem and sec admin - clerical,380,1227331,350,139,1158921,68410,5257,1992
AK,elem and sec oper and maintenance,431,1126112,349,185,951397,174715,13929,1992
AK,elem and sec cafeteria,77,174111,44,77,101912,72199,5914,1992
AK,elem and sec bus transportation,5,13334,3,6,7920,5414,497,1992
AK,elem and sec health and recreation,39,64111,21,75,30626,33485,3108,1992
AK,elem and sec student employees,8,7130,0,36,0,7130,1453,1992
AK,elem and sec unallocable,11,31889,8,8,25827,6062,610,1992
AK,higher educ instructional,1469,5790998,1208,1170,4762865,1028133,46146,1992
AK,education - higher education other,4405,7801140,3576,2195,6430207,1370933,146777,1992
AK,education - other,477,1569080,466,30,1542984,26096,1895,1992
AK,libraries,0,0,0,0,0,0,0,1992
AK,liquor stores,0,0,0,0,0,0,0,1992
AK,other and unallocable,1486,4779292,1452,109,4709273,70019,5451,1992
AZ,total,54064,121955310,46999,17805,110977095,10978215,1250275,1992
AZ,financial administration,2746,5217618,2725,38,5179175,38443,3601,1992
AZ,other government administration,676,1526029,648,59,1466091,59938,5024,1992
AZ,judicial and legal,1032,3294558,1007,57,3231889,62669,4318,1992
AZ,police protection - officers,972,3066558,972,0,3066558,0,0,1992
AZ,police protection - other,698,1759566,695,7,1754795,4771,447,1992
AZ,corrections,6232,11855100,6226,12,11837388,17712,1107,1992
AZ,highways,3190,7219515,3190,0,7219515,0,0,1992
AZ,air transportation,0,0,0,0,0,0,0,1992
AZ,water transport and terminals,0,0,0,0,0,0,0,1992
AZ,public welfare,4963,11113204,4923,71,11035944,77260,6935,1992
AZ,health,2449,5573354,2394,126,5468781,104573,9675,1992
AZ,hospitals,988,1728357,963,68,1700914,27443,4357,1992
AZ,social insurance administration,2689,5899262,2663,32,5842703,56559,4683,1992
AZ,solid waste management,0,0,0,0,0,0,0,1992
AZ,sewerage,0,0,0,0,0,0,0,1992
AZ,parks and recreation,788,1829619,239,1781,650002,1179617,97088,1992
AZ,natural resources,2285,4963972,1969,633,4508248,455724,55736,1992
AZ,water transport and terminals,0,0,0,0,0,0,0,1992
AZ,electric power,10,26426,9,5,26066,360,96,1992
AZ,transit,0,0,0,0,0,0,0,1992
AZ,elem and sec school instructional,0,0,0,0,0,0,0,1992
AZ,elem and sec sch,0,0,0,0,0,0,0,1992
AZ,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
AZ,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
AZ,elem and sec cafeteria,0,0,0,0,0,0,0,1992
AZ,elem and sec bus transportation,0,0,0,0,0,0,0,1992
AZ,elem and sec health and recreation,0,0,0,0,0,0,0,1992
AZ,elem and sec student employees,0,0,0,0,0,0,0,1992
AZ,elem and sec unallocable,0,0,0,0,0,0,0,1992
AZ,higher educ instructional,5357,19349958,3531,4124,15637611,3712347,323222,1992
AZ,education - higher education other,13469,25863013,9410,10506,20852232,5010781,718442,1992
AZ,education - other,2649,5836006,2611,88,5766321,69685,6942,1992
AZ,libraries,0,0,0,0,0,0,0,1992
AZ,liquor stores,0,0,0,0,0,0,0,1992
AZ,other and unallocable,2871,5833195,2824,198,5732862,100333,8602,1992
AR,total,46596,99385151,42183,11181,92597466,6787685,780965,1992
AR,financial administration,1757,3280993,1679,85,3225974,55019,13887,1992
AR,other government administration,633,1263442,633,1,1263300,142,18,1992
AR,judicial and legal,327,1264848,324,4,1260907,3941,452,1992
AR,police protection - officers,508,1431021,508,0,1431021,0,0,1992
AR,police protection - other,362,674181,362,1,673871,310,62,1992
AR,corrections,2812,4883495,2812,0,4883495,0,0,1992
AR,highways,4028,8736967,4010,39,8720023,16944,3230,1992
AR,air transportation,0,0,0,0,0,0,0,1992
AR,water transport and terminals,0,0,0,0,0,0,0,1992
AR,public welfare,3602,5959910,3602,0,5959910,0,0,1992
AR,health,3750,6995149,3745,12,6983205,11944,943,1992
AR,hospitals,5008,9704835,4927,171,9541608,163227,14387,1992
AR,social insurance administration,1094,2522641,952,256,2286350,236291,25181,1992
AR,solid waste management,0,0,0,0,0,0,0,1992
AR,sewerage,0,0,0,0,0,0,0,1992
AR,parks and recreation,725,1097765,570,327,929251,168514,27445,1992
AR,natural resources,2579,5150067,2219,639,4596158,553909,63705,1992
AR,water transport and terminals,0,0,0,0,0,0,0,1992
AR,electric power,0,0,0,0,0,0,0,1992
AR,transit,0,0,0,0,0,0,0,1992
AR,elem and sec school instructional,0,0,0,0,0,0,0,1992
AR,elem and sec sch,0,0,0,0,0,0,0,1992
AR,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
AR,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
AR,elem and sec cafeteria,0,0,0,0,0,0,0,1992
AR,elem and sec bus transportation,0,0,0,0,0,0,0,1992
AR,elem and sec health and recreation,0,0,0,0,0,0,0,1992
AR,elem and sec student employees,0,0,0,0,0,0,0,1992
AR,elem and sec unallocable,0,0,0,0,0,0,0,1992
AR,higher educ instructional,5216,20669411,4122,2918,17601648,3067763,193943,1992
AR,education - higher education other,9657,15968855,7371,6225,13757213,2211642,403745,1992
AR,education - other,2650,5628598,2497,421,5396463,232135,27199,1992
AR,libraries,0,0,0,0,0,0,0,1992
AR,liquor stores,0,0,0,0,0,0,0,1992
AR,other and unallocable,1888,4152973,1850,82,4087069,65904,6768,1992
CA,total,321860,1062204388,275841,109966,943287237,118917151,8142617,1992
CA,financial administration,13608,37301717,12641,1740,35534842,1766875,171283,1992
CA,other government administration,3209,10111912,3053,250,9725540,386372,24853,1992
CA,judicial and legal,2429,10181232,2363,127,9924008,257224,11834,1992
CA,police protection - officers,6455,20464079,6455,1,20463829,250,16,1992
CA,police protection - other,4630,11906303,4582,99,11786412,119891,8514,1992
CA,corrections,34870,125368001,32768,2791,116783487,8584514,372121,1992
CA,highways,19304,65484456,18841,1319,64502887,981569,82024,1992
CA,air transportation,0,0,0,0,0,0,0,1992
CA,water transport and terminals,48,161827,47,15,157280,4547,246,1992
CA,public welfare,3098,9229732,2937,316,8856976,372756,28549,1992
CA,health,8924,29400504,8486,891,28151859,1248645,77488,1992
CA,hospitals,35803,107781537,32104,7410,97392418,10389119,654514,1992
CA,social insurance administration,20026,55082338,17221,3749,48707082,6375256,496505,1992
CA,solid waste management,0,0,0,0,0,0,0,1992
CA,sewerage,0,0,0,0,0,0,0,1992
CA,parks and recreation,3331,7931098,1797,1704,5427886,2503212,271419,1992
CA,natural resources,13252,40456191,12215,1744,37392020,3064171,183448,1992
CA,water transport and terminals,0,0,0,0,0,0,0,1992
CA,electric power,0,0,0,0,0,0,0,1992
CA,transit,0,0,0,0,0,0,0,1992
CA,elem and sec school instructional,0,0,0,0,0,0,0,1992
CA,elem and sec sch,0,0,0,0,0,0,0,1992
CA,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
CA,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
CA,elem and sec cafeteria,0,0,0,0,0,0,0,1992
CA,elem and sec bus transportation,0,0,0,0,0,0,0,1992
CA,elem and sec health and recreation,0,0,0,0,0,0,0,1992
CA,elem and sec student employees,0,0,0,0,0,0,0,1992
CA,elem and sec unallocable,0,0,0,0,0,0,0,1992
CA,higher educ instructional,28052,130700342,19696,21751,102631247,28069095,1478950,1992
CA,education - higher education other,78565,236456499,56203,61623,185786573,50669926,3958190,1992
CA,education - other,4494,13364061,4159,588,12406457,957604,59668,1992
CA,libraries,0,0,0,0,0,0,0,1992
CA,liquor stores,0,0,0,0,0,0,0,1992
CA,other and unallocable,41762,150822559,40273,3848,147656434,3166125,262995,1992
CO,total,53004,165021095,39436,32988,118931905,46089190,2401809,1992
CO,financial administration,2004,5590181,1931,113,5387169,203012,12926,1992
CO,other government administration,470,1338194,425,126,1204075,134119,8063,1992
CO,judicial and legal,2670,8232097,2440,552,7555317,676780,40561,1992
CO,police protection - officers,547,1705706,547,0,1705706,0,0,1992
CO,police protection - other,470,1248773,470,0,1248773,0,0,1992
CO,corrections,3448,9449233,3409,74,9338112,111121,7021,1992
CO,highways,3055,8877355,2935,184,8541921,335434,21311,1992
CO,air transportation,0,0,0,0,0,0,0,1992
CO,water transport and terminals,0,0,0,0,0,0,0,1992
