state,government_function,full_time_equivalent_employees,total_october_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
AL,total,82886,184112479,74455,21100,171763222,12349257,1471319,1993
AL,financial administration,2138,5177655,2118,27,5163403,14252,3586,1993
AL,other government administration,477,1236559,455,46,1146419,90140,3978,1993
AL,judicial and legal,2764,7572714,2697,129,7435813,136901,11776,1993
AL,police protection - officers,616,1844527,616,0,1844527,0,0,1993
AL,police protection - other,426,838161,426,0,838161,0,0,1993
AL,corrections,4240,9056387,4236,8,9050655,5732,726,1993
AL,highways,4344,9027894,4326,29,9000846,27048,3210,1993
AL,air transportation,0,0,0,0,0,0,0,1993
AL,water transport and terminals,418,1144688,418,0,1144688,0,0,1993
AL,public welfare,4598,9671271,4581,31,9641459,29812,2989,1993
AL,health,6362,11983340,5921,687,11509760,473580,77922,1993
AL,hospitals,13097,24042098,12541,1188,22528862,1513236,98324,1993
AL,social insurance administration,1500,3297602,1477,56,3273897,23705,4032,1993
AL,solid waste management,0,0,0,0,0,0,0,1993
AL,sewerage,0,0,0,0,0,0,0,1993
AL,parks and recreation,873,1218933,473,536,866088,352845,70762,1993
AL,natural resources,3021,7064310,2785,440,6795720,268590,41591,1993
AL,water transport and terminals,0,0,0,0,0,0,0,1993
AL,electric power,0,0,0,0,0,0,0,1993
AL,transit,0,0,0,0,0,0,0,1993
AL,elem and sec school instructional,0,0,0,0,0,0,0,1993
AL,elem and sec sch,0,0,0,0,0,0,0,1993
AL,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
AL,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
AL,elem and sec cafeteria,0,0,0,0,0,0,0,1993
AL,elem and sec bus transportation,0,0,0,0,0,0,0,1993
AL,elem and sec health and recreation,0,0,0,0,0,0,0,1993
AL,elem and sec student employees,0,0,0,0,0,0,0,1993
AL,elem and sec unallocable,0,0,0,0,0,0,0,1993
AL,higher educ instructional,10954,38253569,8868,6128,33959789,4293780,361103,1993
AL,education - higher education other,20549,37828786,16246,11109,33158626,4670160,749454,1993
AL,education - other,4027,9255653,3831,613,8855319,400334,34550,1993
AL,libraries,0,0,0,0,0,0,0,1993
AL,liquor stores,829,1655820,829,0,1655820,0,0,1993
AL,other and unallocable,1653,3942512,1611,73,3893370,49142,7316,1993
AK,total,21829,78961304,20387,5174,74204150,4757154,247550,1993
AK,financial administration,868,3163236,862,13,3145332,17904,987,1993
AK,other government administration,466,1492462,454,35,1451286,41176,1962,1993
AK,judicial and legal,1128,4264959,1103,54,4191974,72985,4090,1993
AK,police protection - officers,266,1463137,266,0,1463137,0,0,1993
AK,police protection - other,149,405019,147,5,396008,9011,293,1993
AK,corrections,1234,4677338,1232,4,4672893,4445,265,1993
AK,highways,2910,11452082,2896,18,11419404,32678,2317,1993
AK,air transportation,0,0,0,0,0,0,0,1993
AK,water transport and terminals,0,0,0,0,0,0,0,1993
AK,public welfare,1707,5101643,1584,164,4900616,201027,20487,1993
AK,health,480,1656842,466,29,1613711,43131,2348,1993
AK,hospitals,393,1215659,370,32,1183880,31779,3779,1993
AK,social insurance administration,470,1586948,465,10,1571592,15356,856,1993
AK,solid waste management,0,0,0,0,0,0,0,1993
AK,sewerage,0,0,0,0,0,0,0,1993
AK,parks and recreation,89,294187,89,1,294035,152,19,1993
AK,natural resources,2492,8689711,2460,101,8560392,129319,5661,1993
AK,water transport and terminals,0,0,0,0,0,0,0,1993
AK,electric power,0,0,0,0,0,0,0,1993
AK,transit,620,2449397,620,0,2449397,0,0,1993
AK,elem and sec school instructional,2106,7374201,1693,754,6432996,941205,68689,1993
AK,elem and sec sch,954,2799310,702,578,2214165,585145,44385,1993
AK,elem and sec admin - clerical,327,1180139,290,136,1097033,83106,6175,1993
AK,elem and sec oper and maintenance,347,920044,237,196,652970,267074,18193,1993
AK,elem and sec cafeteria,160,346466,92,105,200036,146430,11033,1993
AK,elem and sec bus transportation,7,21947,0,18,0,21947,1272,1993
AK,elem and sec health and recreation,9,18562,8,10,14809,3753,272,1993
AK,elem and sec student employees,6,5911,0,32,0,5911,1221,1993
AK,elem and sec unallocable,98,306241,75,81,249317,56924,4095,1993
AK,higher educ instructional,1009,6143573,906,1148,5003505,1140068,18300,1993
AK,education - higher education other,2401,7553860,2025,2094,6153040,1400820,66615,1993
AK,education - other,476,1588036,467,32,1566828,21208,1562,1993
AK,libraries,0,0,0,0,0,0,0,1993
AK,liquor stores,0,0,0,0,0,0,0,1993
AK,other and unallocable,1611,5589704,1580,102,5519959,69745,4935,1993
AZ,total,56683,130575538,48418,21585,117373535,13202003,1462510,1993
AZ,financial administration,2673,5499435,2656,27,5464483,34952,2874,1993
AZ,other government administration,604,1515008,561,115,1371533,143475,7671,1993
AZ,judicial and legal,1097,3518554,1079,47,3471952,46602,3189,1993
AZ,police protection - officers,895,2931889,895,0,2931889,0,0,1993
AZ,police protection - other,682,1732426,678,9,1723047,9379,733,1993
AZ,corrections,6350,12749726,6341,18,12735379,14347,1594,1993
AZ,highways,3308,7317693,3300,15,7310741,6952,1328,1993
AZ,air transportation,0,0,0,0,0,0,0,1993
AZ,water transport and terminals,0,0,0,0,0,0,0,1993
AZ,public welfare,5535,10088069,5027,270,9778013,310056,89814,1993
AZ,health,1931,4237018,1857,126,4060049,176969,13069,1993
AZ,hospitals,888,1766674,854,93,1693641,73033,6049,1993
AZ,social insurance administration,2254,4711427,2152,225,4490625,220802,17933,1993
AZ,solid waste management,0,0,0,0,0,0,0,1993
AZ,sewerage,0,0,0,0,0,0,0,1993
AZ,parks and recreation,1096,2207919,315,1787,759802,1448117,138185,1993
AZ,natural resources,2419,5541033,2121,684,5099604,441429,52488,1993
AZ,water transport and terminals,0,0,0,0,0,0,0,1993
AZ,electric power,9,26968,9,5,26818,150,20,1993
AZ,transit,0,0,0,0,0,0,0,1993
AZ,elem and sec school instructional,0,0,0,0,0,0,0,1993
