GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,EMPFT_CV,PAYANNFT,PAYANNFT_CV,EMPPT,EMPPT_CV,PAYANNPT,PAYANNPT_CV,HRSPT,HRSPT_CV,EMPFTE,EMPFTE_CV,EMP,EMP_CV,PAYANN,PAYANN_CV
Geographic identifier code,Id2,Geographic area name,Id,Year,Government Employment Function,Meaning of Government Employment Function,Full-Time Employment,Full-Time Employment Coefficient of Variation (percent),Full-Time Payroll (whole dollars),Full-Time Payroll Coefficient of Variation (percent),Part-Time Employment,Part-Time Employment Coefficient of Variation (percent),Part-Time Payroll (whole dollars),Part-Time Payroll Coefficient of Variation (percent),Part-Time Hours,Part-Time Hours Coefficient of Variation (percent),Full-Time Equivalent Employment,Full-Time Equivalent Employment Coefficient of Variation (percent),Total March Full-Time and Part-Time Employment,Total March Full-Time and Part-Time Employment Coefficient of Variation (percent),Total March Payroll (whole dollars),Total March Payroll Coefficient of Variation (percent)
0100000US,,United States,,2014,1000,Total - All Government Employment Functions,10586429,0.12,48253688507,0.12,3313357,0.16,3783121737,0.19,216854042,0.18,11856859,0.12,13899786,0.10,52036810244,0.11
0100000US,,United States,,2014,1020,Financial Administration,213678,0.23,1004990567,0.21,41465,0.68,43168625,0.32,2483112,0.25,227090,0.23,255143,0.22,1048159192,0.21
0100000US,,United States,,2014,1040,Other Government Administration,185493,0.22,863507899,0.21,168847,0.17,92046744,0.21,4782405,0.24,211386,0.21,354340,0.14,955554643,0.19
0100000US,,United States,,2014,1060,Judicial and Legal,224580,0.22,1115270253,0.19,32506,0.30,48576482,0.30,2262913,0.31,237161,0.23,257086,0.19,1163846735,0.18
0100000US,,United States,,2014,1100,Police Protection Total,771227,0.17,4420323545,0.18,92112,0.26,96047752,0.25,6255325,0.25,807083,0.17,863339,0.16,4516371297,0.18
0100000US,,United States,,2014,1101,Police Protection - Persons with Power of Arrest       ,614722,0.21,3738014133,0.21,35103,0.35,39220296,0.20,2468127,0.21,628968,0.21,649825,0.20,3777234429,0.21
0100000US,,United States,,2014,1102,Police Protection - Other ,156505,0.26,682309412,0.25,57009,0.37,56827456,0.40,3787198,0.39,178115,0.27,213514,0.22,739136868,0.23
0100000US,,United States,,2014,1120,Fire Protection Total ,324524,0.21,2044229536,0.24,107268,0.42,54789086,0.60,3721107,0.72,345669,0.24,431792,0.19,2099018622,0.23
0100000US,,United States,,2014,1121,Fire Protection - Firefighters,297280,0.23,1892956415,0.26,94973,0.48,44738802,0.73,3175426,0.84,315457,0.26,392253,0.21,1937695217,0.25
0100000US,,United States,,2014,1122,Fire Protection - Other ,27244,0.25,151273121,0.26,12295,0.41,10050284,0.37,545681,0.36,30212,0.29,39539,0.21,161323405,0.24
0100000US,,United States,,2014,1140,Corrections,252441,0.29,1138725369,0.22,14705,0.52,20663268,0.45,1275039,0.53,259822,0.29,267146,0.27,1159388637,0.22
0100000US,,United States,,2014,1160,Highways,263827,0.25,1131622319,0.23,25585,0.16,29474861,0.17,1991331,0.17,275041,0.25,289412,0.23,1161097180,0.23
0100000US,,United States,,2014,1180,Air Transportation,42259,0.18,228257012,0.16,4162,0.66,5326817,0.50,359129,0.56,44312,0.20,46421,0.17,233583829,0.16
0100000US,,United States,,2014,1200,Water Transport and Terminals       ,7865,0.28,49677069,0.27,1192,0.41,1691700,0.28,102415,0.22,8449,0.28,9057,0.25,51368769,0.27
0100000US,,United States,,2014,1220,Public Welfare,248303,0.34,1036031093,0.29,36940,0.63,52292914,0.52,3279336,0.62,267389,0.35,285243,0.30,1088324007,0.27
0100000US,,United States,,2014,1240,Health,218588,0.30,977400966,0.25,54467,0.38,87425260,0.24,4321035,0.31,243367,0.30,273055,0.25,1064826226,0.23
0100000US,,United States,,2014,1260,Hospitals,503774,0.15,2602242202,0.12,132005,0.18,353631670,0.14,13144429,0.16,579629,0.15,635779,0.12,2955873872,0.11
0100000US,,United States,,2014,1280,Social Insurance Administration,445,0.00,2579302,0.00,0,0.00,0,0.00,0,0.00,445,0.00,445,0.00,2579302,0.00
