state,government_function,year,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,equivalent_employees,march_pay,total_employees,october_total_pay,total_october_pay,total_march_full_time_and_part_time_employees
US,total,1992,3367614,8817492437,1219085,932902627,81982105,3835982,NA,NA,NA,NA,9750395064,NA,NA
US,financial administration,1992,143336,343894436,7276,7182720,695704,147311,NA,NA,NA,NA,351077156,NA,NA
US,other government administration,1992,41928,110992705,9813,13679781,771069,46391,NA,NA,NA,NA,124672486,NA,NA
US,judicial and legal,1992,106970,341652488,6578,8223341,642693,110671,NA,NA,NA,NA,349875829,NA,NA
US,police protection - officers,1992,55077,176928369,63,57862,5019,55104,NA,NA,NA,NA,176986231,NA,NA
US,police protection - other,1992,30420,69055899,1046,905361,87973,30924,NA,NA,NA,NA,69961260,NA,NA
US,corrections,1992,339937,828970766,8048,14542250,854305,344794,NA,NA,NA,NA,843513016,NA,NA
US,highways,1992,250320,613493522,11042,12421303,1150680,256829,NA,NA,NA,NA,625914825,NA,NA
US,air transportation,1992,2654,6961902,120,124484,9238,2707,NA,NA,NA,NA,7086386,NA,NA
US,water transport and terminals,1992,4382,11706308,129,114200,12176,4452,NA,NA,NA,NA,11820508,NA,NA
US,public welfare,1992,205707,459879226,9725,11170854,1018689,211552,NA,NA,NA,NA,471050080,NA,NA
US,health,1992,153159,373514185,13729,15635821,1284962,160481,NA,NA,NA,NA,389150006,NA,NA
US,hospitals,1992,488999,1118156496,63303,78349956,6025956,523332,NA,NA,NA,NA,1196506452,NA,NA
US,social insurance administration,1992,106117,258216736,12026,17088597,1397584,114126,NA,NA,NA,NA,275305333,NA,NA
US,solid waste management,1992,1302,4183966,72,66825,4955,1332,NA,NA,NA,NA,4250791,NA,NA
US,sewerage,1992,1214,3434973,13,25400,1493,1222,NA,NA,NA,NA,3460373,NA,NA
US,parks and recreation,1992,27245,58474061,15198,11612030,1503722,35783,NA,NA,NA,NA,70086091,NA,NA
US,natural resources,1992,131070,325141845,51211,29568405,2858401,147286,NA,NA,NA,NA,354710250,NA,NA
US,water transport and terminals,1992,930,2548927,8,13805,925,936,NA,NA,NA,NA,2562732,NA,NA
US,electric power,1992,6119,23694464,640,986363,60899,6463,NA,NA,NA,NA,24680827,NA,NA
US,transit,1992,20275,77107718,549,562520,53047,20575,NA,NA,NA,NA,77670238,NA,NA
US,elem and sec school instructional,1992,19997,61234977,5255,3878423,251153,21422,NA,NA,NA,NA,65113400,NA,NA
US,elem and sec sch,1992,6554,13348580,4907,2099132,229928,7856,NA,NA,NA,NA,15447712,NA,NA
US,elem and sec admin - clerical,1992,2152,5653388,356,279602,20025,2265,NA,NA,NA,NA,5932990,NA,NA
US,elem and sec oper and maintenance,1992,2703,4920442,1471,743749,86982,3198,NA,NA,NA,NA,5664191,NA,NA
US,elem and sec cafeteria,1992,1434,2226613,1394,604718,65580,1804,NA,NA,NA,NA,2831331,NA,NA
US,elem and sec bus transportation,1992,29,48163,35,38501,3398,49,NA,NA,NA,NA,86664,NA,NA
US,elem and sec health and recreation,1992,80,260387,90,38630,3334,98,NA,NA,NA,NA,299017,NA,NA
US,elem and sec student employees,1992,0,0,306,63360,12699,72,NA,NA,NA,NA,63360,NA,NA
US,elem and sec unallocable,1992,156,239587,1255,330572,37910,370,NA,NA,NA,NA,570159,NA,NA
US,higher educ instructional,1992,319965,1333092198,293351,336697673,20257460,435789,NA,NA,NA,NA,1669789871,NA,NA
US,education - higher education other,1992,601640,1392122717,668918,339570877,40101572,830922,NA,NA,NA,NA,1731693594,NA,NA
US,education - other,1992,92679,231337864,13349,10480676,960786,98167,NA,NA,NA,NA,241818540,NA,NA
US,libraries,1992,577,1240038,72,80116,6186,612,NA,NA,NA,NA,1320154,NA,NA
US,liquor stores,1992,7627,16059302,3462,2330953,265923,9145,NA,NA,NA,NA,18390255,NA,NA
